"key","value","notes"
"branch","fix/phase6-csi-srs-rank2-mumimo","requested Phase 6 branch"
"parent_commit","7d1efd548aa8dfd2ee91846ca478dc581ea23763","clean Phase 5-connected scheduler/HARQ lineage head"
"phase1_commit","not_supplied_in_prompt","placeholder token was present in prompt"
"phase2_commit","not_supplied_in_prompt","placeholder token was present in prompt"
"phase3_commit","not_supplied_in_prompt","placeholder token was present in prompt"
"phase4_commit","not_supplied_in_prompt","placeholder token was present in prompt"
"phase5_commit","7d1efd548aa8dfd2ee91846ca478dc581ea23763","latest validated local Phase 5-related commit on this branch lineage"
"matlab_release","pending_runtime_capture","capture with selected MATLAB run metadata before claiming runtime acceptance"
"toolbox_versions","pending_runtime_capture","capture installed 5G Toolbox and related versions before runtime acceptance"
"scenario_path","simulator/configs/scenarios/lls_mobile_2ue_100kmh_1sector_full_capture.yaml","target inherited Phase 6 scenario"
"scenario_sha256","9ACBC34029931949C2D0E14C369F0431C7644003DC665D4F69667170008AF27D","Get-FileHash before Phase 6 edits"
"resolved_config_hash","pending_phase6_resolved_run","requires decoded/resolved Phase 6 configuration artifact"
"source_tree_hash","a1338b46acd488bd571b36ef899fe1c8d174666f","git tree hash before Phase 6 edits"
"asn1_source_hash","pending_phase6_rrc_work","no new ASN.1 source captured in this scaffold"
"generated_code_hash","pending_phase6_rrc_work","no generated ASN.1 code captured in this scaffold"
"runner_command","pending_phase6_runtime","must point at a new empty result root when runtime gates are exercised"
"git_status_before_modification","clean","git status --porcelain was empty before scaffold edits"
"dirty_diff_before_modification","none","baseline branch started clean"
"gpu_parallel_pool_configuration","pending_runtime_capture","not needed for documentation/gate scaffold"
