"field_or_boundary","current_surface","allowed_context","phase6_status","required_guard"
"UE selected RI/PMI/CQI/CRI direct read","scheduler UE state","post-run comparison only unless decoded from PUCCH CSI report","forbidden_for_phase6_scheduler","Scheduler state update must cite decoded CSI report ID and PUCCH waveform evidence."
"true channel tensor","channel runtime internals","post-run NMSE/reconciliation only","forbidden_for_production_csi_srs_mimo","Production CSI/SRS/rank/precoder decisions must be invariant to corrupted hidden truth references."
"expected SRS sequence or answer","SRS receiver tests","negative/reference tests only","forbidden_for_gnb_srs_receiver","gNB may know configured legal hypotheses, not expected transmitted answer."
"configured rank","scenario YAML or resolved config","eligibility limit only","must_not_be_measured_ri","Measured RI must come from CSI-RS/SRS evidence and carry timestamp/age."
"transmit CSI-RS/SRS resource row","resource mapper","mapping evidence only","must_not_be_receive_success","Measurement success requires receiver-observed RE extraction and validation."
"UE private CSI-RS RSRP/SINR","UE runtime diagnostics","post-run comparison only","forbidden_for_gnb_scheduler","gNB scheduler must consume decoded CSI report fields or received SRS state."
"future CRC or BLER","link-adaptation feedback","post-decode feedback after the event only","forbidden_for_cqi_prediction","CQI calculation must not use future decode outcomes."
"ideal reciprocity calibration","reciprocity policy","allowed only if explicitly labeled IDEAL_RECIPROCITY_CALIBRATION","requires_label_and_residual","Never call ideal calibration measured hardware calibration."
"MU scheduled same slot only","scheduler trace","insufficient evidence","must_not_be_mumimo_claim","MU-MIMO requires overlapping PRBs/symbols, distinct streams, compatible DM-RS, and per-user decode."
"fallback or synthetic rows","primary result tables","debug/proxy artifacts only","forbidden_in_primary_phase6_tables","Primary Phase 6 evidence must be empty, skipped, or fail loudly when unavailable."
