CaseID,Profile,UEID,ServingCellID,CCID,BWPId,AbsoluteSlot,ConfigurationEpoch,AssignmentSource,DecodedDCIId,DCIFormat,DCICRCPass,DCIRNTIMatch,RNTIType,ConfiguredGrantID,CGType,CGInstalled,CGActivated,CGReleased,CGOccasionMatch,RARGrantID,K2,ULSymbolAvailable,ResourceAllocationType,FrequencyHopping,SecondHopStartPRB,PRBSet,SymbolAllocation,MappingType,MCSTable,MCSIndex,Modulation,TargetCodeRate,TransformPrecoding,NumLayers,NumCodewords,TransmissionScheme,SRI,TPMI,NDI,RV,HARQProcessID,SRSDecisionID,PowerControlStateID,AssignmentCreated,WaveformAllowed,ErrorIdentifier,Status
ASSIGN-DYN-01,connected_dynamic_strict,UE1,0,0,1,41,3,decoded_dci_plus_rrc,DCI-1,0_0,1,1,C-RNTI,,,,,,,,2,1,1,none,,4|5|6|7,2|10,A,qam256,9,16QAM,0.6015625,0,1,1,codebook,0,0,1,0,2,SRS-DEC-ASSIGN-DYN-01,PWR-ASSIGN-DYN-01,1,1,,PASS
ASSIGN-DYN-02,connected_dynamic_strict,UE1,0,0,1,42,3,decoded_dci_plus_rrc,DCI-2,0_1,1,1,C-RNTI,,,,,,,,2,1,1,none,,4|5|6|7,2|10,A,qam256,10,16QAM,0.642578125,0,2,1,codebook,0,1,1,0,2,SRS-DEC-ASSIGN-DYN-02,PWR-ASSIGN-DYN-02,1,1,,PASS
ASSIGN-DYN-03,connected_dynamic_strict,UE1,0,0,1,43,3,decoded_dci_plus_rrc,DCI-3,0_2,1,1,C-RNTI,,,,,,,,2,1,1,none,,4|5|6|7,2|10,A,qam256,11,64QAM,0.455078125,0,3,1,codebook,0,2,1,0,2,SRS-DEC-ASSIGN-DYN-03,PWR-ASSIGN-DYN-03,1,1,,PASS
ASSIGN-DYN-04,connected_dynamic_strict,UE1,0,0,1,44,3,decoded_dci_plus_rrc,DCI-4,0_3,1,1,C-RNTI,,,,,,,,2,1,1,none,,4|5|6|7,2|10,A,qam256,12,64QAM,0.5048828125,0,4,1,codebook,0,3,1,0,2,SRS-DEC-ASSIGN-DYN-04,PWR-ASSIGN-DYN-04,1,1,,PASS
ASSIGN-DYN-NEG-01,connected_dynamic_strict,UE1,0,0,1,40,3,decoded_dci_plus_rrc,,,,,,,,,,,,,2,1,1,none,,4|5|6|7,2|10,A,qam256,10,,,0,1,,codebook,0,0,1,0,2,,,0,0,sixgr:pusch:MissingDecodedDCI,PASS
ASSIGN-DYN-NEG-02,connected_dynamic_strict,UE1,0,0,1,40,3,decoded_dci_plus_rrc,DCI-X,0_1,0,1,C-RNTI,,,,,,,,2,1,1,none,,4|5|6|7,2|10,A,qam256,10,,,0,1,,codebook,0,0,1,0,2,,,0,0,sixgr:pusch:DCICRCFailed,PASS
ASSIGN-DYN-NEG-03,connected_dynamic_strict,UE1,0,0,1,40,3,decoded_dci_plus_rrc,DCI-X,0_1,1,0,C-RNTI,,,,,,,,2,1,1,none,,4|5|6|7,2|10,A,qam256,10,,,0,1,,codebook,0,0,1,0,2,,,0,0,sixgr:pusch:DCIRNTIMismatch,PASS
ASSIGN-DYN-NEG-04,connected_dynamic_strict,UE1,0,0,1,40,2,decoded_dci_plus_rrc,DCI-X,0_1,1,1,C-RNTI,,,,,,,,2,1,1,none,,4|5|6|7,2|10,A,qam256,10,,,0,1,,codebook,0,0,1,0,2,,,0,0,sixgr:pusch:StaleBWPContext,PASS
ASSIGN-DYN-NEG-05,connected_dynamic_strict,UE1,0,0,1,40,3,decoded_dci_plus_rrc,DCI-X,0_1,1,1,C-RNTI,,,,,,,,-1,1,1,none,,4|5|6|7,2|10,A,qam256,10,,,0,1,,codebook,0,0,1,0,2,,,0,0,sixgr:pusch:InvalidK2,PASS
ASSIGN-DYN-NEG-06,connected_dynamic_strict,UE1,0,0,1,40,3,decoded_dci_plus_rrc,DCI-X,0_1,1,1,C-RNTI,,,,,,,,2,0,1,none,,4|5|6|7,2|10,A,qam256,10,,,0,1,,codebook,0,0,1,0,2,,,0,0,sixgr:pusch:NoULSymbols,PASS
