FamilyID,Quantity,BaselineError,TreatmentError,BaselineVariance,TreatmentVariance,BaselineAge,TreatmentAge,Status
F01,SS-RSRP,0.81,0.36,0.51,0.23,9,4,PASS
F01,CSI-RSRP,0.82,0.37,0.52,0.24,10,5,PASS
F01,SS-RSRQ,0.83,0.38,0.53,0.25,11,3,PASS
F01,CSI-RSRQ,0.84,0.39,0.54,0.26,12,4,PASS
F01,SS-SINR,0.85,0.4,0.55,0.27,8,5,PASS
F01,CSI-SINR,0.86,0.41,0.56,0.22,9,3,PASS
F01,RSSI,0.87,0.35,0.57,0.23,10,4,PASS
F01,EVM,0.88,0.36,0.5,0.24,11,5,PASS
F01,SS-RSRP,0.8,0.37,0.51,0.25,12,3,PASS
F01,CSI-RSRP,0.81,0.38,0.52,0.26,8,4,PASS
F01,SS-RSRQ,0.82,0.39,0.53,0.27,9,5,PASS
F01,CSI-RSRQ,0.83,0.4,0.54,0.22,10,3,PASS
F02,SS-SINR,0.84,0.41,0.55,0.23,11,4,PASS
F02,CSI-SINR,0.85,0.35,0.56,0.24,12,5,PASS
F02,RSSI,0.86,0.36,0.57,0.25,8,3,PASS
F02,EVM,0.87,0.37,0.5,0.26,9,4,PASS
F02,SS-RSRP,0.88,0.38,0.51,0.27,10,5,PASS
F02,CSI-RSRP,0.8,0.39,0.52,0.22,11,3,PASS
F02,SS-RSRQ,0.81,0.4,0.53,0.23,12,4,PASS
F02,CSI-RSRQ,0.82,0.41,0.54,0.24,8,5,PASS
F02,SS-SINR,0.83,0.35,0.55,0.25,9,3,PASS
F02,CSI-SINR,0.84,0.36,0.56,0.26,10,4,PASS
F02,RSSI,0.85,0.37,0.57,0.27,11,5,PASS
F02,EVM,0.86,0.38,0.5,0.22,12,3,PASS
F03,SS-RSRP,0.87,0.39,0.51,0.23,8,4,PASS
F03,CSI-RSRP,0.88,0.4,0.52,0.24,9,5,PASS
F03,SS-RSRQ,0.8,0.41,0.53,0.25,10,3,PASS
F03,CSI-RSRQ,0.81,0.35,0.54,0.26,11,4,PASS
F03,SS-SINR,0.82,0.36,0.55,0.27,12,5,PASS
F03,CSI-SINR,0.83,0.37,0.56,0.22,8,3,PASS
F03,RSSI,0.84,0.38,0.57,0.23,9,4,PASS
F03,EVM,0.85,0.39,0.5,0.24,10,5,PASS
F03,SS-RSRP,0.86,0.4,0.51,0.25,11,3,PASS
F03,CSI-RSRP,0.87,0.41,0.52,0.26,12,4,PASS
F03,SS-RSRQ,0.88,0.35,0.53,0.27,8,5,PASS
F03,CSI-RSRQ,0.8,0.36,0.54,0.22,9,3,PASS
F04,SS-SINR,0.81,0.37,0.55,0.23,10,4,PASS
F04,CSI-SINR,0.82,0.38,0.56,0.24,11,5,PASS
F04,RSSI,0.83,0.39,0.57,0.25,12,3,PASS
F04,EVM,0.84,0.4,0.5,0.26,8,4,PASS
F04,SS-RSRP,0.85,0.41,0.51,0.27,9,5,PASS
F04,CSI-RSRP,0.86,0.35,0.52,0.22,10,3,PASS
F04,SS-RSRQ,0.87,0.36,0.53,0.23,11,4,PASS
F04,CSI-RSRQ,0.88,0.37,0.54,0.24,12,5,PASS
F04,SS-SINR,0.8,0.38,0.55,0.25,8,3,PASS
F04,CSI-SINR,0.81,0.39,0.56,0.26,9,4,PASS
F04,RSSI,0.82,0.4,0.57,0.27,10,5,PASS
F04,EVM,0.83,0.41,0.5,0.22,11,3,PASS
F05,SS-RSRP,0.84,0.35,0.51,0.23,12,4,PASS
F05,CSI-RSRP,0.85,0.36,0.52,0.24,8,5,PASS
F05,SS-RSRQ,0.86,0.37,0.53,0.25,9,3,PASS
F05,CSI-RSRQ,0.87,0.38,0.54,0.26,10,4,PASS
F05,SS-SINR,0.88,0.39,0.55,0.27,11,5,PASS
F05,CSI-SINR,0.8,0.4,0.56,0.22,12,3,PASS
F05,RSSI,0.81,0.41,0.57,0.23,8,4,PASS
F05,EVM,0.82,0.35,0.5,0.24,9,5,PASS
F05,SS-RSRP,0.83,0.36,0.51,0.25,10,3,PASS
F05,CSI-RSRP,0.84,0.37,0.52,0.26,11,4,PASS
F05,SS-RSRQ,0.85,0.38,0.53,0.27,12,5,PASS
F05,CSI-RSRQ,0.86,0.39,0.54,0.22,8,3,PASS
F06,SS-SINR,0.87,0.4,0.55,0.23,9,4,PASS
F06,CSI-SINR,0.88,0.41,0.56,0.24,10,5,PASS
F06,RSSI,0.8,0.35,0.57,0.25,11,3,PASS
F06,EVM,0.81,0.36,0.5,0.26,12,4,PASS
F06,SS-RSRP,0.82,0.37,0.51,0.27,8,5,PASS
F06,CSI-RSRP,0.83,0.38,0.52,0.22,9,3,PASS
F06,SS-RSRQ,0.84,0.39,0.53,0.23,10,4,PASS
F06,CSI-RSRQ,0.85,0.4,0.54,0.24,11,5,PASS
F06,SS-SINR,0.86,0.41,0.55,0.25,12,3,PASS
F06,CSI-SINR,0.87,0.35,0.56,0.26,8,4,PASS
F06,RSSI,0.88,0.36,0.57,0.27,9,5,PASS
F06,EVM,0.8,0.37,0.5,0.22,10,3,PASS
F07,SS-RSRP,0.81,0.38,0.51,0.23,11,4,PASS
F07,CSI-RSRP,0.82,0.39,0.52,0.24,12,5,PASS
F07,SS-RSRQ,0.83,0.4,0.53,0.25,8,3,PASS
F07,CSI-RSRQ,0.84,0.41,0.54,0.26,9,4,PASS
F07,SS-SINR,0.85,0.35,0.55,0.27,10,5,PASS
F07,CSI-SINR,0.86,0.36,0.56,0.22,11,3,PASS
