ModelID,Response,Term,Coefficient,CILow,CIHigh,PValue,AdjustedPValue,Status
RSLA-I001,resource_accuracy,F01×F01-P01,0.08851,0.070808,0.10621,0.5,0.5,PASS
RSLA-I002,resource_accuracy,F01×F01-P02,0.05901,0.047208,0.070812,0.5,0.5,PASS
RSLA-I003,resource_accuracy,F01×F01-P03,0.044257,0.035406,0.053109,0.5,0.5,PASS
RSLA-I004,resource_accuracy,F01×F01-P04,0.035406,0.028325,0.042487,0.5,0.5,PASS
RSLA-I005,resource_accuracy,F01×F01-P05,0.17702,0.14162,0.21242,0.5,0.5,PASS
RSLA-I006,resource_accuracy,F01×F01-P06,0.088515,0.070812,0.10622,0.5,0.5,PASS
RSLA-I007,resource_accuracy,F02×F02-P01,0.044593,0.035675,0.053512,0.5,0.5,PASS
RSLA-I008,resource_accuracy,F02×F02-P02,0.033447,0.026758,0.040137,0.5,0.5,PASS
RSLA-I009,resource_accuracy,F02×F02-P03,0.026756,0.021405,0.032107,0.5,0.5,PASS
RSLA-I010,resource_accuracy,F02×F02-P04,0.13378,0.10702,0.16054,0.5,0.5,PASS
RSLA-I011,resource_accuracy,F02×F02-P05,0.06689,0.053512,0.080268,0.5,0.5,PASS
RSLA-I012,resource_accuracy,F02×F02-P06,0.044597,0.035677,0.053516,0.5,0.5,PASS
RSLA-I013,resource_accuracy,F03×F03-P01,0.03311,0.026488,0.039732,0.5,0.5,PASS
RSLA-I014,resource_accuracy,F03×F03-P02,0.026486,0.021189,0.031783,0.5,0.5,PASS
RSLA-I015,resource_accuracy,F03×F03-P03,0.13243,0.10594,0.15892,0.5,0.5,PASS
RSLA-I016,resource_accuracy,F03×F03-P04,0.066215,0.052972,0.079458,0.5,0.5,PASS
RSLA-I017,resource_accuracy,F03×F03-P05,0.044147,0.035317,0.052976,0.5,0.5,PASS
RSLA-I018,resource_accuracy,F03×F03-P06,0.033107,0.026486,0.039729,0.5,0.5,PASS
RSLA-I019,resource_accuracy,F04×F04-P01,0.026756,0.021405,0.032107,0.5,0.5,PASS
RSLA-I020,resource_accuracy,F04×F04-P02,0.13378,0.10702,0.16054,0.5,0.5,PASS
RSLA-I021,resource_accuracy,F04×F04-P03,0.06689,0.053512,0.080268,0.5,0.5,PASS
RSLA-I022,resource_accuracy,F04×F04-P04,0.044597,0.035677,0.053516,0.5,0.5,PASS
RSLA-I023,resource_accuracy,F04×F04-P05,0.033445,0.026756,0.040134,0.5,0.5,PASS
RSLA-I024,resource_accuracy,F04×F04-P06,0.026756,0.021405,0.032107,0.5,0.5,PASS
RSLA-I025,resource_accuracy,F05×F05-P01,0.13648,0.10918,0.16378,0.5,0.5,PASS
RSLA-I026,resource_accuracy,F05×F05-P02,0.068245,0.054596,0.081894,0.5,0.5,PASS
RSLA-I027,resource_accuracy,F05×F05-P03,0.045497,0.036397,0.054596,0.5,0.5,PASS
RSLA-I028,resource_accuracy,F05×F05-P04,0.034123,0.027298,0.040947,0.5,0.5,PASS
RSLA-I029,resource_accuracy,F05×F05-P05,0.027296,0.021837,0.032755,0.5,0.5,PASS
RSLA-I030,resource_accuracy,F05×F05-P06,0.13649,0.10919,0.16379,0.5,0.5,PASS
RSLA-I031,resource_accuracy,F06×F06-P01,0.06757,0.054056,0.081084,0.5,0.5,PASS
RSLA-I032,resource_accuracy,F06×F06-P02,0.045043,0.036035,0.054052,0.5,0.5,PASS
RSLA-I033,resource_accuracy,F06×F06-P03,0.033783,0.027026,0.040539,0.5,0.5,PASS
RSLA-I034,resource_accuracy,F06×F06-P04,0.027028,0.021622,0.032434,0.5,0.5,PASS
RSLA-I035,resource_accuracy,F06×F06-P05,0.13514,0.10811,0.16217,0.5,0.5,PASS
RSLA-I036,resource_accuracy,F06×F06-P06,0.067565,0.054052,0.081078,0.5,0.5,PASS
RSLA-I037,resource_accuracy,F07×F07-P01,0.04775,0.0382,0.0573,0.5,0.5,PASS
RSLA-I038,resource_accuracy,F07×F07-P02,0.035812,0.02865,0.042975,0.5,0.5,PASS
RSLA-I039,resource_accuracy,F07×F07-P03,0.028648,0.022918,0.034378,0.5,0.5,PASS
RSLA-I040,resource_accuracy,F07×F07-P04,0.14324,0.11459,0.17189,0.5,0.5,PASS
RSLA-I041,resource_accuracy,F07×F07-P05,0.071625,0.0573,0.08595,0.5,0.5,PASS
RSLA-I042,resource_accuracy,F07×F07-P06,0.047747,0.038197,0.057296,0.5,0.5,PASS
RSLA-I043,resource_accuracy,F08×F08-P01,0.037163,0.02973,0.044595,0.5,0.5,PASS
RSLA-I044,resource_accuracy,F08×F08-P02,0.02973,0.023784,0.035676,0.5,0.5,PASS
RSLA-I045,resource_accuracy,F08×F08-P03,0.14865,0.11892,0.17838,0.5,0.5,PASS
RSLA-I046,resource_accuracy,F08×F08-P04,0.074325,0.05946,0.08919,0.5,0.5,PASS
RSLA-I047,resource_accuracy,F08×F08-P05,0.04955,0.03964,0.05946,0.5,0.5,PASS
RSLA-I048,resource_accuracy,F08×F08-P06,0.037163,0.02973,0.044595,0.5,0.5,PASS
RSLA-I049,resource_accuracy,F09×F09-P01,0.02973,0.023784,0.035676,0.5,0.5,PASS
RSLA-I050,resource_accuracy,F09×F09-P02,0.14865,0.11892,0.17838,0.5,0.5,PASS
