FamilyID,Method,BaselinePredictionRMSE,TreatmentPredictionRMSE,BaselineBLERError,TreatmentBLERError,Status
F01,CQI-MCS,1.21,0.56,0.121,0.046,PASS
F01,EESM,1.22,0.57,0.122,0.047,PASS
F01,MIESM,1.23,0.58,0.123,0.048,PASS
F01,PROFILE-KEYED,1.24,0.59,0.124,0.049,PASS
F01,CQI-MCS,1.25,0.6,0.125,0.05,PASS
F01,EESM,1.26,0.61,0.126,0.051,PASS
F01,MIESM,1.27,0.62,0.127,0.045,PASS
F01,PROFILE-KEYED,1.28,0.63,0.128,0.046,PASS
F01,CQI-MCS,1.29,0.55,0.129,0.047,PASS
F01,EESM,1.3,0.56,0.13,0.048,PASS
F01,MIESM,1.31,0.57,0.12,0.049,PASS
F01,PROFILE-KEYED,1.2,0.58,0.121,0.05,PASS
F02,CQI-MCS,1.21,0.59,0.122,0.051,PASS
F02,EESM,1.22,0.6,0.123,0.045,PASS
F02,MIESM,1.23,0.61,0.124,0.046,PASS
F02,PROFILE-KEYED,1.24,0.62,0.125,0.047,PASS
F02,CQI-MCS,1.25,0.63,0.126,0.048,PASS
F02,EESM,1.26,0.55,0.127,0.049,PASS
F02,MIESM,1.27,0.56,0.128,0.05,PASS
F02,PROFILE-KEYED,1.28,0.57,0.129,0.051,PASS
F02,CQI-MCS,1.29,0.58,0.13,0.045,PASS
F02,EESM,1.3,0.59,0.12,0.046,PASS
F02,MIESM,1.31,0.6,0.121,0.047,PASS
F02,PROFILE-KEYED,1.2,0.61,0.122,0.048,PASS
F03,CQI-MCS,1.21,0.62,0.123,0.049,PASS
F03,EESM,1.22,0.63,0.124,0.05,PASS
F03,MIESM,1.23,0.55,0.125,0.051,PASS
F03,PROFILE-KEYED,1.24,0.56,0.126,0.045,PASS
F03,CQI-MCS,1.25,0.57,0.127,0.046,PASS
F03,EESM,1.26,0.58,0.128,0.047,PASS
F03,MIESM,1.27,0.59,0.129,0.048,PASS
F03,PROFILE-KEYED,1.28,0.6,0.13,0.049,PASS
F03,CQI-MCS,1.29,0.61,0.12,0.05,PASS
F03,EESM,1.3,0.62,0.121,0.051,PASS
F03,MIESM,1.31,0.63,0.122,0.045,PASS
F03,PROFILE-KEYED,1.2,0.55,0.123,0.046,PASS
F04,CQI-MCS,1.21,0.56,0.124,0.047,PASS
F04,EESM,1.22,0.57,0.125,0.048,PASS
F04,MIESM,1.23,0.58,0.126,0.049,PASS
F04,PROFILE-KEYED,1.24,0.59,0.127,0.05,PASS
F04,CQI-MCS,1.25,0.6,0.128,0.051,PASS
F04,EESM,1.26,0.61,0.129,0.045,PASS
F04,MIESM,1.27,0.62,0.13,0.046,PASS
F04,PROFILE-KEYED,1.28,0.63,0.12,0.047,PASS
F04,CQI-MCS,1.29,0.55,0.121,0.048,PASS
F04,EESM,1.3,0.56,0.122,0.049,PASS
F04,MIESM,1.31,0.57,0.123,0.05,PASS
F04,PROFILE-KEYED,1.2,0.58,0.124,0.051,PASS
F05,CQI-MCS,1.21,0.59,0.125,0.045,PASS
F05,EESM,1.22,0.6,0.126,0.046,PASS
F05,MIESM,1.23,0.61,0.127,0.047,PASS
F05,PROFILE-KEYED,1.24,0.62,0.128,0.048,PASS
F05,CQI-MCS,1.25,0.63,0.129,0.049,PASS
F05,EESM,1.26,0.55,0.13,0.05,PASS
F05,MIESM,1.27,0.56,0.12,0.051,PASS
F05,PROFILE-KEYED,1.28,0.57,0.121,0.045,PASS
F05,CQI-MCS,1.29,0.58,0.122,0.046,PASS
F05,EESM,1.3,0.59,0.123,0.047,PASS
F05,MIESM,1.31,0.6,0.124,0.048,PASS
F05,PROFILE-KEYED,1.2,0.61,0.125,0.049,PASS
F06,CQI-MCS,1.21,0.62,0.126,0.05,PASS
F06,EESM,1.22,0.63,0.127,0.051,PASS
F06,MIESM,1.23,0.55,0.128,0.045,PASS
F06,PROFILE-KEYED,1.24,0.56,0.129,0.046,PASS
F06,CQI-MCS,1.25,0.57,0.13,0.047,PASS
F06,EESM,1.26,0.58,0.12,0.048,PASS
F06,MIESM,1.27,0.59,0.121,0.049,PASS
F06,PROFILE-KEYED,1.28,0.6,0.122,0.05,PASS
F06,CQI-MCS,1.29,0.61,0.123,0.051,PASS
F06,EESM,1.3,0.62,0.124,0.045,PASS
F06,MIESM,1.31,0.63,0.125,0.046,PASS
F06,PROFILE-KEYED,1.2,0.55,0.126,0.047,PASS
F07,CQI-MCS,1.21,0.56,0.127,0.048,PASS
F07,EESM,1.22,0.57,0.128,0.049,PASS
F07,MIESM,1.23,0.58,0.129,0.05,PASS
F07,PROFILE-KEYED,1.24,0.59,0.13,0.051,PASS
F07,CQI-MCS,1.25,0.6,0.12,0.045,PASS
F07,EESM,1.26,0.61,0.121,0.046,PASS
F07,MIESM,1.27,0.62,0.122,0.047,PASS
F07,PROFILE-KEYED,1.28,0.63,0.123,0.048,PASS
