FamilyID,EventID,BaselineFalseTriggers,TreatmentFalseTriggers,BaselineDelay,TreatmentDelay,Status
F01,A1,4,1,19,9,PASS
F01,A2,5,0,20,10,PASS
F01,A3,6,1,21,11,PASS
F01,A4,7,0,22,12,PASS
F01,A5,3,1,23,8,PASS
F01,B1,4,0,24,9,PASS
F01,B2,5,1,18,10,PASS
F01,A1,6,0,19,11,PASS
F01,A2,7,1,20,12,PASS
F01,A3,3,0,21,8,PASS
F01,A4,4,1,22,9,PASS
F01,A5,5,0,23,10,PASS
F02,B1,6,1,24,11,PASS
F02,B2,7,0,18,12,PASS
F02,A1,3,1,19,8,PASS
F02,A2,4,0,20,9,PASS
F02,A3,5,1,21,10,PASS
F02,A4,6,0,22,11,PASS
F02,A5,7,1,23,12,PASS
F02,B1,3,0,24,8,PASS
F02,B2,4,1,18,9,PASS
F02,A1,5,0,19,10,PASS
F02,A2,6,1,20,11,PASS
F02,A3,7,0,21,12,PASS
F03,A4,3,1,22,8,PASS
F03,A5,4,0,23,9,PASS
F03,B1,5,1,24,10,PASS
F03,B2,6,0,18,11,PASS
F03,A1,7,1,19,12,PASS
F03,A2,3,0,20,8,PASS
F03,A3,4,1,21,9,PASS
F03,A4,5,0,22,10,PASS
F03,A5,6,1,23,11,PASS
F03,B1,7,0,24,12,PASS
F03,B2,3,1,18,8,PASS
F03,A1,4,0,19,9,PASS
F04,A2,5,1,20,10,PASS
F04,A3,6,0,21,11,PASS
F04,A4,7,1,22,12,PASS
F04,A5,3,0,23,8,PASS
F04,B1,4,1,24,9,PASS
F04,B2,5,0,18,10,PASS
F04,A1,6,1,19,11,PASS
F04,A2,7,0,20,12,PASS
F04,A3,3,1,21,8,PASS
F04,A4,4,0,22,9,PASS
F04,A5,5,1,23,10,PASS
F04,B1,6,0,24,11,PASS
F05,B2,7,1,18,12,PASS
F05,A1,3,0,19,8,PASS
F05,A2,4,1,20,9,PASS
F05,A3,5,0,21,10,PASS
F05,A4,6,1,22,11,PASS
F05,A5,7,0,23,12,PASS
F05,B1,3,1,24,8,PASS
F05,B2,4,0,18,9,PASS
F05,A1,5,1,19,10,PASS
F05,A2,6,0,20,11,PASS
F05,A3,7,1,21,12,PASS
F05,A4,3,0,22,8,PASS
F06,A5,4,1,23,9,PASS
F06,B1,5,0,24,10,PASS
F06,B2,6,1,18,11,PASS
F06,A1,7,0,19,12,PASS
F06,A2,3,1,20,8,PASS
F06,A3,4,0,21,9,PASS
F06,A4,5,1,22,10,PASS
F06,A5,6,0,23,11,PASS
F06,B1,7,1,24,12,PASS
F06,B2,3,0,18,8,PASS
F06,A1,4,1,19,9,PASS
F06,A2,5,0,20,10,PASS
F07,A3,6,1,21,11,PASS
F07,A4,7,0,22,12,PASS
F07,A5,3,1,23,8,PASS
F07,B1,4,0,24,9,PASS
F07,B2,5,1,18,10,PASS
F07,A1,6,0,19,11,PASS
F07,A2,7,1,20,12,PASS
F07,A3,3,0,21,8,PASS
