FamilyID,UEID,TargetBLER,BaselineAchievedBLER,TreatmentAchievedBLER,BaselineConvergenceSlots,TreatmentConvergenceSlots,Leakage,Status
F01,UE01,0.1,0.136,0.106,46,22,0,PASS
F01,UE02,0.1,0.137,0.107,47,23,0,PASS
F01,UE03,0.1,0.138,0.105,48,24,0,PASS
F01,UE04,0.1,0.139,0.106,49,25,0,PASS
F01,UE05,0.1,0.135,0.107,50,26,0,PASS
F01,UE06,0.1,0.136,0.105,51,27,0,PASS
F01,UE07,0.1,0.137,0.106,52,28,0,PASS
F01,UE08,0.1,0.138,0.107,53,29,0,PASS
F01,UE01,0.1,0.139,0.105,54,21,0,PASS
F01,UE02,0.1,0.135,0.106,55,22,0,PASS
F01,UE03,0.1,0.136,0.107,56,23,0,PASS
F01,UE04,0.1,0.137,0.105,45,24,0,PASS
F02,UE05,0.1,0.138,0.106,46,25,0,PASS
F02,UE06,0.1,0.139,0.107,47,26,0,PASS
F02,UE07,0.1,0.135,0.105,48,27,0,PASS
F02,UE08,0.1,0.136,0.106,49,28,0,PASS
F02,UE01,0.1,0.137,0.107,50,29,0,PASS
F02,UE02,0.1,0.138,0.105,51,21,0,PASS
F02,UE03,0.1,0.139,0.106,52,22,0,PASS
F02,UE04,0.1,0.135,0.107,53,23,0,PASS
F02,UE05,0.1,0.136,0.105,54,24,0,PASS
F02,UE06,0.1,0.137,0.106,55,25,0,PASS
F02,UE07,0.1,0.138,0.107,56,26,0,PASS
F02,UE08,0.1,0.139,0.105,45,27,0,PASS
F03,UE01,0.1,0.135,0.106,46,28,0,PASS
F03,UE02,0.1,0.136,0.107,47,29,0,PASS
F03,UE03,0.1,0.137,0.105,48,21,0,PASS
F03,UE04,0.1,0.138,0.106,49,22,0,PASS
F03,UE05,0.1,0.139,0.107,50,23,0,PASS
F03,UE06,0.1,0.135,0.105,51,24,0,PASS
F03,UE07,0.1,0.136,0.106,52,25,0,PASS
F03,UE08,0.1,0.137,0.107,53,26,0,PASS
F03,UE01,0.1,0.138,0.105,54,27,0,PASS
F03,UE02,0.1,0.139,0.106,55,28,0,PASS
F03,UE03,0.1,0.135,0.107,56,29,0,PASS
F03,UE04,0.1,0.136,0.105,45,21,0,PASS
F04,UE05,0.1,0.137,0.106,46,22,0,PASS
F04,UE06,0.1,0.138,0.107,47,23,0,PASS
F04,UE07,0.1,0.139,0.105,48,24,0,PASS
F04,UE08,0.1,0.135,0.106,49,25,0,PASS
F04,UE01,0.1,0.136,0.107,50,26,0,PASS
F04,UE02,0.1,0.137,0.105,51,27,0,PASS
F04,UE03,0.1,0.138,0.106,52,28,0,PASS
F04,UE04,0.1,0.139,0.107,53,29,0,PASS
F04,UE05,0.1,0.135,0.105,54,21,0,PASS
F04,UE06,0.1,0.136,0.106,55,22,0,PASS
F04,UE07,0.1,0.137,0.107,56,23,0,PASS
F04,UE08,0.1,0.138,0.105,45,24,0,PASS
F05,UE01,0.1,0.139,0.106,46,25,0,PASS
F05,UE02,0.1,0.135,0.107,47,26,0,PASS
F05,UE03,0.1,0.136,0.105,48,27,0,PASS
F05,UE04,0.1,0.137,0.106,49,28,0,PASS
F05,UE05,0.1,0.138,0.107,50,29,0,PASS
F05,UE06,0.1,0.139,0.105,51,21,0,PASS
F05,UE07,0.1,0.135,0.106,52,22,0,PASS
F05,UE08,0.1,0.136,0.107,53,23,0,PASS
F05,UE01,0.1,0.137,0.105,54,24,0,PASS
F05,UE02,0.1,0.138,0.106,55,25,0,PASS
F05,UE03,0.1,0.139,0.107,56,26,0,PASS
F05,UE04,0.1,0.135,0.105,45,27,0,PASS
F06,UE05,0.1,0.136,0.106,46,28,0,PASS
F06,UE06,0.1,0.137,0.107,47,29,0,PASS
F06,UE07,0.1,0.138,0.105,48,21,0,PASS
F06,UE08,0.1,0.139,0.106,49,22,0,PASS
F06,UE01,0.1,0.135,0.107,50,23,0,PASS
F06,UE02,0.1,0.136,0.105,51,24,0,PASS
F06,UE03,0.1,0.137,0.106,52,25,0,PASS
F06,UE04,0.1,0.138,0.107,53,26,0,PASS
F06,UE05,0.1,0.139,0.105,54,27,0,PASS
F06,UE06,0.1,0.135,0.106,55,28,0,PASS
F06,UE07,0.1,0.136,0.107,56,29,0,PASS
F06,UE08,0.1,0.137,0.105,45,21,0,PASS
F07,UE01,0.1,0.138,0.106,46,22,0,PASS
F07,UE02,0.1,0.139,0.107,47,23,0,PASS
F07,UE03,0.1,0.135,0.105,48,24,0,PASS
F07,UE04,0.1,0.136,0.106,49,25,0,PASS
F07,UE05,0.1,0.137,0.107,50,26,0,PASS
F07,UE06,0.1,0.138,0.105,51,27,0,PASS
F07,UE07,0.1,0.139,0.106,52,28,0,PASS
F07,UE08,0.1,0.135,0.107,53,29,0,PASS
