FamilyID,ResourceFamily,BaselineOverhead,TreatmentOverhead,BaselineNMSE,TreatmentNMSE,BaselineBLER,TreatmentBLER,Status
F01,DMRS,0.016,0.0185,0.121,0.081,0.121,0.091,PASS
F01,DMRS,0.017,0.02,0.122,0.082,0.122,0.092,PASS
F01,DMRS,0.018,0.0215,0.123,0.083,0.123,0.093,PASS
F01,DMRS,0.019,0.023,0.124,0.084,0.124,0.094,PASS
F01,DMRS,0.02,0.022,0.125,0.085,0.125,0.095,PASS
F01,DMRS,0.021,0.0235,0.126,0.086,0.126,0.096,PASS
F01,DMRS,0.022,0.025,0.127,0.087,0.127,0.09,PASS
F01,DMRS,0.023,0.0265,0.128,0.088,0.128,0.091,PASS
F01,DMRS,0.024,0.028,0.129,0.089,0.12,0.092,PASS
F01,DMRS,0.025,0.027,0.13,0.09,0.121,0.093,PASS
F01,DMRS,0.015,0.0175,0.131,0.091,0.122,0.094,PASS
F01,DMRS,0.016,0.019,0.132,0.092,0.123,0.095,PASS
F02,CSI-RS,0.017,0.0205,0.133,0.08,0.124,0.096,PASS
F02,CSI-RS,0.018,0.022,0.134,0.081,0.125,0.09,PASS
F02,CSI-RS,0.019,0.021,0.135,0.082,0.126,0.091,PASS
F02,CSI-RS,0.02,0.0225,0.136,0.083,0.127,0.092,PASS
F02,CSI-RS,0.021,0.024,0.12,0.084,0.128,0.093,PASS
F02,CSI-RS,0.022,0.0255,0.121,0.085,0.12,0.094,PASS
F02,CSI-RS,0.023,0.027,0.122,0.086,0.121,0.095,PASS
F02,CSI-RS,0.024,0.026,0.123,0.087,0.122,0.096,PASS
F02,CSI-RS,0.025,0.0275,0.124,0.088,0.123,0.09,PASS
F02,CSI-RS,0.015,0.018,0.125,0.089,0.124,0.091,PASS
F02,CSI-RS,0.016,0.0195,0.126,0.09,0.125,0.092,PASS
F02,CSI-RS,0.017,0.021,0.127,0.091,0.126,0.093,PASS
F03,SRS,0.018,0.02,0.128,0.092,0.127,0.094,PASS
F03,SRS,0.019,0.0215,0.129,0.08,0.128,0.095,PASS
F03,SRS,0.02,0.023,0.13,0.081,0.12,0.096,PASS
F03,SRS,0.021,0.0245,0.131,0.082,0.121,0.09,PASS
F03,SRS,0.022,0.026,0.132,0.083,0.122,0.091,PASS
F03,SRS,0.023,0.025,0.133,0.084,0.123,0.092,PASS
F03,SRS,0.024,0.0265,0.134,0.085,0.124,0.093,PASS
F03,SRS,0.025,0.028,0.135,0.086,0.125,0.094,PASS
F03,SRS,0.015,0.0185,0.136,0.087,0.126,0.095,PASS
F03,SRS,0.016,0.02,0.12,0.088,0.127,0.096,PASS
F03,SRS,0.017,0.019,0.121,0.089,0.128,0.09,PASS
F03,SRS,0.018,0.0205,0.122,0.09,0.12,0.091,PASS
F04,TRS,0.019,0.022,0.123,0.091,0.121,0.092,PASS
F04,TRS,0.02,0.0235,0.124,0.092,0.122,0.093,PASS
F04,TRS,0.021,0.025,0.125,0.08,0.123,0.094,PASS
F04,TRS,0.022,0.024,0.126,0.081,0.124,0.095,PASS
F04,TRS,0.023,0.0255,0.127,0.082,0.125,0.096,PASS
F04,TRS,0.024,0.027,0.128,0.083,0.126,0.09,PASS
F04,TRS,0.025,0.0285,0.129,0.084,0.127,0.091,PASS
F04,TRS,0.015,0.019,0.13,0.085,0.128,0.092,PASS
F04,TRS,0.016,0.018,0.131,0.086,0.12,0.093,PASS
F04,TRS,0.017,0.0195,0.132,0.087,0.121,0.094,PASS
F04,TRS,0.018,0.021,0.133,0.088,0.122,0.095,PASS
F04,TRS,0.019,0.0225,0.134,0.089,0.123,0.096,PASS
F05,PT-RS,0.02,0.024,0.135,0.09,0.124,0.09,PASS
F05,PT-RS,0.021,0.023,0.136,0.091,0.125,0.091,PASS
F05,PT-RS,0.022,0.0245,0.12,0.092,0.126,0.092,PASS
F05,PT-RS,0.023,0.026,0.121,0.08,0.127,0.093,PASS
F05,PT-RS,0.024,0.0275,0.122,0.081,0.128,0.094,PASS
F05,PT-RS,0.025,0.029,0.123,0.082,0.12,0.095,PASS
F05,PT-RS,0.015,0.017,0.124,0.083,0.121,0.096,PASS
F05,PT-RS,0.016,0.0185,0.125,0.084,0.122,0.09,PASS
F05,PT-RS,0.017,0.02,0.126,0.085,0.123,0.091,PASS
F05,PT-RS,0.018,0.0215,0.127,0.086,0.124,0.092,PASS
F05,PT-RS,0.019,0.023,0.128,0.087,0.125,0.093,PASS
F05,PT-RS,0.02,0.022,0.129,0.088,0.126,0.094,PASS
F06,DMRS,0.021,0.0235,0.13,0.089,0.127,0.095,PASS
F06,DMRS,0.022,0.025,0.131,0.09,0.128,0.096,PASS
F06,DMRS,0.023,0.0265,0.132,0.091,0.12,0.09,PASS
F06,DMRS,0.024,0.028,0.133,0.092,0.121,0.091,PASS
F06,DMRS,0.025,0.027,0.134,0.08,0.122,0.092,PASS
F06,DMRS,0.015,0.0175,0.135,0.081,0.123,0.093,PASS
F06,DMRS,0.016,0.019,0.136,0.082,0.124,0.094,PASS
F06,DMRS,0.017,0.0205,0.12,0.083,0.125,0.095,PASS
F06,DMRS,0.018,0.022,0.121,0.084,0.126,0.096,PASS
F06,DMRS,0.019,0.021,0.122,0.085,0.127,0.09,PASS
F06,DMRS,0.02,0.0225,0.123,0.086,0.128,0.091,PASS
F06,DMRS,0.021,0.024,0.124,0.087,0.12,0.092,PASS
F07,CSI-RS,0.022,0.0255,0.125,0.088,0.121,0.093,PASS
F07,CSI-RS,0.023,0.027,0.126,0.089,0.122,0.094,PASS
F07,CSI-RS,0.024,0.026,0.127,0.09,0.123,0.095,PASS
F07,CSI-RS,0.025,0.0275,0.128,0.091,0.124,0.096,PASS
F07,CSI-RS,0.015,0.018,0.129,0.092,0.125,0.09,PASS
F07,CSI-RS,0.016,0.0195,0.13,0.08,0.126,0.091,PASS
F07,CSI-RS,0.017,0.021,0.131,0.081,0.127,0.092,PASS
F07,CSI-RS,0.018,0.02,0.132,0.082,0.128,0.093,PASS
F07,CSI-RS,0.019,0.0215,0.133,0.083,0.12,0.094,PASS
F07,CSI-RS,0.02,0.023,0.134,0.084,0.121,0.095,PASS
F07,CSI-RS,0.021,0.0245,0.135,0.085,0.122,0.096,PASS
F07,CSI-RS,0.022,0.026,0.136,0.086,0.123,0.09,PASS
F08,SRS,0.023,0.025,0.12,0.087,0.124,0.091,PASS
F08,SRS,0.024,0.0265,0.121,0.088,0.125,0.092,PASS
F08,SRS,0.025,0.028,0.122,0.089,0.126,0.093,PASS
F08,SRS,0.015,0.0185,0.123,0.09,0.127,0.094,PASS
F08,SRS,0.016,0.02,0.124,0.091,0.128,0.095,PASS
F08,SRS,0.017,0.019,0.125,0.092,0.12,0.096,PASS
F08,SRS,0.018,0.0205,0.126,0.08,0.121,0.09,PASS
F08,SRS,0.019,0.022,0.127,0.081,0.122,0.091,PASS
F08,SRS,0.02,0.0235,0.128,0.082,0.123,0.092,PASS
F08,SRS,0.021,0.025,0.129,0.083,0.124,0.093,PASS
F08,SRS,0.022,0.024,0.13,0.084,0.125,0.094,PASS
F08,SRS,0.023,0.0255,0.131,0.085,0.126,0.095,PASS
F09,TRS,0.024,0.027,0.132,0.086,0.127,0.096,PASS
F09,TRS,0.025,0.0285,0.133,0.087,0.128,0.09,PASS
F09,TRS,0.015,0.019,0.134,0.088,0.12,0.091,PASS
F09,TRS,0.016,0.018,0.135,0.089,0.121,0.092,PASS
