FamilyID,ReportProfile,BaselineBits,TreatmentBits,BaselineLatency,TreatmentLatency,BaselineDecodeRate,TreatmentDecodeRate,Status
F01,P01,5,6,8,5,0.911,0.971,PASS
F01,P02,6,8,9,6,0.912,0.972,PASS
F01,P03,7,10,10,7,0.913,0.973,PASS
F01,P04,8,12,11,4,0.914,0.974,PASS
F01,P05,9,9,12,5,0.915,0.975,PASS
F01,P06,10,11,7,6,0.916,0.976,PASS
F01,P07,4,6,8,7,0.917,0.977,PASS
F01,P08,5,8,9,4,0.918,0.978,PASS
F01,P01,6,10,10,5,0.919,0.979,PASS
F01,P02,7,7,11,6,0.92,0.98,PASS
F01,P03,8,9,12,7,0.921,0.981,PASS
F01,P04,9,11,7,4,0.922,0.982,PASS
F02,P05,10,13,8,5,0.923,0.983,PASS
F02,P06,4,8,9,6,0.924,0.984,PASS
F02,P07,5,5,10,7,0.925,0.97,PASS
F02,P08,6,7,11,4,0.926,0.971,PASS
F02,P01,7,9,12,5,0.927,0.972,PASS
F02,P02,8,11,7,6,0.928,0.973,PASS
F02,P03,9,13,8,7,0.929,0.974,PASS
F02,P04,10,10,9,4,0.91,0.975,PASS
F02,P05,4,5,10,5,0.911,0.976,PASS
F02,P06,5,7,11,6,0.912,0.977,PASS
F02,P07,6,9,12,7,0.913,0.978,PASS
F02,P08,7,11,7,4,0.914,0.979,PASS
F03,P01,8,8,8,5,0.915,0.98,PASS
F03,P02,9,10,9,6,0.916,0.981,PASS
F03,P03,10,12,10,7,0.917,0.982,PASS
F03,P04,4,7,11,4,0.918,0.983,PASS
F03,P05,5,9,12,5,0.919,0.984,PASS
F03,P06,6,6,7,6,0.92,0.97,PASS
F03,P07,7,8,8,7,0.921,0.971,PASS
F03,P08,8,10,9,4,0.922,0.972,PASS
F03,P01,9,12,10,5,0.923,0.973,PASS
F03,P02,10,14,11,6,0.924,0.974,PASS
F03,P03,4,4,12,7,0.925,0.975,PASS
F03,P04,5,6,7,4,0.926,0.976,PASS
F04,P05,6,8,8,5,0.927,0.977,PASS
F04,P06,7,10,9,6,0.928,0.978,PASS
F04,P07,8,12,10,7,0.929,0.979,PASS
F04,P08,9,9,11,4,0.91,0.98,PASS
F04,P01,10,11,12,5,0.911,0.981,PASS
F04,P02,4,6,7,6,0.912,0.982,PASS
F04,P03,5,8,8,7,0.913,0.983,PASS
F04,P04,6,10,9,4,0.914,0.984,PASS
F04,P05,7,7,10,5,0.915,0.97,PASS
F04,P06,8,9,11,6,0.916,0.971,PASS
F04,P07,9,11,12,7,0.917,0.972,PASS
F04,P08,10,13,7,4,0.918,0.973,PASS
F05,P01,4,8,8,5,0.919,0.974,PASS
F05,P02,5,5,9,6,0.92,0.975,PASS
F05,P03,6,7,10,7,0.921,0.976,PASS
F05,P04,7,9,11,4,0.922,0.977,PASS
F05,P05,8,11,12,5,0.923,0.978,PASS
F05,P06,9,13,7,6,0.924,0.979,PASS
F05,P07,10,10,8,7,0.925,0.98,PASS
F05,P08,4,5,9,4,0.926,0.981,PASS
F05,P01,5,7,10,5,0.927,0.982,PASS
F05,P02,6,9,11,6,0.928,0.983,PASS
F05,P03,7,11,12,7,0.929,0.984,PASS
F05,P04,8,8,7,4,0.91,0.97,PASS
F06,P05,9,10,8,5,0.911,0.971,PASS
F06,P06,10,12,9,6,0.912,0.972,PASS
F06,P07,4,7,10,7,0.913,0.973,PASS
F06,P08,5,9,11,4,0.914,0.974,PASS
F06,P01,6,6,12,5,0.915,0.975,PASS
F06,P02,7,8,7,6,0.916,0.976,PASS
F06,P03,8,10,8,7,0.917,0.977,PASS
F06,P04,9,12,9,4,0.918,0.978,PASS
F06,P05,10,14,10,5,0.919,0.979,PASS
F06,P06,4,4,11,6,0.92,0.98,PASS
F06,P07,5,6,12,7,0.921,0.981,PASS
F06,P08,6,8,7,4,0.922,0.982,PASS
F07,P01,7,10,8,5,0.923,0.983,PASS
F07,P02,8,12,9,6,0.924,0.984,PASS
F07,P03,9,9,10,7,0.925,0.97,PASS
F07,P04,10,11,11,4,0.926,0.971,PASS
F07,P05,4,6,12,5,0.927,0.972,PASS
F07,P06,5,8,7,6,0.928,0.973,PASS
F07,P07,6,10,8,7,0.929,0.974,PASS
F07,P08,7,7,9,4,0.91,0.975,PASS
