relative_path,artifact_role,canonical_source,row_count,column_count,all_zero_finite_column_count,all_missing_column_count,mixed_finite_missing_column_count,semantic_check_count,required_semantic_failure_count,mirror_hash_verified,audit_disposition
air_interface/csv/csi_feedback_reports.csv,canonical_or_derived_artifact,air_interface/csv/csi_feedback_reports.csv,8,71,3,0,26,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
air_interface/csv/csi_rs_trials.csv,canonical_or_derived_artifact,air_interface/csv/csi_rs_trials.csv,2,122,10,0,0,7,0,False,PASS_CONTROL_RUNTIME_SEMANTICS
air_interface/csv/distance_vs_sinr.csv,canonical_or_derived_artifact,air_interface/csv/distance_vs_sinr.csv,8,16,1,1,0,3,0,False,PASS_DERIVED_LINK_SEMANTICS
air_interface/csv/dl_constellation_samples.csv,canonical_or_derived_artifact,air_interface/csv/dl_constellation_samples.csv,2314,63,1,0,0,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
air_interface/csv/dl_measured_sinr_bler_curve.csv,canonical_or_derived_artifact,air_interface/csv/dl_measured_sinr_bler_curve.csv,4,19,4,0,2,3,0,False,PASS_DERIVED_LINK_SEMANTICS
air_interface/csv/dl_measured_sinr_throughput_curve.csv,canonical_or_derived_artifact,air_interface/csv/dl_measured_sinr_throughput_curve.csv,4,18,0,0,2,3,0,False,PASS_DERIVED_LINK_SEMANTICS
air_interface/csv/dl_pdsch_receiver_evidence_audit.csv,canonical_or_derived_artifact,air_interface/csv/dl_pdsch_receiver_evidence_audit.csv,6,47,5,0,0,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
air_interface/csv/dl_pdsch_trials.csv,primary_runtime_truth,air_interface/csv/dl_pdsch_trials.csv,6,993,122,214,21,15,0,False,PASS_PRIMARY_RUNTIME_SEMANTICS
air_interface/csv/fer_summary.csv,canonical_or_derived_artifact,air_interface/csv/fer_summary.csv,4,14,4,0,3,3,0,False,PASS_DERIVED_LINK_SEMANTICS
air_interface/csv/harq_combining_gain.csv,canonical_or_derived_artifact,air_interface/csv/harq_combining_gain.csv,1,16,8,0,0,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
air_interface/csv/link_anchor_kpis.csv,canonical_or_derived_artifact,air_interface/csv/link_anchor_kpis.csv,6,23,4,5,7,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
air_interface/csv/link_kpis.csv,canonical_or_derived_artifact,air_interface/csv/link_kpis.csv,6,17,2,0,10,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
air_interface/csv/live_measured_sinr_summary.csv,canonical_or_derived_artifact,air_interface/csv/live_measured_sinr_summary.csv,4,24,2,0,1,3,0,False,PASS_DERIVED_LINK_SEMANTICS
