CaseID,ResourceA,ResourceB,OverlapCount,OrthogonalityProven,ExpectedDisposition,ActualDisposition,Status
COL-001,CSI-RS,TRS,0,false,PASS,PASS,PASS
COL-002,SRS,CSI-IM,12,true,ORTHOGONAL_SHARE,ORTHOGONAL_SHARE,PASS
COL-003,PTRS,PDSCH,1,false,COLLISION,COLLISION,PASS
COL-004,DMRS,PUSCH,6,false,COLLISION,COLLISION,PASS
COL-005,CSI-RS,TRS,0,false,PASS,PASS,PASS
COL-006,SRS,CSI-IM,12,true,ORTHOGONAL_SHARE,ORTHOGONAL_SHARE,PASS
COL-007,PTRS,PDSCH,1,false,COLLISION,COLLISION,PASS
COL-008,DMRS,PUSCH,6,false,COLLISION,COLLISION,PASS
COL-009,CSI-RS,TRS,0,false,PASS,PASS,PASS
COL-010,SRS,CSI-IM,12,true,ORTHOGONAL_SHARE,ORTHOGONAL_SHARE,PASS
COL-011,PTRS,PDSCH,1,false,COLLISION,COLLISION,PASS
COL-012,DMRS,PUSCH,6,false,COLLISION,COLLISION,PASS
COL-013,CSI-RS,TRS,0,false,PASS,PASS,PASS
COL-014,SRS,CSI-IM,12,true,ORTHOGONAL_SHARE,ORTHOGONAL_SHARE,PASS
COL-015,PTRS,PDSCH,1,false,COLLISION,COLLISION,PASS
COL-016,DMRS,PUSCH,6,false,COLLISION,COLLISION,PASS
COL-017,CSI-RS,TRS,0,false,PASS,PASS,PASS
COL-018,SRS,CSI-IM,12,true,ORTHOGONAL_SHARE,ORTHOGONAL_SHARE,PASS
COL-019,PTRS,PDSCH,1,false,COLLISION,COLLISION,PASS
COL-020,DMRS,PUSCH,6,false,COLLISION,COLLISION,PASS
COL-021,CSI-RS,TRS,0,false,PASS,PASS,PASS
COL-022,SRS,CSI-IM,12,true,ORTHOGONAL_SHARE,ORTHOGONAL_SHARE,PASS
COL-023,PTRS,PDSCH,1,false,COLLISION,COLLISION,PASS
COL-024,DMRS,PUSCH,6,false,COLLISION,COLLISION,PASS
COL-025,CSI-RS,TRS,0,false,PASS,PASS,PASS
COL-026,SRS,CSI-IM,12,true,ORTHOGONAL_SHARE,ORTHOGONAL_SHARE,PASS
COL-027,PTRS,PDSCH,1,false,COLLISION,COLLISION,PASS
COL-028,DMRS,PUSCH,6,false,COLLISION,COLLISION,PASS
COL-029,CSI-RS,TRS,0,false,PASS,PASS,PASS
COL-030,SRS,CSI-IM,12,true,ORTHOGONAL_SHARE,ORTHOGONAL_SHARE,PASS
COL-031,PTRS,PDSCH,1,false,COLLISION,COLLISION,PASS
COL-032,DMRS,PUSCH,6,false,COLLISION,COLLISION,PASS
COL-033,CSI-RS,TRS,0,false,PASS,PASS,PASS
COL-034,SRS,CSI-IM,12,true,ORTHOGONAL_SHARE,ORTHOGONAL_SHARE,PASS
COL-035,PTRS,PDSCH,1,false,COLLISION,COLLISION,PASS
COL-036,DMRS,PUSCH,6,false,COLLISION,COLLISION,PASS
COL-037,CSI-RS,TRS,0,false,PASS,PASS,PASS
COL-038,SRS,CSI-IM,12,true,ORTHOGONAL_SHARE,ORTHOGONAL_SHARE,PASS
COL-039,PTRS,PDSCH,1,false,COLLISION,COLLISION,PASS
COL-040,DMRS,PUSCH,6,false,COLLISION,COLLISION,PASS
COL-041,CSI-RS,TRS,0,false,PASS,PASS,PASS
COL-042,SRS,CSI-IM,12,true,ORTHOGONAL_SHARE,ORTHOGONAL_SHARE,PASS
COL-043,PTRS,PDSCH,1,false,COLLISION,COLLISION,PASS
COL-044,DMRS,PUSCH,6,false,COLLISION,COLLISION,PASS
COL-045,CSI-RS,TRS,0,false,PASS,PASS,PASS
COL-046,SRS,CSI-IM,12,true,ORTHOGONAL_SHARE,ORTHOGONAL_SHARE,PASS
COL-047,PTRS,PDSCH,1,false,COLLISION,COLLISION,PASS
COL-048,DMRS,PUSCH,6,false,COLLISION,COLLISION,PASS
COL-049,CSI-RS,TRS,0,false,PASS,PASS,PASS
COL-050,SRS,CSI-IM,12,true,ORTHOGONAL_SHARE,ORTHOGONAL_SHARE,PASS
COL-051,PTRS,PDSCH,1,false,COLLISION,COLLISION,PASS
COL-052,DMRS,PUSCH,6,false,COLLISION,COLLISION,PASS
COL-053,CSI-RS,TRS,0,false,PASS,PASS,PASS
COL-054,SRS,CSI-IM,12,true,ORTHOGONAL_SHARE,ORTHOGONAL_SHARE,PASS
COL-055,PTRS,PDSCH,1,false,COLLISION,COLLISION,PASS
COL-056,DMRS,PUSCH,6,false,COLLISION,COLLISION,PASS
COL-057,CSI-RS,TRS,0,false,PASS,PASS,PASS
COL-058,SRS,CSI-IM,12,true,ORTHOGONAL_SHARE,ORTHOGONAL_SHARE,PASS
COL-059,PTRS,PDSCH,1,false,COLLISION,COLLISION,PASS
COL-060,DMRS,PUSCH,6,false,COLLISION,COLLISION,PASS
COL-061,CSI-RS,TRS,0,false,PASS,PASS,PASS
COL-062,SRS,CSI-IM,12,true,ORTHOGONAL_SHARE,ORTHOGONAL_SHARE,PASS
COL-063,PTRS,PDSCH,1,false,COLLISION,COLLISION,PASS
