DatasetID,ProfileKey,Direction,MCSTable,MCSIndex,Rank,Channel,TargetBLER,ThresholdDb,CILowDb,CIHighDb,TrainingSHA256,HoldoutError,DatasetSHA256,Status
RSLA-CQI-CAL-0001,152e761ab2ab7d0048779444eb31450ea5765c8846965d3904080a0ca1b5c271,DL,qam64,0,1,AWGN,0.1,-8,-8.5,-7.5,e7b84f356e4d491570636084706b6bf09642ff45aacae739cb2631c61c4f9622,0.05,89e52478a8f342b0732c6f193c8839129587397e0e9eacdf22c4e7d991813374,PASS
RSLA-CQI-CAL-0002,13623ca4fa4cd57e131d8e6281923ea2d45654bac944a30555a5f39cf162c616,DL,qam64,0,1,TDL-C,0.1,-8,-8.5,-7.5,13dc28c98a4c1e5b60c90a738bf62c1503abc3254e3801dcdfbb51f770d7a544,0.05,bb55261894166e47bb5e8c5e16e112d58f31dbf70202b9e935351ce4c027aa83,PASS
RSLA-CQI-CAL-0003,fc339be63febbe4f4563e6c9235bd883490363aa6f096ad86d30a202670e488d,DL,qam64,0,1,CDL-C,0.1,-8,-8.5,-7.5,e372e5a09dc2d608a5c17e01dfe0111ecbffdabf8cf1b26550adf6ee16066784,0.05,10eb11a70aa833d447ff0c98425661744590d9a27c9134db166c74eeaaa4a7da,PASS
RSLA-CQI-CAL-0004,b04d075bfc7a0bc511430a293a02e521695b716552f81714c6f87da343ebfb12,DL,qam64,0,2,AWGN,0.1,-7.5,-8,-7,fcc9532e0448b23c9a75a3cb0f1c4aa9e6687fbf5486427d5720defe7bab6bdf,0.05,16e5d57b192ee19f6a7200952fa7bbf595fc0b485f451f31663faeadf935a4fa,PASS
RSLA-CQI-CAL-0005,b163bc070a23ef6c4ceb07663c2e62f630ffd7a0ff38bae54a8b6d64cdc8dce5,DL,qam64,0,2,TDL-C,0.1,-7.5,-8,-7,7d84491e76f3afe85e2b1e0dbd14e08f9dec049693d05d24d019fa5c63018e88,0.05,4ee74b170fe61fdd8747852055a341dcc29e95f71da42f78d5dc7df59692198a,PASS
RSLA-CQI-CAL-0006,91544348212136926b620cc2d90a20fd1846146cc7447a2b0ae3c8088632f491,DL,qam64,0,2,CDL-C,0.1,-7.5,-8,-7,387fc214d436cb19c5bb1675770537f5437c346dcee2e8a725c1d571e77f39d0,0.05,73a39339af02e3a03e2bf9ca62bbc2475ad3007496f426167b85734730e544c0,PASS
RSLA-CQI-CAL-0007,b67037cb163c1f1a39e919cd1994e009e03c90a8df1f9772c5aaf7701fa16841,DL,qam64,0,4,AWGN,0.1,-6.5,-7,-6,b467eb348bc97c551a3dcbfe3eee5a04cc129eef08c3f6a92106c1c0a18807e9,0.05,c8cdc3dfa189419a2d92bf5236be9f0140ed904628a977af6d069719837105e9,PASS
RSLA-CQI-CAL-0008,a8db26609fb09736c2b12eb2287377c798fe96cc4178646c33d4443a8534520d,DL,qam64,0,4,TDL-C,0.1,-6.5,-7,-6,ed761e389f3928636ddacefd2520fae2f4d9d556cb75ce6b8b5839fda26c7c5c,0.05,5bdc3c4ceb58733f9996c2d5a65facc60c5efae298c408d30d741aaca7882a36,PASS
RSLA-CQI-CAL-0009,ba1f5cb0ab6cbc76e3670bde45dcbb825f94e4f311ccc79d17acdaa8c5026861,DL,qam64,0,4,CDL-C,0.1,-6.5,-7,-6,158199621506eb647e226c8e70ebb2b01898e19ea0499ed6e9d0721e7dc31483,0.05,ba5dbdae6d84080e47a759d2a96bcb320fdb5571e5f5afce5b28349da7eeae3d,PASS
RSLA-CQI-CAL-0010,152e761ab2ab7d0048779444eb31450ea5765c8846965d3904080a0ca1b5c271,DL,qam64,2,1,AWGN,0.1,-6.3,-6.8,-5.8,b64316ebab73dfe23140f68826f5b09f9749e39d082e10fb7abebe9d82db0477,0.05,d95bc34e530ba8543f774dc4a0e080d08120b6fa7c316618b30e3d0031895f11,PASS
RSLA-CQI-CAL-0011,13623ca4fa4cd57e131d8e6281923ea2d45654bac944a30555a5f39cf162c616,DL,qam64,2,1,TDL-C,0.1,-6.3,-6.8,-5.8,f3dbce09bf8aac75d4c66b680eb03aa9e08df94d21442df62b530a9d4d63ebe2,0.05,6dc1026860b218b944052e31e153fa4e4941bcd711cf855d816c90d46c660939,PASS
RSLA-CQI-CAL-0012,fc339be63febbe4f4563e6c9235bd883490363aa6f096ad86d30a202670e488d,DL,qam64,2,1,CDL-C,0.1,-6.3,-6.8,-5.8,a4c8c5ecec154a6e7f1a969aa68419a2f7e93401a5d141895e17ea7d2be02540,0.05,e6963bd3c1a9dee712f9cfb776feb390c6a500a086622865edb82f5f7ca29b74,PASS
RSLA-CQI-CAL-0013,b04d075bfc7a0bc511430a293a02e521695b716552f81714c6f87da343ebfb12,DL,qam64,2,2,AWGN,0.1,-5.8,-6.3,-5.3,a46297d898986000f0f8986d8636c71a56588d318be3297cb8ee7b092cfbe750,0.05,62494cde35cb53c457998214e28300724c518b3030274fd0c16259792585d769,PASS
RSLA-CQI-CAL-0014,b163bc070a23ef6c4ceb07663c2e62f630ffd7a0ff38bae54a8b6d64cdc8dce5,DL,qam64,2,2,TDL-C,0.1,-5.8,-6.3,-5.3,135882f580a81f30622d0a56ab0fbae7d79b9245380a46a3de841647f4e06eb0,0.05,548920769f404214d0b03d49f6844189b0f42a9bb82af415e4b9ab9d9c0a7885,PASS
RSLA-CQI-CAL-0015,91544348212136926b620cc2d90a20fd1846146cc7447a2b0ae3c8088632f491,DL,qam64,2,2,CDL-C,0.1,-5.8,-6.3,-5.3,c399038dbda0ba4f28ceb444dac090091489f44aa1c4fcf96b6128dd3d2b4df9,0.05,30de3c50d7ecb3433de47db4f5467f503b9992b77d7955367d391c3618052238,PASS
RSLA-CQI-CAL-0016,b67037cb163c1f1a39e919cd1994e009e03c90a8df1f9772c5aaf7701fa16841,DL,qam64,2,4,AWGN,0.1,-4.8,-5.3,-4.3,f9819863e666b23b164db056aaf225859b6c48538691c266093d803bbb1e3a3d,0.05,7520f04f661793bc6d1021b8c65b044e3a25d88e39beef9b09d859d144953c58,PASS
RSLA-CQI-CAL-0017,a8db26609fb09736c2b12eb2287377c798fe96cc4178646c33d4443a8534520d,DL,qam64,2,4,TDL-C,0.1,-4.8,-5.3,-4.3,a50d5f1603cf8fae8680f52cb93abdc1a3d0b241bb74a7bf6eae648e23d35611,0.05,284b2067bea9da32be1ed41fa2ed74d0bedd68e30616cc78cb1ac66a22aa3af6,PASS
RSLA-CQI-CAL-0018,ba1f5cb0ab6cbc76e3670bde45dcbb825f94e4f311ccc79d17acdaa8c5026861,DL,qam64,2,4,CDL-C,0.1,-4.8,-5.3,-4.3,832f7d84dcb21906f8879a59eae8a0551fb28ab247d64efec9f576265f85af67,0.05,69bdd35882698f24f6eed7c5bd3f20c9fc6d871938468cf0adbbd56487ce0d47,PASS
RSLA-CQI-CAL-0019,152e761ab2ab7d0048779444eb31450ea5765c8846965d3904080a0ca1b5c271,DL,qam64,4,1,AWGN,0.1,-4.6,-5.1,-4.1,9f62e3c816ecb3c53b5862f74c240ca7af869633979001d44523216c7b9c556e,0.05,ce84b84e7dcb9c888a7ebac95aa2f717d21083ec042cd5e42fee714af3bcc180,PASS
RSLA-CQI-CAL-0020,13623ca4fa4cd57e131d8e6281923ea2d45654bac944a30555a5f39cf162c616,DL,qam64,4,1,TDL-C,0.1,-4.6,-5.1,-4.1,d00b38012db61ccb53e5c908c58a788068e6abd48d95ae439f59fb38dd7a4536,0.05,1875d90d24ba2958280ed899a27d4b64be5c11f0d23231e88c135dba507f6b8e,PASS
RSLA-CQI-CAL-0021,fc339be63febbe4f4563e6c9235bd883490363aa6f096ad86d30a202670e488d,DL,qam64,4,1,CDL-C,0.1,-4.6,-5.1,-4.1,473f18d070578613d53186eac9bb0c1454dfb559b327ddd6f09efebed8c6edd2,0.05,1ebaef30c16a14333051f06541a74bc8fe3d64f0498bad4ede807b9db1f65161,PASS
RSLA-CQI-CAL-0022,b04d075bfc7a0bc511430a293a02e521695b716552f81714c6f87da343ebfb12,DL,qam64,4,2,AWGN,0.1,-4.1,-4.6,-3.6,d810d218fa77e9c7cdd22f82fe1e6d1d88c2d63dac0fb485ea50bde2121b9bb0,0.05,c4b490a82987895d5f03c46a4b64d494611d1f44a493bc9a15b4fa9e88601938,PASS
RSLA-CQI-CAL-0023,b163bc070a23ef6c4ceb07663c2e62f630ffd7a0ff38bae54a8b6d64cdc8dce5,DL,qam64,4,2,TDL-C,0.1,-4.1,-4.6,-3.6,a4901ec3fe8d1612ee67de38e89c4dd6401c26344d8f74112ba7763406d85d23,0.05,b337f4ee9d0a270cce85b13f2174427ee6cb3973b5e599288a449894dc4cf2b2,PASS
RSLA-CQI-CAL-0024,91544348212136926b620cc2d90a20fd1846146cc7447a2b0ae3c8088632f491,DL,qam64,4,2,CDL-C,0.1,-4.1,-4.6,-3.6,05507fb0fed80842c0572023e18094bcbf271dd4d771bd7d1a2c09837acc2021,0.05,da311a6b1d5508e59a1186d2bc0261d2916ca47c8be95e66ca243ad743eea1d4,PASS
RSLA-CQI-CAL-0025,b67037cb163c1f1a39e919cd1994e009e03c90a8df1f9772c5aaf7701fa16841,DL,qam64,4,4,AWGN,0.1,-3.1,-3.6,-2.6,63b6b8b30bc5da504e5619ef03acc5468639cad628ff9ecad4e3ea39a8e615d6,0.05,e4c8a1ce2cdbd78cd12fdfe7767627a3be96e868c7481b3fd56d27ef2d6c62f1,PASS
RSLA-CQI-CAL-0026,a8db26609fb09736c2b12eb2287377c798fe96cc4178646c33d4443a8534520d,DL,qam64,4,4,TDL-C,0.1,-3.1,-3.6,-2.6,3ed5a978b7761ce33e8677e47156fa377342eea0f0cbf556aa92a0cc53a026ad,0.05,f397700a5713160f2710fe41c4b41e814a9921baf3cf2745c212d5cdf070b4ba,PASS
RSLA-CQI-CAL-0027,ba1f5cb0ab6cbc76e3670bde45dcbb825f94e4f311ccc79d17acdaa8c5026861,DL,qam64,4,4,CDL-C,0.1,-3.1,-3.6,-2.6,af44240e37b50ce7dc01b7053d1d33ed5697d8826928a6c2c059b618042ae101,0.05,14c2049f4846032e48ab9a466d423921a3b2727746affc24ab3fed091e1376d5,PASS
RSLA-CQI-CAL-0028,152e761ab2ab7d0048779444eb31450ea5765c8846965d3904080a0ca1b5c271,DL,qam64,6,1,AWGN,0.1,-2.9,-3.4,-2.4,442028c7d47bdfe8e7c7fa239f8a72b58770e3b068383f77a44168c0ed5e890f,0.05,01b2812b49e541c4f0fdaf789e7237828fa7092473314d1019d24289492d0e6b,PASS
RSLA-CQI-CAL-0029,13623ca4fa4cd57e131d8e6281923ea2d45654bac944a30555a5f39cf162c616,DL,qam64,6,1,TDL-C,0.1,-2.9,-3.4,-2.4,c98f6105c4120cbacb5254bf3b5991d01c44fc5a63c48c6485aea62add68aefb,0.05,7330758800af1356c6e1e9aaf7f4528f7a41e38109eb52eb1d59c1df6ce0d586,PASS
RSLA-CQI-CAL-0030,fc339be63febbe4f4563e6c9235bd883490363aa6f096ad86d30a202670e488d,DL,qam64,6,1,CDL-C,0.1,-2.9,-3.4,-2.4,863b86c3537750f492f7cf19aefeb5bb31c3c78a25b8907a4c4983fd186babbe,0.05,a8648ada3313fddbfb2505946d934eeadb22117a7f0cdac9671b06a7e973e55c,PASS
RSLA-CQI-CAL-0031,b04d075bfc7a0bc511430a293a02e521695b716552f81714c6f87da343ebfb12,DL,qam64,6,2,AWGN,0.1,-2.4,-2.9,-1.9,465aeb4a5ddfabab63b835111c33b16563de58ad7a5354cd76aaaf3c89b1e439,0.05,75d5d222ba9175d139a263fc3782fbd431d851e791f7218b04cf5e279860a5a8,PASS
RSLA-CQI-CAL-0032,b163bc070a23ef6c4ceb07663c2e62f630ffd7a0ff38bae54a8b6d64cdc8dce5,DL,qam64,6,2,TDL-C,0.1,-2.4,-2.9,-1.9,4edad87011b75450baa33ab44196daebf3c889e450b979d7c10854b91eb306fa,0.05,0c0e3679e838c251ac7e0851058d10253ea8c0585e8dbb2921214ef3ee37b584,PASS
RSLA-CQI-CAL-0033,91544348212136926b620cc2d90a20fd1846146cc7447a2b0ae3c8088632f491,DL,qam64,6,2,CDL-C,0.1,-2.4,-2.9,-1.9,66cc73713404debe92b3e33b78b73405427124ea64e2786f196c71026013fff2,0.05,8c49ffd1b98c3424f4dc8bfe7cb776ea6798b00e2fa77271b3cf6a015a8e7bfd,PASS
RSLA-CQI-CAL-0034,b67037cb163c1f1a39e919cd1994e009e03c90a8df1f9772c5aaf7701fa16841,DL,qam64,6,4,AWGN,0.1,-1.4,-1.9,-0.9,16a6f1b34d632ea4a7e746a3c22da736bf0674e610372dd8b166e1a9a2185949,0.05,b7f280a93e75cd37bd9b18a26f6c42aba9c13f2cb01ceb1d3bd2083a4d46ce14,PASS
RSLA-CQI-CAL-0035,a8db26609fb09736c2b12eb2287377c798fe96cc4178646c33d4443a8534520d,DL,qam64,6,4,TDL-C,0.1,-1.4,-1.9,-0.9,a432c977da87593cdb11690abcb25b6e1dfe651fa0a8b0986846c4e64d9ff9f4,0.05,9a5fad7a5d137a1d6f8ae475a57b031101ae1b8d1661192113e97245967a03db,PASS
RSLA-CQI-CAL-0036,ba1f5cb0ab6cbc76e3670bde45dcbb825f94e4f311ccc79d17acdaa8c5026861,DL,qam64,6,4,CDL-C,0.1,-1.4,-1.9,-0.9,9a70239a49455ef2e50ce8da522a98fbf4ab3ec9f85003c931a795e5688427bf,0.05,e5ee7c15a60f627964e321c12d885e5fa46508d89248d4fe9ad30c58bc889884,PASS
RSLA-CQI-CAL-0037,152e761ab2ab7d0048779444eb31450ea5765c8846965d3904080a0ca1b5c271,DL,qam64,8,1,AWGN,0.1,-1.2,-1.7,-0.7,abee77f33df3cb6ee33d166914b10e6b1e89407237565ced9761b8f8682a81c3,0.05,798956db36a3d7a79867146da9c678f8bd234f4414368796488915a0bc92aa0c,PASS
RSLA-CQI-CAL-0038,13623ca4fa4cd57e131d8e6281923ea2d45654bac944a30555a5f39cf162c616,DL,qam64,8,1,TDL-C,0.1,-1.2,-1.7,-0.7,c4fec17bc7ac9fe122c2c6bd05199aefd4cdcd1b27fa094d47d3890e562c35e0,0.05,9f16c16ba6d85c58d1b41f85d7e3c165417e1cbb2b1acfea53e2edb43f7a6b2c,PASS
RSLA-CQI-CAL-0039,fc339be63febbe4f4563e6c9235bd883490363aa6f096ad86d30a202670e488d,DL,qam64,8,1,CDL-C,0.1,-1.2,-1.7,-0.7,85f94d676248810cd43a9b0ec49c3426d528fd55af3ae6497b8dec6c5769f0b8,0.05,8b7ecc4a6091d3e429d8baf6a6d02bc7862a62730faef81d69015e880bc443ce,PASS
RSLA-CQI-CAL-0040,b04d075bfc7a0bc511430a293a02e521695b716552f81714c6f87da343ebfb12,DL,qam64,8,2,AWGN,0.1,-0.7,-1.2,-0.2,61b5c60010b544cd68dbf75349e1676c90b6f6f8b7ad9eaed7b24fa2b833fc53,0.05,e7972fba59e467a233dc2db2581eda7754790d367b1ed9139393dd1824a6b21c,PASS
RSLA-CQI-CAL-0041,b163bc070a23ef6c4ceb07663c2e62f630ffd7a0ff38bae54a8b6d64cdc8dce5,DL,qam64,8,2,TDL-C,0.1,-0.7,-1.2,-0.2,c5767ff2170855aef506b9b91f09cd1900485d4fc47fec0390ae08c75818c0c0,0.05,3dd800639189eb549a090cd06c48be379d84672b9853261c9d1b02c1429b4d48,PASS
RSLA-CQI-CAL-0042,91544348212136926b620cc2d90a20fd1846146cc7447a2b0ae3c8088632f491,DL,qam64,8,2,CDL-C,0.1,-0.7,-1.2,-0.2,409ab033fb63b3aea8e296deabdac1c29ead7041ee651791af8ca37e59671dbe,0.05,cc09e046c4ecfe32a0fabdfd946cc8d1911bcf627d81eba17decdc3b7a34fab9,PASS
RSLA-CQI-CAL-0043,b67037cb163c1f1a39e919cd1994e009e03c90a8df1f9772c5aaf7701fa16841,DL,qam64,8,4,AWGN,0.1,0.3,-0.2,0.8,4ddceae5eb6b0bfbdcf9958983058499083bea3d5b0683aa264f2bbe546da433,0.05,773a569b85fed1d2fbe95feba2758e5c7ab3c692e809ab2bd49b5964f423c6e0,PASS
RSLA-CQI-CAL-0044,a8db26609fb09736c2b12eb2287377c798fe96cc4178646c33d4443a8534520d,DL,qam64,8,4,TDL-C,0.1,0.3,-0.2,0.8,3f640df3a17c900df92e5831b554acd9524a79bdd20b9ae4da5e9b62c4ba1484,0.05,8ea54d264626aa6bcd2cf332373e84825573137c7d2cb5edcb531c85bbd0abb9,PASS
RSLA-CQI-CAL-0045,ba1f5cb0ab6cbc76e3670bde45dcbb825f94e4f311ccc79d17acdaa8c5026861,DL,qam64,8,4,CDL-C,0.1,0.3,-0.2,0.8,2a1d4361c4b1bff8e6ce9663b10aecdc76778786039830da7c4ae8df73ec085b,0.05,c357489e7642cbe2350a5a3b2a7a625cf373acca9d9f95be7d3cf3fc05894b09,PASS
RSLA-CQI-CAL-0046,152e761ab2ab7d0048779444eb31450ea5765c8846965d3904080a0ca1b5c271,DL,qam64,10,1,AWGN,0.1,0.5,0,1,7de68d90010d1884d58bb485dbea82871c8807872646d3cd92355c3b5e11ccdd,0.05,2b456041cbe853ae3cca5b09d1f7447b9a35c764b64644716aba9b125483bcf5,PASS
RSLA-CQI-CAL-0047,13623ca4fa4cd57e131d8e6281923ea2d45654bac944a30555a5f39cf162c616,DL,qam64,10,1,TDL-C,0.1,0.5,0,1,3accbe5b7f5dd839f42cd925a209ee9560a7439f008e1f20e9167c0dba3e8532,0.05,2b1cf7560d887b427d906bd131e510ef3d37c32905fa97bbe54edf3c25bdab45,PASS
RSLA-CQI-CAL-0048,fc339be63febbe4f4563e6c9235bd883490363aa6f096ad86d30a202670e488d,DL,qam64,10,1,CDL-C,0.1,0.5,0,1,51d481bc22b1e24ae24b1596f5252063358ee634757daec327a47e919de4cd66,0.05,ccdef96f5731f0d5d26749685b4177e4065e353b604c4b46b4111beaaf3b303a,PASS
RSLA-CQI-CAL-0049,b04d075bfc7a0bc511430a293a02e521695b716552f81714c6f87da343ebfb12,DL,qam64,10,2,AWGN,0.1,1,0.5,1.5,b871b43f5ac2256a9cd2d3ef9f1c60596712bbb0027773e3ec4ce748a2137186,0.05,2555cbfcc7727505316c334c71600054a1e7174835563ecfa92fe5043613f5dc,PASS
RSLA-CQI-CAL-0050,b163bc070a23ef6c4ceb07663c2e62f630ffd7a0ff38bae54a8b6d64cdc8dce5,DL,qam64,10,2,TDL-C,0.1,1,0.5,1.5,eb7899d1aeddfe92e0e73b4666211274499232f744ffe0aca351799e0de8a1f3,0.05,0a0044a219a9d2b3c377f84f409dd3c855150660518ea25c8e0b9da91c504404,PASS
RSLA-CQI-CAL-0051,91544348212136926b620cc2d90a20fd1846146cc7447a2b0ae3c8088632f491,DL,qam64,10,2,CDL-C,0.1,1,0.5,1.5,809b1de59cb18e0d5706a45f4ab7d37aa312cfdba3526504ad855b25f39aa6f5,0.05,22b8d7114dcc569992e9a6096673acb49c84ec146300b21915a94a2d642f9000,PASS
RSLA-CQI-CAL-0052,b67037cb163c1f1a39e919cd1994e009e03c90a8df1f9772c5aaf7701fa16841,DL,qam64,10,4,AWGN,0.1,2,1.5,2.5,5b739f48f1761ff7f01188c7377545a3299215fd1cf0786bfced73477e58c0d8,0.05,1ca15f05f42180e1b7e9ba126d7bee48dd336cf3c9744c7247aea6b66f72ebf6,PASS
RSLA-CQI-CAL-0053,a8db26609fb09736c2b12eb2287377c798fe96cc4178646c33d4443a8534520d,DL,qam64,10,4,TDL-C,0.1,2,1.5,2.5,d4e7f4451699aefae68f5c46f24003262617a341aa68573a686d786a36ad2781,0.05,ff27c05ca671c7d1661d8d411fea32da9a4d75cec4af668736e053fccc12af3c,PASS
RSLA-CQI-CAL-0054,ba1f5cb0ab6cbc76e3670bde45dcbb825f94e4f311ccc79d17acdaa8c5026861,DL,qam64,10,4,CDL-C,0.1,2,1.5,2.5,ce27cf6ec1db51cbafeda12753683785fda410c490f0371b5908ca0a2f006480,0.05,23bca02921cd72992464b6b03a6feeea1c377a6247216cb46814c79661e3e5a9,PASS
RSLA-CQI-CAL-0055,152e761ab2ab7d0048779444eb31450ea5765c8846965d3904080a0ca1b5c271,DL,qam64,12,1,AWGN,0.1,2.2,1.7,2.7,c8a12a48284e39b861db372555d001c861cd37d53111ee51902fff2724820ee3,0.05,23940dc4b3fa5e191213ba64f6cbd67abf657ba9e8b63add35852f99749ec710,PASS
RSLA-CQI-CAL-0056,13623ca4fa4cd57e131d8e6281923ea2d45654bac944a30555a5f39cf162c616,DL,qam64,12,1,TDL-C,0.1,2.2,1.7,2.7,3b6e43b1369c883f426440ef7142e799f73f7afe2803a33bff9d784d4dd839df,0.05,7d00d1fa4eaa50bbdb939ce63c38b586045b19abf64d783e3f9fcb2a0f005004,PASS
