DatasetID,ProfileKey,Method,MCSIndex,Rank,Channel,ParameterValue,TrainingRMSE,HoldoutRMSE,DatasetSHA256,Status
RSLA-EFF-1,152e761ab2ab7d0048779444eb31450ea5765c8846965d3904080a0ca1b5c271,EESM,0,1,AWGN,0.62,0.1,0.15,13dfac7a47677d150936880861c66dba13a58dfef6b61e3c71d4ae75074f38d4,PASS
RSLA-EFF-2,13623ca4fa4cd57e131d8e6281923ea2d45654bac944a30555a5f39cf162c616,MIESM,0,1,TDL-C,0.64,0.1,0.15,493ba1d03bb2f2a9c3bc25c53a2ecdb0ef7720f34a33cd692dd118875c640e0f,PASS
RSLA-EFF-3,fc339be63febbe4f4563e6c9235bd883490363aa6f096ad86d30a202670e488d,EESM,0,1,CDL-C,0.66,0.1,0.15,a17e8e8ee0690b65e6e9a1071f54f5fc2bf424bb4607a1f1be22d66694c0da0e,PASS
RSLA-EFF-4,b04d075bfc7a0bc511430a293a02e521695b716552f81714c6f87da343ebfb12,MIESM,0,2,AWGN,0.68,0.1,0.15,f3d1aada83a4192c89a28dcb0f83bef76067f7cf6d3f55f3bfbf7a08007d35c1,PASS
RSLA-EFF-5,b163bc070a23ef6c4ceb07663c2e62f630ffd7a0ff38bae54a8b6d64cdc8dce5,EESM,0,2,TDL-C,0.7,0.1,0.15,0e86f91305d8b8dc16b7c2c128acca6d3f1b780ffd49cfa3bc92247661d14778,PASS
RSLA-EFF-6,91544348212136926b620cc2d90a20fd1846146cc7447a2b0ae3c8088632f491,MIESM,0,2,CDL-C,0.72,0.1,0.15,b49f6d56c14cb45302d7c409df7798f69592e9803f55e386aef4625662b1324e,PASS
RSLA-EFF-7,b67037cb163c1f1a39e919cd1994e009e03c90a8df1f9772c5aaf7701fa16841,EESM,0,4,AWGN,0.74,0.1,0.15,1afe2dd2357d69029579b7afc6d70777eb3da76b63f3e7565650f8ce6d08cad1,PASS
RSLA-EFF-8,a8db26609fb09736c2b12eb2287377c798fe96cc4178646c33d4443a8534520d,MIESM,0,4,TDL-C,0.76,0.1,0.15,67ffcb3b6f6a2293b402df05c327148393b6f92f85d76ce79ead0c15c8514a6a,PASS
RSLA-EFF-9,ba1f5cb0ab6cbc76e3670bde45dcbb825f94e4f311ccc79d17acdaa8c5026861,EESM,0,4,CDL-C,0.78,0.1,0.15,5ef4212fd65e8bfb3472e988cbe5258869a372c3f501970789c78f4f87519428,PASS
RSLA-EFF-10,152e761ab2ab7d0048779444eb31450ea5765c8846965d3904080a0ca1b5c271,MIESM,2,1,AWGN,0.8,0.1,0.15,f584bdc43f44a15b4634d1f277d9971ceab70ddbe6025f2f8314f535f9ae9ca3,PASS
RSLA-EFF-11,13623ca4fa4cd57e131d8e6281923ea2d45654bac944a30555a5f39cf162c616,EESM,2,1,TDL-C,0.82,0.1,0.15,931b919dc0ac4302b422434210a58907c77627e23420c01035f03bfb698bbaaf,PASS
RSLA-EFF-12,fc339be63febbe4f4563e6c9235bd883490363aa6f096ad86d30a202670e488d,MIESM,2,1,CDL-C,0.84,0.1,0.15,5c2e06d918e4b81dd321f8d4e5e18c3ab39558b1cc58b4398e527b213f05a685,PASS
RSLA-EFF-13,b04d075bfc7a0bc511430a293a02e521695b716552f81714c6f87da343ebfb12,EESM,2,2,AWGN,0.86,0.1,0.15,8aab92cf3a87b350c4cab5bf9af7e4734f66465c7080f8d1e6f657b7130d2965,PASS
RSLA-EFF-14,b163bc070a23ef6c4ceb07663c2e62f630ffd7a0ff38bae54a8b6d64cdc8dce5,MIESM,2,2,TDL-C,0.88,0.1,0.15,3af75430ad7c0549b1d5637eb8445149977fb54bafe1cb05857fc8654bd1c748,PASS
RSLA-EFF-15,91544348212136926b620cc2d90a20fd1846146cc7447a2b0ae3c8088632f491,EESM,2,2,CDL-C,0.9,0.1,0.15,c7d748c979ae2bcdc49beefe6ae8612b0a654c5eb783399ce6ccd5996e8caeaa,PASS
RSLA-EFF-16,b67037cb163c1f1a39e919cd1994e009e03c90a8df1f9772c5aaf7701fa16841,MIESM,2,4,AWGN,0.92,0.1,0.15,f1ba2eaa2efa826d152bb2673eff90db2772561860038ba90765aa88143004fc,PASS
RSLA-EFF-17,a8db26609fb09736c2b12eb2287377c798fe96cc4178646c33d4443a8534520d,EESM,2,4,TDL-C,0.94,0.1,0.15,c570d23dc853355d8b4eef0b3afa4a3a8fa53dc86f5a36e6f89643e3d2f233ac,PASS
