CaseID,MeasurementID,UEID,CellID,BWPID,ResourceID,AgeSlots,MaxAgeSlots,IdentityValid,ExpectedValid,ActualValid,Status
MSTATE-001,M-0001,2,2,1,2,1,4,true,true,true,PASS
MSTATE-002,M-0002,3,3,0,3,2,8,true,true,true,PASS
MSTATE-003,M-0003,4,1,1,4,4,16,true,true,true,PASS
MSTATE-004,M-0004,5,2,0,5,8,2,true,false,false,PASS
MSTATE-005,M-0005,6,3,1,6,16,4,true,false,false,PASS
MSTATE-006,M-0006,7,1,0,7,32,8,true,false,false,PASS
MSTATE-007,M-0007,8,2,1,8,64,16,true,false,false,PASS
MSTATE-008,M-0008,1,3,0,9,0,2,true,true,true,PASS
MSTATE-009,M-0009,2,1,1,10,1,4,true,true,true,PASS
MSTATE-010,M-0010,3,2,0,11,2,8,true,true,true,PASS
MSTATE-011,M-0011,4,3,1,12,4,16,true,true,true,PASS
MSTATE-012,M-0012,5,1,0,13,8,2,true,false,false,PASS
MSTATE-013,M-0013,6,2,1,14,16,4,false,false,false,PASS
MSTATE-014,M-0014,7,3,0,15,32,8,true,false,false,PASS
MSTATE-015,M-0015,8,1,1,16,64,16,true,false,false,PASS
MSTATE-016,M-0016,1,2,0,1,0,2,true,true,true,PASS
MSTATE-017,,2,3,1,2,1,4,true,false,false,PASS
MSTATE-018,M-0018,3,1,0,3,2,8,true,true,true,PASS
MSTATE-019,M-0019,4,2,1,4,4,16,true,true,true,PASS
MSTATE-020,M-0020,5,3,0,5,8,2,true,false,false,PASS
MSTATE-021,M-0021,6,1,1,6,16,4,true,false,false,PASS
MSTATE-022,M-0022,7,2,0,7,32,8,true,false,false,PASS
MSTATE-023,M-0023,8,3,1,8,64,16,true,false,false,PASS
MSTATE-024,M-0024,1,1,0,9,0,2,true,true,true,PASS
MSTATE-025,M-0025,2,2,1,10,1,4,true,true,true,PASS
MSTATE-026,M-0026,3,3,0,11,2,8,false,false,false,PASS
MSTATE-027,M-0027,4,1,1,12,4,16,true,true,true,PASS
MSTATE-028,M-0028,5,2,0,13,8,2,true,false,false,PASS
MSTATE-029,M-0029,6,3,1,14,16,4,true,false,false,PASS
MSTATE-030,M-0030,7,1,0,15,32,8,true,false,false,PASS
MSTATE-031,M-0031,8,2,1,16,64,16,true,false,false,PASS
MSTATE-032,M-0032,1,3,0,1,0,2,true,true,true,PASS
MSTATE-033,M-0033,2,1,1,2,1,4,true,true,true,PASS
MSTATE-034,,3,2,0,3,2,8,true,false,false,PASS
MSTATE-035,M-0035,4,3,1,4,4,16,true,true,true,PASS
MSTATE-036,M-0036,5,1,0,5,8,2,true,false,false,PASS
MSTATE-037,M-0037,6,2,1,6,16,4,true,false,false,PASS
MSTATE-038,M-0038,7,3,0,7,32,8,true,false,false,PASS
MSTATE-039,M-0039,8,1,1,8,64,16,false,false,false,PASS
MSTATE-040,M-0040,1,2,0,9,0,2,true,true,true,PASS
MSTATE-041,M-0041,2,3,1,10,1,4,true,true,true,PASS
MSTATE-042,M-0042,3,1,0,11,2,8,true,true,true,PASS
MSTATE-043,M-0043,4,2,1,12,4,16,true,true,true,PASS
MSTATE-044,M-0044,5,3,0,13,8,2,true,false,false,PASS
MSTATE-045,M-0045,6,1,1,14,16,4,true,false,false,PASS
MSTATE-046,M-0046,7,2,0,15,32,8,true,false,false,PASS
MSTATE-047,M-0047,8,3,1,16,64,16,true,false,false,PASS
MSTATE-048,M-0048,1,1,0,1,0,2,true,true,true,PASS
MSTATE-049,M-0049,2,2,1,2,1,4,true,true,true,PASS
MSTATE-050,M-0050,3,3,0,3,2,8,true,true,true,PASS
MSTATE-051,,4,1,1,4,4,16,true,false,false,PASS
MSTATE-052,M-0052,5,2,0,5,8,2,false,false,false,PASS
MSTATE-053,M-0053,6,3,1,6,16,4,true,false,false,PASS
MSTATE-054,M-0054,7,1,0,7,32,8,true,false,false,PASS
MSTATE-055,M-0055,8,2,1,8,64,16,true,false,false,PASS
MSTATE-056,M-0056,1,3,0,9,0,2,true,true,true,PASS
MSTATE-057,M-0057,2,1,1,10,1,4,true,true,true,PASS
MSTATE-058,M-0058,3,2,0,11,2,8,true,true,true,PASS
MSTATE-059,M-0059,4,3,1,12,4,16,true,true,true,PASS
MSTATE-060,M-0060,5,1,0,13,8,2,true,false,false,PASS
MSTATE-061,M-0061,6,2,1,14,16,4,true,false,false,PASS
MSTATE-062,M-0062,7,3,0,15,32,8,true,false,false,PASS
MSTATE-063,M-0063,8,1,1,16,64,16,true,false,false,PASS
MSTATE-064,M-0064,1,2,0,1,0,2,true,true,true,PASS
MSTATE-065,M-0065,2,3,1,2,1,4,false,false,false,PASS
MSTATE-066,M-0066,3,1,0,3,2,8,true,true,true,PASS
MSTATE-067,M-0067,4,2,1,4,4,16,true,true,true,PASS
MSTATE-068,,5,3,0,5,8,2,true,false,false,PASS
MSTATE-069,M-0069,6,1,1,6,16,4,true,false,false,PASS
MSTATE-070,M-0070,7,2,0,7,32,8,true,false,false,PASS
MSTATE-071,M-0071,8,3,1,8,64,16,true,false,false,PASS
MSTATE-072,M-0072,1,1,0,9,0,2,true,true,true,PASS
MSTATE-073,M-0073,2,2,1,10,1,4,true,true,true,PASS
MSTATE-074,M-0074,3,3,0,11,2,8,true,true,true,PASS
MSTATE-075,M-0075,4,1,1,12,4,16,true,true,true,PASS
MSTATE-076,M-0076,5,2,0,13,8,2,true,false,false,PASS
MSTATE-077,M-0077,6,3,1,14,16,4,true,false,false,PASS
MSTATE-078,M-0078,7,1,0,15,32,8,false,false,false,PASS
MSTATE-079,M-0079,8,2,1,16,64,16,true,false,false,PASS
MSTATE-080,M-0080,1,3,0,1,0,2,true,true,true,PASS
MSTATE-081,M-0081,2,1,1,2,1,4,true,true,true,PASS
MSTATE-082,M-0082,3,2,0,3,2,8,true,true,true,PASS
MSTATE-083,M-0083,4,3,1,4,4,16,true,true,true,PASS
MSTATE-084,M-0084,5,1,0,5,8,2,true,false,false,PASS
MSTATE-085,,6,2,1,6,16,4,true,false,false,PASS
MSTATE-086,M-0086,7,3,0,7,32,8,true,false,false,PASS
MSTATE-087,M-0087,8,1,1,8,64,16,true,false,false,PASS
MSTATE-088,M-0088,1,2,0,9,0,2,true,true,true,PASS
MSTATE-089,M-0089,2,3,1,10,1,4,true,true,true,PASS
MSTATE-090,M-0090,3,1,0,11,2,8,true,true,true,PASS
MSTATE-091,M-0091,4,2,1,12,4,16,false,false,false,PASS
MSTATE-092,M-0092,5,3,0,13,8,2,true,false,false,PASS
MSTATE-093,M-0093,6,1,1,14,16,4,true,false,false,PASS
MSTATE-094,M-0094,7,2,0,15,32,8,true,false,false,PASS
MSTATE-095,M-0095,8,3,1,16,64,16,true,false,false,PASS
MSTATE-096,M-0096,1,1,0,1,0,2,true,true,true,PASS
MSTATE-097,M-0097,2,2,1,2,1,4,true,true,true,PASS
MSTATE-098,M-0098,3,3,0,3,2,8,true,true,true,PASS
MSTATE-099,M-0099,4,1,1,4,4,16,true,true,true,PASS
MSTATE-100,M-0100,5,2,0,5,8,2,true,false,false,PASS
MSTATE-101,M-0101,6,3,1,6,16,4,true,false,false,PASS
MSTATE-102,,7,1,0,7,32,8,true,false,false,PASS
MSTATE-103,M-0103,8,2,1,8,64,16,true,false,false,PASS
MSTATE-104,M-0104,1,3,0,9,0,2,false,false,false,PASS
MSTATE-105,M-0105,2,1,1,10,1,4,true,true,true,PASS
MSTATE-106,M-0106,3,2,0,11,2,8,true,true,true,PASS
MSTATE-107,M-0107,4,3,1,12,4,16,true,true,true,PASS
MSTATE-108,M-0108,5,1,0,13,8,2,true,false,false,PASS
MSTATE-109,M-0109,6,2,1,14,16,4,true,false,false,PASS
MSTATE-110,M-0110,7,3,0,15,32,8,true,false,false,PASS
MSTATE-111,M-0111,8,1,1,16,64,16,true,false,false,PASS
MSTATE-112,M-0112,1,2,0,1,0,2,true,true,true,PASS
MSTATE-113,M-0113,2,3,1,2,1,4,true,true,true,PASS
MSTATE-114,M-0114,3,1,0,3,2,8,true,true,true,PASS
MSTATE-115,M-0115,4,2,1,4,4,16,true,true,true,PASS
MSTATE-116,M-0116,5,3,0,5,8,2,true,false,false,PASS
MSTATE-117,M-0117,6,1,1,6,16,4,false,false,false,PASS
MSTATE-118,M-0118,7,2,0,7,32,8,true,false,false,PASS
MSTATE-119,,8,3,1,8,64,16,true,false,false,PASS
MSTATE-120,M-0120,1,1,0,9,0,2,true,true,true,PASS
MSTATE-121,M-0121,2,2,1,10,1,4,true,true,true,PASS
MSTATE-122,M-0122,3,3,0,11,2,8,true,true,true,PASS
MSTATE-123,M-0123,4,1,1,12,4,16,true,true,true,PASS
MSTATE-124,M-0124,5,2,0,13,8,2,true,false,false,PASS
MSTATE-125,M-0125,6,3,1,14,16,4,true,false,false,PASS
MSTATE-126,M-0126,7,1,0,15,32,8,true,false,false,PASS
MSTATE-127,M-0127,8,2,1,16,64,16,true,false,false,PASS
MSTATE-128,M-0128,1,3,0,1,0,2,true,true,true,PASS
