RunID,FamilyID,PairID,Metric,BaselineValue,TreatmentValue,AbsoluteEffect,RelativeEffect,CILower,CIUpper,PValue,AdjustedPValue,EffectSize,Conclusion,Status
PUCCH_IMPACT_R18,F01,F01-P01,BitMismatchCount,11,13,2,0.181818181818182,-11,15,1,1,0.153846153846154,treatment_increased_metric,PASS
PUCCH_IMPACT_R18,F01,F01-P02,BitMismatchCount,12,14,2,0.166666666666667,-12,16,1,1,0.142857142857143,treatment_increased_metric,PASS
PUCCH_IMPACT_R18,F01,F01-P03,BitMismatchCount,0,0,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F01,F01-P04,BitMismatchCount,0,16,16,7.20575940379279e+16,0,32,1,1,1,treatment_increased_metric,PASS
PUCCH_IMPACT_R18,F01,F01-P05,BitMismatchCount,16,18,2,0.125,-16,20,1,1,0.111111111111111,treatment_increased_metric,PASS
PUCCH_IMPACT_R18,F01,F01-P06,BitMismatchCount,0,0,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F02,F02-P01,BLER,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F02,F02-P02,BLER,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F02,F02-P03,BLER,0,0,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F02,F02-P04,BLER,0,0,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F02,F02-P05,BLER,1,1,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F02,F02-P06,BLER,0,0,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F03,F03-P01,HARQBitErrors,20,20,0,0,-20,20,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F03,F03-P02,HARQBitErrors,20,20,0,0,-20,20,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F03,F03-P03,HARQBitErrors,0,0,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
PUCCH_IMPACT_R18,F03,F03-P04,HARQBitErrors,0,0,0,0,-1,1,1,1,0,no_observed_pair_effect,PASS
