RunID,ExperimentID,FamilyID,UCIComposition,PayloadBits,CodingScheme,CRCBits,CodeRate,BitMismatchCount,BLER,Status
PUCCH_IMPACT_R18,F01-E01-B,F01,HARQ_ACK+SR+CSI_PART1+CSI_PART2+PADDING,9,SMALL_BLOCK_3_11,0,0.0859375,11,1,PASS
PUCCH_IMPACT_R18,F01-E01-T,F01,HARQ_ACK+SR+CSI_PART1+CSI_PART2+PADDING,11,POLAR,6,0.1015625,13,1,PASS
PUCCH_IMPACT_R18,F01-E02-B,F01,HARQ_ACK+SR+CSI_PART1+CSI_PART2+PADDING,10,POLAR,6,0.09375,12,1,PASS
PUCCH_IMPACT_R18,F01-E02-T,F01,HARQ_ACK+SR+CSI_PART1+CSI_PART2+PADDING,12,POLAR,6,0.109375,14,1,PASS
PUCCH_IMPACT_R18,F01-E03-B,F01,HARQ_ACK+SR+CSI_PART1+CSI_PART2+PADDING,12,POLAR,6,0.1015625,0,0,PASS
PUCCH_IMPACT_R18,F01-E03-T,F01,HARQ_ACK+SR+CSI_PART1+CSI_PART2+PADDING,14,POLAR,6,0.1171875,0,0,PASS
PUCCH_IMPACT_R18,F01-E04-B,F01,HARQ_ACK+SR+CSI_PART1+CSI_PART2,14,POLAR,6,0.109375,0,0,PASS
PUCCH_IMPACT_R18,F01-E04-T,F01,HARQ_ACK+SR+CSI_PART1+CSI_PART2,16,POLAR,6,0.125,16,1,PASS
PUCCH_IMPACT_R18,F01-E05-B,F01,HARQ_ACK+SR+CSI_PART1+CSI_PART2,16,POLAR,6,0.125,16,1,PASS
PUCCH_IMPACT_R18,F01-E05-T,F01,HARQ_ACK+SR+CSI_PART1+CSI_PART2,18,POLAR,6,0.140625,18,1,PASS
PUCCH_IMPACT_R18,F01-E06-B,F01,HARQ_ACK+SR+CSI_PART1+CSI_PART2,18,POLAR,6,0.140625,0,0,PASS
PUCCH_IMPACT_R18,F01-E06-T,F01,HARQ_ACK+SR+CSI_PART1+CSI_PART2,20,POLAR,11,0.15625,0,0,PASS
PUCCH_IMPACT_R18,F02-E01-B,F02,HARQ_ACK,2,SMALL_BLOCK_1_2,0,1,2,1,PASS
PUCCH_IMPACT_R18,F02-E01-T,F02,CSI_PART1,3,SMALL_BLOCK_3_11,0,0.0234375,3,1,PASS
PUCCH_IMPACT_R18,F02-E02-B,F02,CSI_PART1,3,SMALL_BLOCK_3_11,0,0.0234375,3,1,PASS
PUCCH_IMPACT_R18,F02-E02-T,F02,CSI_PART1,4,SMALL_BLOCK_3_11,0,0.03125,4,1,PASS
PUCCH_IMPACT_R18,F02-E03-B,F02,CSI_PART1,11,SMALL_BLOCK_3_11,0,0.0859375,0,0,PASS
PUCCH_IMPACT_R18,F02-E03-T,F02,CSI_PART1,12,POLAR,6,0.09375,0,0,PASS
