comparison_id,domain,subdomain,threegpp_anchor,threegpp_url,vendor_reference,vendor_reference_path,vendor_topic,repo_status,repo_alignment,repo_evidence,implemented_behavior,gap_or_limitation,recommended_action,priority,validation_or_existing_tests
PHY-001,PHY baseline,DL shared channels,"TS 38.211 / TS 38.214","https://www.3gpp.org/DynaReport/38.211.htm | https://www.3gpp.org/DynaReport/38.214.htm","FlexRAN L1 Algorithm Description v21.07","C:/Anup/documents/Intel phy layer/610016-9.0-FlexRAN L1 Algorithm Description v21.07 (1).pdf","PDSCH transmit and receive waveform chain",implemented,strongly_aligned,"+sixgr/+phy/+dl/PDSCH_Tx.m; +sixgr/+phy/+dl/PDSCH_Rx.m; +sixgr/+link/runDLPDSCHThroughput.m","Waveform PDSCH path uses nrPDSCH, DMRS-based timing/channel estimation, MMSE equalization, decoding, BER and BLER export, with one codeword for ranks 1-4 and two codewords for ranks 5-8.","Coverage is good for baseline and high-rank codeword/layer operation, but not all advanced precoding cases are supported.","Keep as baseline truth path and extend advanced precoding coverage without weakening current truth semantics.",high,"tests/testPDSCHSISORegression.m; tests/testLLS_DL.m; tests/testWaveformGrantGridAlignment.m; tests/testPDSCHCodewordLayerHighRank.m"
PHY-002,PHY baseline,UL shared channels,"TS 38.211 / TS 38.214","https://www.3gpp.org/DynaReport/38.211.htm | https://www.3gpp.org/DynaReport/38.214.htm","FlexRAN L1 Algorithm Description v21.07","C:/Anup/documents/Intel phy layer/610016-9.0-FlexRAN L1 Algorithm Description v21.07 (1).pdf","PUSCH transmit and receive waveform chain",implemented,strongly_aligned,"+sixgr/+phy/+ul/PUSCH_Tx.m; +sixgr/+phy/+ul/PUSCH_Rx.m; +sixgr/+link/runULPUSCHThroughput.m","Waveform PUSCH path uses nrPUSCH, DMRS-based timing/channel estimation, MMSE equalization, LDPC recovery and decode, BER and BLER export.","UL precoder estimation and power control fidelity are not yet at strong vendor-grade completeness.","Preserve current truth path and add stronger UL TPMI/power-control logic on top of it.",high,"tests/testLLS_UL.m; tests/testLLSULBeamPrecoderTruth.m; tests/testWaveformGrantGridAlignment.m"
PHY-003,Control channels,PDCCH / DCI,"TS 38.211 / TS 38.212 / TS 38.213","https://www.3gpp.org/DynaReport/38.211.htm | https://www.3gpp.org/DynaReport/38.212.htm | https://www.3gpp.org/DynaReport/38.213.htm","FlexRAN L1 Algorithm Description v21.07","C:/Anup/documents/Intel phy layer/610016-9.0-FlexRAN L1 Algorithm Description v21.07 (1).pdf","PDCCH monitoring and DCI decode",partial,simplified,"+sixgr/+phy/+dl/PDCCH_Tx.m; +sixgr/+phy/+dl/PDCCH_Rx.m","DCI encoding/decoding, CORESET/search-space config objects, timing, channel estimation, and polar decode are present.","Receiver is known-location by default and blind search is only a simple candidate search, not a full RAN1-grade monitoring engine.","Implement fuller CORESET and search-space monitoring behavior, aggregation-level candidate control, and richer blind-decoding telemetry.",high,"tests/testControlDetectionThresholds.m; tests/testLLSControlAccessGating.m"
PHY-004,Uplink control,PUCCH formats,"TS 38.211 / TS 38.212 / TS 38.213","https://www.3gpp.org/DynaReport/38.211.htm | https://www.3gpp.org/DynaReport/38.212.htm | https://www.3gpp.org/DynaReport/38.213.htm","FlexRAN L1 Algorithm Description v21.07","C:/Anup/documents/Intel phy layer/610016-9.0-FlexRAN L1 Algorithm Description v21.07 (1).pdf","PUCCH F0/F1/F2/F3/F4 waveform support",implemented,aligned_with_some_runtime_limits,"+sixgr/+phy/+ul/PUCCH_Tx.m; +sixgr/+phy/+ul/PUCCH_Rx.m; +sixgr/+link/runPUCCHWaveformTrial.m","PUCCH formats 0 through 4 are surfaced through nrPUCCHxConfig and runtime trial/export paths.","Completeness depends on configured resources and toolbox-supported details; this is not yet audited as a full standards-coverage matrix.","Retain honest supported-scope labeling and add a clause-level coverage audit for formats, payload cases, repetition, and hopping.",medium,"tests/testLLSPUCCHWaveformFeedback.m; tests/testLLSPUCCHGrantRuntimeArtifacts.m"
PHY-005,Random access,PRACH / Msg1,"TS 38.211 / TS 38.213","https://www.3gpp.org/DynaReport/38.211.htm | https://www.3gpp.org/DynaReport/38.213.htm","FlexRAN L1 Algorithm Description v21.07","C:/Anup/documents/Intel phy layer/610016-9.0-FlexRAN L1 Algorithm Description v21.07 (1).pdf","PRACH generation and detection",implemented,aligned_for_baseline_msg1,"+sixgr/+phy/+ul/PRACH_Tx.m; +sixgr/+phy/+ul/PRACH_Rx.m; +sixgr/+link/runPRACHDetection.m","Waveform PRACH generation and detection use nrPRACH and nrPRACHDetect with runtime false-alarm logging now present.","This covers baseline PRACH detection well, but Msg3/full RA-chain fidelity is not yet a complete end-to-end standards matrix.","Keep baseline PRACH truth path and extend RA-chain evidence through Msg3 scheduling and timing-advance integration.",medium,"tests/testLLSPRACHFalseAlarmFlag.m; tests/testLLSControlAccessGating.m"
PHY-006,Sync and broadcast,SSB / PBCH,"TS 38.211 / TS 38.212 / TS 38.213","https://www.3gpp.org/DynaReport/38.211.htm | https://www.3gpp.org/DynaReport/38.212.htm | https://www.3gpp.org/DynaReport/38.213.htm","FlexRAN L1 Algorithm Description v21.07","C:/Anup/documents/Intel phy layer/610016-9.0-FlexRAN L1 Algorithm Description v21.07 (1).pdf","SSB burst and PBCH recovery",partial,aligned_but_beam_sweeping_limited,"+sixgr/+phy/+dl/SSB_Tx.m; +sixgr/+phy/+dl/SSB_Rx.m; +sixgr/+phy/+dl/PBCH_Recovery.m","SSB and PBCH waveform paths exist, and Lmax/NumBeams are wired into the transmitter metadata.","SSB_Tx still transmits one SSB block by default, so beam-sweeping realism is weaker than a fuller beam-management implementation.","Add configurable multi-SSB burst patterns and reporting of per-SSB beam sweep outcomes.",medium,"tests/testMIBSIB1Recovery.m; tests/testTRSReferenceSignalExecution.m"
PHY-007,Reference signals,CSI-RS,"TS 38.211 / TS 38.214 / TS 38.215","https://www.3gpp.org/DynaReport/38.211.htm | https://www.3gpp.org/DynaReport/38.214.htm | https://www.3gpp.org/DynaReport/38.215.htm","FlexRAN L1 Algorithm Description v21.07","C:/Anup/documents/Intel phy layer/610016-9.0-FlexRAN L1 Algorithm Description v21.07 (1).pdf","CSI-RS generation and measurement feed-in",partial,simplified_wideband_use,"+sixgr/+phy/+refsig/csirs.m; +sixgr/+phy/+dl/CSI_Feedback.m","CSI-RS generation exists and CSI feedback consumes runtime reference-signal observations.","Current CSI usage is mostly wideband and does not yet implement strong subband CSI behavior or a fully calibrated standards-style CQI/PMI/RI reporting chain.","Upgrade CSI-RS measurement processing to subband-aware CSI and unify it with calibrated effective-SINR-based CQI reporting.",high,"tests/test6GCSIReportingCoverage.m; tests/testCSIRuntimeExecution.m"
PHY-008,Reference signals,DMRS,"TS 38.211","https://www.3gpp.org/DynaReport/38.211.htm","FlexRAN L1 Algorithm Description v21.07","C:/Anup/documents/Intel phy layer/610016-9.0-FlexRAN L1 Algorithm Description v21.07 (1).pdf","DMRS generation and use in channel estimation",implemented,strongly_aligned,"+sixgr/+phy/+refsig/dmrsPDSCH.m; +sixgr/+phy/+refsig/dmrsPUSCH.m; +sixgr/+phy/+rx/channelEstimate.m; +sixgr/+phy/+dl/PDSCH_Rx.m; +sixgr/+phy/+ul/PUSCH_Rx.m","DL and UL DMRS are used for timing/channel estimation and equalization in the waveform truth path.","Advanced DL explicit-precoding cases require restricted DMRS port sets today.","Extend explicit precoding support while preserving the current per-resource DMRS estimation contract.",high,"tests/testChannelEstimationValidation.m; tests/testLLS_DL.m; tests/testLLS_UL.m"
PHY-009,Reference signals,PTRS,"TS 38.211","https://www.3gpp.org/DynaReport/38.211.htm","FlexRAN L1 Algorithm Description v21.07","C:/Anup/documents/Intel phy layer/610016-9.0-FlexRAN L1 Algorithm Description v21.07 (1).pdf","PTRS generation and precoding interactions",partial,implementation_gap_for_explicit_dl_precoding,"+sixgr/+phy/+refsig/ptrsPDSCH.m; +sixgr/+phy/+dl/resolvePDSCHPrecoding.m","PTRS generation support exists for PDSCH and PUSCH surfaces.","Explicit PDSCH precoding with PTRS is currently blocked, so not all standards-valid combinations are supported in the active truth path.","Add explicit PDSCH precoding plus PTRS integration and validate it through waveform replay and export coverage.",high,"tests/testPDSCHMultiPortPrecoding.m; tests/testLLSOutputCoverageArtifacts.m"
PHY-010,Coding and transport blocks,TBS calculation,"TS 38.214 / TS 38.212","https://www.3gpp.org/DynaReport/38.214.htm | https://www.3gpp.org/DynaReport/38.212.htm","5G-NR-TBS-calculation.pdf","C:/Anup/documents/Intel phy layer/5G-NR-TBS-calculation.pdf","NR transport block size computation",implemented,strongly_aligned,"+sixgr/+l2/+mac/SchedulerBase.m; +sixgr/+phy/+ul/PUSCH_Tx.m; +sixgr/+phy/+ul/PUSCH_Rx.m; +sixgr/+phy/+dl/PDSCH_Tx.m; +sixgr/+phy/+dl/PDSCH_Rx.m","Scheduler and PHY derive TBS from nrTBS and actual RE accounting, which is closer to strict NR than a vendor shortcut.","No major architectural gap here beyond ensuring every export uses real grant-level TBS and not synthetic reconstruction.","Keep current strict TBS sourcing and continue protecting grant-level exports from proxy reconstruction.",high,"tests/testNRCQITableAndGrantSizing.m; tests/testSchedulerGrantConsistency.m"
