"requirement_id","subsystem","specification","specification_version","clause","table","requirement_summary","production_function","independent_reference","runtime_evidence","unit_test","implementation_status"
"PH5-RRC-001","RRC","3GPP TS 38.331","v18.8.0","6.2.2; 6.3.2","RRC ASN.1 message definitions","RRCSetupComplete must be ASN.1 encoded and decoded before connected context activation","+sixgr/+l3/+rrc/AttachProcedure.m","3GPP TS 38.331 official archive; pending independent RRCSetupComplete vector","debug/ue2_slot24/reproduction_context.json","tests/testAttachProcedure.m","pending_asn1_runtime_evidence"
"PH5-RRC-002","Dedicated configuration","3GPP TS 38.331","v18.8.0","CellGroupConfig; RadioBearerConfig; ServingCellConfig","ASN.1 IE definitions","Dedicated CellGroupConfig and RadioBearerConfig must be decoded from RRCSetup and installed at UE and gNB","missing dedicated CellGroupConfig installer","3GPP TS 38.331 official archive","phase5_baseline/existing_rrc_connected_source_map.csv","tests/testPhase5DocumentationSet.m","pending_implementation"
"PH5-SRB1-001","SRB1","3GPP TS 38.322; 3GPP TS 38.323","38.322 v18.2.0; 38.323 v18.5.0","RLC AM; PDCP entities before security","RLC/PDCP header formats","SRB1 must traverse PDCP and RLC before MAC SDU construction","+sixgr/+l2/+pdcp/PDCP.m; +sixgr/+l2/+rlc/RLC_AM.m","Independent byte conservation tests and 3GPP TS 38.322/38.323 official archives","phase5_baseline/existing_packet_flow_source_map.csv","tests/testPDCP_RLC_PacketConservation.m","partial_json_rrc_payload_pending_asn1"
"PH5-PDCCH-001","PDCCH","3GPP TS 38.211; 38.212; 38.213","v18.8.0; v18.8.0; v18.8.0","38.211 PDCCH; 38.212 DCI; 38.213 search spaces","CCE candidate monitoring","UE-specific C-RNTI PDCCH must be blindly decoded without selected-candidate oracle","+sixgr/+phy/+pdcch/blindDecodePDCCH.m","+sixgr/+phy/+pdcch/decodeDCIPayload.m independent field readback; 3GPP official archives","phase5_baseline/existing_pdcch_source_map.csv","tests/testPDCCHBlindDecodePositiveDCI10.m; tests/testPDCCHBlindDecodePositiveDCI00.m; tests/testPDCCHWrongRNTIReject.m","implemented_strict_anchor_pending_connected_grant_lineage"
"PH5-PDCCH-002","DCI formats","3GPP TS 38.212","v18.8.0","DCI 0_0; 0_1; 1_0; 1_1","DCI payload definitions","Phase 5 must implement the DCI formats required by the resolved connected configuration","+sixgr/+phy/+pdcch/decodeDCIPayload.m","3GPP TS 38.212 official archive","phase5_baseline/existing_pdcch_source_map.csv","tests/testPDCCHDCIRIVAndPayloadSize.m","partial_dci_0_0_1_0_only"
"PH5-PDSCH-001","PDSCH/DL-SCH","3GPP TS 38.211; 38.212; 38.214","v18.8.0; v18.8.0; v18.8.0","PDSCH; DL-SCH; MCS/TBS","38.214 TBS procedure","PDSCH RE accounting and TBS must match independent reference and decoded DCI","+sixgr/+phy/+dl/PDSCH_Tx.m; +sixgr/+phy/+dl/PDSCH_Rx.m","+sixgr/+pdsch/TBSCalculator.m and MATLAB 5G Toolbox cross-check","phase5_baseline/existing_pdsch_pusch_source_map.csv","tests/testDLPDSCHReceiverEvidenceGate.m; tests/testNRCQITableAndGrantSizing.m","partial_waveform_pending_decoded_dci_lineage"
"PH5-PUSCH-001","PUSCH/UL-SCH","3GPP TS 38.211; 38.212; 38.214","v18.8.0; v18.8.0; v18.8.0","PUSCH; UL-SCH; MCS/TBS","38.214 TBS procedure","PUSCH RE accounting and TBS must match independent reference and decoded DCI","+sixgr/+phy/+ul/PUSCH_Tx.m; +sixgr/+phy/+ul/PUSCH_Rx.m","+sixgr/+pdsch/TBSCalculator.m and MATLAB 5G Toolbox cross-check","phase5_baseline/existing_pdsch_pusch_source_map.csv","tests/testULPUSCHReceiverEvidenceGate.m; tests/testNRCQITableAndGrantSizing.m","partial_waveform_pending_sr_bsr_grant_lineage"
"PH5-PUCCH0-001","PUCCH Format 0","3GPP TS 38.211; 38.213","v18.8.0; v18.8.0","PUCCH format 0; HARQ feedback","PUCCH resource and feedback timing tables","Format 0 must expose detection, hypothesis, DTX and decoded bits without fake TB CRC","+sixgr/+phy/+ul/PUCCH_Tx.m; +sixgr/+phy/+ul/PUCCH_Rx.m","MATLAB 5G Toolbox primitive plus project DTX/noise guards","phase5_baseline/existing_pucch_source_map.csv","tests/testStrictControlChannelScenarioEvidence.m; tests/testULNoiseVarianceValidation.m","implemented_waveform_evidence_pending_connected_policy"
"PH5-PUCCH1-001","PUCCH Format 1","3GPP TS 38.211; 38.213","v18.8.0; v18.8.0","PUCCH format 1; HARQ feedback","PUCCH resource and feedback timing tables","Format 1 must expose DM-RS-backed detection semantics without fake TB CRC","+sixgr/+phy/+ul/PUCCH_Tx.m; +sixgr/+phy/+ul/PUCCH_Rx.m","MATLAB 5G Toolbox primitive plus project DTX/noise guards","phase5_baseline/existing_pucch_source_map.csv","tests/testStrictControlChannelScenarioEvidence.m; tests/testULNoiseVarianceValidation.m","implemented_waveform_evidence_pending_connected_policy"
"PH5-HARQ-DL-001","DL HARQ","3GPP TS 38.321; 38.214; 38.212","38.321 v18.8.0; 38.214 v18.8.0; 38.212 v18.8.0","DL HARQ; RV; LDPC rate recovery","HARQ process behavior","DL HARQ state update must consume decoded PUCCH feedback, preserve TB identity, and combine rate-recovered LLRs","+sixgr/+l2/+mac/HARQEntity.m; +sixgr/+phy/+harq/combineSoftLLR.m","Independent HARQ state tests plus LLR domain checks","phase5_baseline/existing_harq_source_map.csv","tests/testLLSCoupledTruthHARQRoundTrip.m; tests/testHARQIRCombiningGain.m","partial_focused_runtime_pending_connected_packet_delivery"
"PH5-HARQ-UL-001","UL HARQ","3GPP TS 38.321; 38.214; 38.212","38.321 v18.8.0; 38.214 v18.8.0; 38.212 v18.8.0","UL HARQ; RV; LDPC rate recovery","HARQ process behavior","UL retransmission must be controlled by decoded DCI and combined at the gNB","+sixgr/+l2/+mac/HARQEntity.m; +sixgr/+phy/+harq/combineSoftLLR.m","Independent HARQ state tests plus LLR domain checks","phase5_baseline/existing_harq_source_map.csv","tests/testLLSCoupledTruthHARQRoundTrip.m; tests/testHARQIRCombiningGain.m","partial_focused_runtime_pending_connected_packet_delivery"
