"requirement_id","subsystem","specification","specification_version","clause","table","normative_or_implementation_specific","requirement_summary","production_function","independent_reference","runtime_evidence","unit_test","implementation_status"
"PH6-RRC-001","Decoded advanced-PHY configuration","3GPP TS 38.331","v18.8.0","CSI-MeasConfig; CSI-ResourceConfig; CSI-ReportConfig; SRS-Config; PUCCH-Config; PDSCH-Config; PUSCH-Config","ASN.1 IE definitions","normative signaling format","UE Phase 6 CSI/SRS/TRS/PTRS/codebook configuration must come from decoded RRC after dedicated activation, not YAML or MATLAB runtime objects.","pending decoded RRC configuration owner","3GPP TS 38.331 official archive; independent ASN.1 decode readback","phase6_baseline/current_oracle_fields.csv","tests/testPhase6BaselineScaffold.m","pending_phase6_rrc_over_air_evidence"
"PH6-CSIRS-001","CSI-RS resource mapping","3GPP TS 38.211; 38.214; 38.331","v18.8.0; v18.8.0; v18.8.0","38.211 CSI-RS; 38.214 CSI reporting; 38.331 NZP-CSI-RS-Resource","CSI-RS resource mapping tables","normative resource mapping","NZP CSI-RS, ZP CSI-RS, CSI-IM, resource sets, periodicity, density, CDM, ports, and collision masks must be resolved explicitly and mapped to the live carrier grid.","+sixgr/+phy/+refsig/csirs.m; pending strict resource resolver","MATLAB 5G Toolbox nrCSIRS/nrCSIRSIndices and independent RE-count checks","phase6_baseline/existing_csi_source_map.csv","tests/testCSIRuntimeExecution.m; tests/testPhase6BaselineScaffold.m","existing_partial_pending_strict_phase6_resource_resolution"
"PH6-CSIRS-002","CSI-RS waveform and channel measurement","3GPP TS 38.211; 38.214","v18.8.0; v18.8.0","CSI-RS sequence generation; CSI measurements","CSI-RS sequence and measurement procedures","normative resource mapping","UE CSI-RS measurements must be extracted from received waveform samples after channel/RF application, with NMSE only as post-run scoring.","+sixgr/+phy/+refsig/csirs.m; +sixgr/+truth/emptyCSIRSTrialTable.m","MATLAB 5G Toolbox reference plus analytically constructed channel cases","phase6_baseline/existing_csi_source_map.csv","tests/testLLSBundleRuntimeEvidenceExports.m; tests/testPhase6BaselineScaffold.m","existing_diagnostic_or_partial_pending_over_air_measurement"
"PH6-CSI-001","CRI RI PMI CQI selection","3GPP TS 38.214","v18.8.0","CSI report quantities; Type-I codebook; CQI tables","CSI report quantity definitions","implementation-specific measurement algorithm","CRI, RI, PMI, and CQI must be selected from measured CSI-RS evidence with complete candidate and rejection lineage; selection algorithm is implementation-specific, not a mandated 3GPP algorithm.","+sixgr/+mimo/buildCSIFeedback.m; +sixgr/+mimo/selectPMI.m; +sixgr/+phy/+dl/CSI_Feedback.m","+sixgr/+mimo/buildNRCodebook.m independent checks; deterministic channel vectors","phase6_baseline/existing_csi_source_map.csv","tests/testRuntimeMeasuredCSIFeedbackDerivation.m; tests/testMIMOBeamCodebookAndSweep.m; tests/testPhase6BaselineScaffold.m","existing_partial_pending_decoded_report_path"
"PH6-PUCCH2-001","CSI report over PUCCH Format 2","3GPP TS 38.211; 38.212; 38.213","v18.8.0; v18.8.0; v18.8.0","PUCCH format 2; UCI coding; PUCCH resource selection","PUCCH Format 2 and UCI coding rules","normative signaling format","CSI reports must be bit-packed, capacity-checked without truncation, encoded, transmitted over real PUCCH Format 2 waveform, and decoded at the gNB before scheduler use.","+sixgr/+phy/+ul/PUCCH_Tx.m; +sixgr/+phy/+ul/PUCCH_Rx.m; +sixgr/+phy/+dl/packCSIFeedbackPayload.m","MATLAB 5G Toolbox nrPUCCH2/nrPUCCH2Indices/nrUCIEncode/nrUCIDecode","phase6_baseline/existing_csi_source_map.csv","tests/testCSIPayloadPackingRuntime.m; tests/testStrictControlChannelScenarioEvidence.m; tests/testPhase6BaselineScaffold.m","pending_format2_over_air_integration"
"PH6-SRS-001","SRS sequence and mapping","3GPP TS 38.211; 38.213; 38.331","v18.8.0; v18.8.0; v18.8.0","SRS sequence; resource mapping; SRS-Config","SRS resource mapping tables","normative resource mapping","SRS resources, ports, comb, cyclic shifts, hopping, triggers, and power control must be resolved from decoded configuration and mapped to live UL waveform resources.","+sixgr/+phy/+srs/buildSRSConfigFromRRC.m; +sixgr/+phy/+srs/generateSRSWaveform.m","MATLAB 5G Toolbox nrSRS/nrSRSIndices and independent frequency/comb checks","phase6_baseline/existing_srs_source_map.csv","tests/testSRSConfigStrictValidation.m; tests/testSRSGridGeneration.m; tests/testPhase6BaselineScaffold.m","existing_strict_helpers_pending_connected_decoded_config"
"PH6-SRS-002","gNB SRS receiver","3GPP TS 38.214","v18.8.0","SRS measurements and UL channel acquisition","not applicable","implementation-specific measurement algorithm","The gNB must estimate UL channel, SRS RSRP/SINR, rank, and TPMI from received SRS without true-channel or expected-answer inputs.","+sixgr/+phy/+srs/detectSRSFromULGrid.m; +sixgr/+phy/+srs/estimateULChannelFromSRS.m; +sixgr/+phy/+ul/estimateSRSRITPMI.m","no-oracle negative tests and analytically constructed channels","phase6_baseline/existing_srs_source_map.csv","tests/testSRSDetectionPositiveAWGN.m; tests/testSRSOracleGuard.m; tests/testLLSULSRSRITPMIEstimator.m","existing_strict_anchor_pending_runtime_scheduler_consumption"
"PH6-RECIP-001","TDD reciprocity and calibration","3GPP channel-model specifications; implementation policy","Release 18 context","reciprocity assumptions; RF-chain calibration policy","not applicable","implementation-specific measurement algorithm","TDD reciprocity must be explicit, calibrated, age-stamped, and labeled IDEAL_RECIPROCITY_CALIBRATION if ideal calibration is selected.","+sixgr/+rf/BeamformingSRSReciprocity.m","independent calibration residual calculation and stale-channel tests","phase6_baseline/existing_srs_source_map.csv","tests/testLLSULBeamPrecoderTruth.m; tests/testPhase6BaselineScaffold.m","partial_existing_pending_calibrated_runtime_evidence"
"PH6-TRS-001","TRS tracking","3GPP TS 38.211; 38.214","v18.8.0; v18.8.0","tracking reference signal resources and measurements","TRS-associated CSI-RS resources","normative resource mapping","TRS must use received tracking-reference resources to estimate residual CFO, timing, sampling, and common phase, with before/after evidence when impairments are enabled.","+sixgr/+phy/+trs/runStrictTRSValidation.m; +sixgr/+link/runTRSTracking.m","corrupted/no-signal negative tests and independent offset injectors","phase6_baseline/existing_tracking_source_map.csv","tests/testTRSReferenceSignalExecution.m; tests/testTRSOracleGuard.m; tests/testPhase6BaselineScaffold.m","existing_strict_helpers_pending_phase6_coupled_runtime_use"
"PH6-PTRS-001","PDSCH and PUSCH PTRS","3GPP TS 38.211; 38.214","v18.8.0; v18.8.0","PDSCH PTRS; PUSCH PTRS; PTRS density","PTRS density and RE mapping tables","normative resource mapping","PTRS must be associated with actual PDSCH/PUSCH transmissions and receiver phase correction must be waveform-derived with before/after EVM evidence.","+sixgr/+pdsch/PDSCHPTRS.m; +sixgr/+phy/+rx/correctCPEFromPTRS.m","MATLAB 5G Toolbox PTRS primitives and independent CPE injectors","phase6_baseline/existing_tracking_source_map.csv","tests/testChannelEstimatePTRSIRC.m; tests/testPhase6BaselineScaffold.m","partial_existing_pending_full_phase6_evm_evidence"
