SubcaseID,Name,Category,Direction,Mandatory,ComprehensiveBudgetMinutes,DeepBudgetMinutes,Description,RequiredCSV,RequiredPNG,WebGUISection
SC-00,CONFIG_AND_TOOLCHAIN_PREFLIGHT,Configuration/Toolchain,both,true,3,12,"Resolve source/effective/resolved YAML, validate all keys, pin MATLAB/Toolbox/Git, create immutable RunID and seed ledger.",full_stack_config_binding.csv,full_stack_webgui_publication_map.png,Configuration/Toolchain
SC-01,FRAME_GRID_DUPLEX,Frame/Grid,both,true,4,16,"Exercise numerology, CP, carrier grid, TDD D/U/F ownership, BWP/CC timing and collision legality.",frame_numerology_matrix.csv|slot_symbol_ownership.csv|timing_matrix.csv,frame_slot_symbol_map.png|k0_k1_k2_timeline.png,Frame/Grid
SC-02,WAVEFORM_DL_NOISELESS,Waveform/DL,DL,true,3,12,"DL grid to CP-OFDM waveform to recovered grid; chunk continuity, Parseval, EVM and PSD.",waveform_ofdm_parameters.csv|waveform_ofdm_roundtrip.csv|waveform_power_ledger.csv,waveform_ofdm_symbol_anatomy.png|waveform_power_reconciliation.png,Waveform/DL
SC-03,WAVEFORM_UL_NOISELESS,Waveform/UL,UL,true,3,12,"UL CP-OFDM and single-layer DFT-s-OFDM spreading, mapping, despreading, continuity and PAPR.",waveform_transform_precoding.csv|waveform_transform_precoding.csv|waveform_ofdm_roundtrip.csv,waveform_dft_spreading_map.png|waveform_papr_ccdf.png,Waveform/UL
SC-04,FIXED_SINR_DL_SWEEP,PHY/DL,DL,true,8,32,Five-point fixed-SNR DL sweep using actual PDSCH/DL-SCH/waveform/receiver and measured post-EQ SINR.,pdsch_bler_curve.csv|pdsch_receiver_metrics.csv|fixed_snr_bler_curve.csv,pdsch_bler_vs_snr.png|validation_bler_difference_ci.png,PHY/DL
SC-05,FIXED_SINR_UL_SWEEP,PHY/UL,UL,true,8,32,Five-point fixed-SNR UL sweep using actual PUSCH/UL-SCH/UCI/waveform/receiver and measured post-EQ SINR.,pusch_bler_curve.csv|pusch_receiver_metrics.csv|fixed_snr_bler_curve.csv,pusch_bler_vs_snr.png|validation_bler_difference_ci.png,PHY/UL
SC-06,INITIAL_ACCESS_CONNECTED,Initial Access,both,true,7,28,"Blind PSS/SSS/PBCH/MIB, Type-0 CSS, SIB1, four-step RA, RRCSetupComplete and connected state.",pbch_mib_decode.csv|sib1_asn1_decode.csv|ra_attempt_events.csv|rrc_connection_events.csv,ssb_burst_timeline.png|prach_occasion_map.png|rrc_connection_timeline.png,Initial Access
SC-07,PDCCH_DCI_FORMAT_MATRIX,PDCCH/DCI,both,true,5,20,Blind monitoring and contextual DCI 0_0/1_0 plus enabled 0_1/1_1 cases; wrong RNTI/size/no-signal negatives.,pdcch_dci_schema_matrix.csv|pdcch_blind_trials.csv|pdcch_grant_authority.csv,pdcch_coreset_reg_cce_map.png|pdcch_search_space_timeline.png|pdcch_false_alarm_bounds.png,PDCCH/DCI
SC-08,PDSCH_DLSCH_MAPPING_MATRIX,PDSCH/DL-SCH,DL,true,5,20,"Mapping A/B, DM-RS types, PT-RS, rate matching, reserved REs, codeword/layer and HARQ contexts.",pdsch_re_mapping.csv|pdsch_dmrs_matrix.csv|pdsch_ptrs_matrix.csv|pdsch_coding_chain.csv,pdsch_resource_grid_ownership.png|pdsch_dmrs_ptrs_map.png|pdsch_codeword_layer_mapping.png,PDSCH/DL-SCH
SC-09,PUSCH_ULSCH_UCI_MATRIX,PUSCH/UL-SCH,UL,true,5,20,"UCI Part 1/2, transform precoding, hopping, DM-RS/PT-RS, SRS authority, power and HARQ.",pusch_uci_multiplexing.csv|pusch_dmrs_matrix.csv|pusch_ptrs_matrix.csv|pusch_frequency_hopping.csv,pusch_uci_bit_allocation.png|pusch_dmrs_ptrs_hop_map.png|pusch_frequency_hop_timeline.png,PUSCH/UL-SCH
SC-10,PUCCH_UCI_FORMATS_0_TO_4,PUCCH/UCI,UL,true,5,20,"Exercise formats 0-4 with HARQ-ACK, SR, CSI, resource selection, K1/TDD, hopping, power and negatives.",pucch_format_matrix.csv|pucch_uci_serialization.csv|pucch_timing_k1_tdd.csv,pucch_format_resource_matrix.png|pucch_uci_bit_layout.png|pucch_k1_tdd_timeline.png,PUCCH/UCI
SC-11,REFERENCE_SIGNALS_MEASUREMENTS,Reference Signals,both,true,5,20,"DM-RS, PT-RS, CSI-RS/CSI-IM, SRS, TRS, measured RSRP/RSRQ/SINR/EVM and collision checks.",rsla_resource_ownership.csv|rsla_measurement_results.csv|rsla_trs_tracking.csv,rsla_resource_ownership_map.png|rsla_measurement_accuracy.png|rsla_ptrs_cpe_evm.png,Reference Signals
