ComponentID,Domain,Component,SubcaseID,MandatoryInComprehensiveSmoke,MandatoryInDeepAcceptance,RequiredCSV,RequiredPNG,CorrectnessRequirement,WebGUISection,FailureCode
COMP-0001,Configuration and execution,YAML source revision,SC-00,true,true,full_stack_config_binding.csv,full_stack_webgui_publication_map.png,Executed YAML hash equals resolved YAML hash; no dropped or unknown keys.,Configuration and execution,FULLSTACK:YAMLsourcerevisionFailed
COMP-0002,Configuration and execution,Inheritance resolution,SC-00,true,true,full_stack_config_binding.csv,,Source/effective/resolved values are visible and hash-bound.,Configuration and execution,FULLSTACK:InheritanceresolutionFailed
COMP-0003,Configuration and execution,Toolchain pinning,SC-00,true,true,full_stack_run_manifest.csv,,"MATLAB, Toolbox, Git commit and scenario hashes are finite and recorded.",Configuration and execution,FULLSTACK:ToolchainpinningFailed
COMP-0004,Configuration and execution,Named random streams,SC-00,true,true,integration_seed_ledger.csv,,Same seed is deterministic; different seeds are independent.,Configuration and execution,FULLSTACK:NamedrandomstreamsFailed
COMP-0005,Configuration and execution,Absolute radio clock,SC-01,true,true,integration_radio_clock.csv,integration_slot_event_timeline.png,Time and sample indices are strictly monotonic and gap-free.,Configuration and execution,FULLSTACK:AbsoluteradioclockFailed
COMP-0006,Frame Grid Numerology Duplexing,Numerology resolver,SC-01,true,true,frame_numerology_matrix.csv,numerology_timing_matrix.png,Requested SCS/CP resolves exactly with no fallback.,Frame/Grid,FULLSTACK:NumerologyresolverFailed
COMP-0007,Frame Grid Numerology Duplexing,Carrier grid and guardband,SC-01,true,true,carrier_grid_matrix.csv,carrier_guardband_map.png,NSizeGrid and guardband match the selected carrier tuple.,Frame/Grid,FULLSTACK:CarriergridandguardbandFailed
COMP-0008,Frame Grid Numerology Duplexing,TDD common pattern,SC-01,true,true,slot_symbol_ownership.csv,frame_slot_symbol_map.png,D/U/F symbols are preserved.,Frame/Grid,FULLSTACK:TDDcommonpatternFailed
COMP-0009,Frame Grid Numerology Duplexing,Dedicated TDD overrides,SC-01,true,true,slot_symbol_ownership.csv,frame_slot_symbol_map.png,Overrides apply only to common flexible symbols.,Frame/Grid,FULLSTACK:DedicatedTDDoverridesFailed
COMP-0010,Frame Grid Numerology Duplexing,Resource collision manager,SC-01,true,true,resource_grid_occupancy.csv,resource_grid_occupancy.png,No illegal RE collision.,Frame/Grid,FULLSTACK:ResourcecollisionmanagerFailed
COMP-0011,Frame Grid Numerology Duplexing,K0 K1 K2 timing,SC-01,true,true,timing_matrix.csv,k0_k1_k2_timeline.png,All channel timings are legal at symbol level.,Frame/Grid,FULLSTACK:K0K1K2timingFailed
COMP-0012,Frame Grid Numerology Duplexing,BWP switching,SC-01,true,true,bwp_switch_trace.csv,bwp_switch_timeline.png,Activation occurs at the declared time.,Frame/Grid,FULLSTACK:BWPswitchingFailed
COMP-0013,Frame Grid Numerology Duplexing,Component carrier timing,SC-01,true,true,component_carrier_trace.csv,component_carrier_resource_map.png,Control and scheduled CC identity is preserved.,Frame/Grid,FULLSTACK:ComponentcarriertimingFailed
COMP-0014,Waveform,DL CP-OFDM modulation,SC-02,true,true,waveform_ofdm_roundtrip.csv,waveform_ofdm_symbol_anatomy.png,Independent FFT and CP round-trip pass.,Waveform,FULLSTACK:DLCPOFDMmodulationFailed
COMP-0015,Waveform,UL CP-OFDM modulation,SC-03,true,true,waveform_ofdm_roundtrip.csv,waveform_cp_timeline.png,UL round-trip passes.,Waveform,FULLSTACK:ULCPOFDMmodulationFailed
COMP-0016,Waveform,UL DFT-s-OFDM spreading,SC-03,true,true,waveform_transform_precoding.csv,waveform_dft_spreading_map.png,Unitary DFT and localized mapping pass.,Waveform,FULLSTACK:ULDFTsOFDMspreadingFailed
COMP-0017,Waveform,Pi over 2 BPSK,SC-03,true,true,waveform_pi2bpsk.csv,waveform_pi2bpsk_constellation.png,Phase progression and chunk continuity pass.,Waveform,FULLSTACK:Piover2BPSKFailed
COMP-0018,Waveform,Subcarrier to FFT mapping,SC-02,true,true,waveform_subcarrier_mapping.csv,waveform_subcarrier_fft_map.png,"DC, guard and occupied bins map exactly.",Waveform,FULLSTACK:SubcarriertoFFTmappingFailed
COMP-0019,Waveform,Continuous stream state,SC-02,true,true,waveform_stream_continuity.csv,waveform_stream_continuity.png,One-shot and arbitrary chunk output hashes match.,Waveform,FULLSTACK:ContinuousstreamstateFailed
COMP-0020,Waveform,Power and Parseval ledger,SC-02,true,true,waveform_power_ledger.csv|waveform_parseval.csv,waveform_power_reconciliation.png|waveform_parseval_error.png,Power closes within tolerance.,Waveform,FULLSTACK:PowerandParsevalledgerFailed
COMP-0021,Waveform,PAPR and CCDF,SC-03,true,true,waveform_papr_trials.csv|waveform_papr_ccdf.csv,waveform_papr_ccdf.png,Oversampled PAPR is finite and reproducible.,Waveform,FULLSTACK:PAPRandCCDFFailed
COMP-0022,Waveform,PSD and OOB measurement,SC-02,true,true,waveform_spectral_metrics.csv,waveform_psd_guardband.png,Time/frequency power and RBW metadata reconcile.,Waveform,FULLSTACK:PSDandOOBmeasurementFailed
COMP-0023,PDSCH and DL-SCH,Decoded DL assignment,SC-08,true,true,pdsch_assignment_resolution.csv,,Dynamic source is decoded DCI; CRC/RNTI/context valid.,PHY/DL,FULLSTACK:DecodedDLassignmentFailed
COMP-0024,PDSCH and DL-SCH,DL-SCH CRC segmentation LDPC,SC-08,true,true,pdsch_coding_chain.csv,,"TB/CB CRC, BG, Zc, filler, rate matching and G/E are exact.",PHY/DL,FULLSTACK:DLSCHCRCsegmentationLDPCFailed
COMP-0025,PDSCH and DL-SCH,PDSCH scrambling modulation,SC-08,true,true,pdsch_independent_vector_results.csv,pdsch_codeword_layer_mapping.png,Bit and symbol vectors match independent oracles.,PHY/DL,FULLSTACK:PDSCHscramblingmodulationFailed
COMP-0026,PDSCH and DL-SCH,PDSCH resource mapping,SC-08,true,true,pdsch_re_mapping.csv,pdsch_resource_grid_ownership.png,Final data/DMRS/PTRS/reserved RE ownership is exact.,PHY/DL,FULLSTACK:PDSCHresourcemappingFailed
COMP-0027,PDSCH and DL-SCH,PDSCH DMRS,SC-08,true,true,pdsch_dmrs_matrix.csv,pdsch_dmrs_ptrs_map.png,"Ports, symbols, sequence and indices are exact.",PHY/DL,FULLSTACK:PDSCHDMRSFailed
COMP-0028,PDSCH and DL-SCH,PDSCH PTRS,SC-08,true,true,pdsch_ptrs_matrix.csv,pdsch_ptrs_phase_noise_evm.png,CPE correction is applied and measured.,PHY/DL,FULLSTACK:PDSCHPTRSFailed
COMP-0029,PDSCH and DL-SCH,PDSCH precoding PRG,SC-08,true,true,pdsch_precoding_application.csv,pdsch_prg_precoding_map.png,Selected/applied matrix digests match per PRG.,PHY/DL,FULLSTACK:PDSCHprecodingPRGFailed
COMP-0030,PDSCH and DL-SCH,DL HARQ,SC-08,true,true,pdsch_harq_trials.csv,pdsch_harq_rv_timeline.png,NDI/RV/TB/codeword identity and combining are preserved.,PHY/DL,FULLSTACK:DLHARQFailed
COMP-0031,PDSCH and DL-SCH,DL receiver,SC-04,true,true,pdsch_receiver_metrics.csv,pdsch_per_layer_sinr.png,SINR/EVM/NMSE/CRC are receiver-derived.,PHY/DL,FULLSTACK:DLreceiverFailed
COMP-0032,PUSCH and UL-SCH,Decoded UL assignment,SC-09,true,true,pusch_assignment_resolution.csv,,Dynamic source is decoded DCI or valid CG/RAR context.,PHY/UL,FULLSTACK:DecodedULassignmentFailed
COMP-0033,PUSCH and UL-SCH,UL-SCH CRC segmentation LDPC,SC-09,true,true,pusch_coding_chain.csv,,UL coding and rate matching are exact.,PHY/UL,FULLSTACK:ULSCHCRCsegmentationLDPCFailed
COMP-0034,PUSCH and UL-SCH,UCI on PUSCH,SC-09,true,true,pusch_uci_multiplexing.csv,pusch_uci_bit_allocation.png,HARQ/CSI Part1/Part2 positions and owner TB are exact.,PHY/UL,FULLSTACK:UCIonPUSCHFailed
COMP-0035,PUSCH and UL-SCH,PUSCH DMRS,SC-09,true,true,pusch_dmrs_matrix.csv,pusch_dmrs_ptrs_hop_map.png,Ports/OCC/CDM/indices are exact.,PHY/UL,FULLSTACK:PUSCHDMRSFailed
COMP-0036,PUSCH and UL-SCH,PUSCH PTRS,SC-09,true,true,pusch_ptrs_matrix.csv,pusch_dmrs_ptrs_hop_map.png,CPE correction is applied.,PHY/UL,FULLSTACK:PUSCHPTRSFailed
COMP-0037,PUSCH and UL-SCH,Transform precoding,SC-09,true,true,pusch_transform_precoding.csv,pusch_transform_precoding_spectrum.png,Single-layer DFT-s-OFDM passes.,PHY/UL,FULLSTACK:TransformprecodingFailed
COMP-0038,PUSCH and UL-SCH,Frequency hopping,SC-09,true,true,pusch_frequency_hopping.csv,pusch_frequency_hop_timeline.png,Hop plan and actual mapping agree.,PHY/UL,FULLSTACK:FrequencyhoppingFailed
COMP-0039,PUSCH and UL-SCH,SRS precoder authority,SC-09,true,true,pusch_srs_precoder_selection.csv,pusch_srs_tpmi_selection.png,Measured SRS selection equals applied matrix.,PHY/UL,FULLSTACK:SRSprecoderauthorityFailed
COMP-0040,PUSCH and UL-SCH,UL power application,SC-21,true,true,pusch_power_control.csv,pusch_power_control_convergence.png,Requested/applied/measured power reconcile.,PHY/UL,FULLSTACK:ULpowerapplicationFailed
COMP-0041,PUSCH and UL-SCH,UL receiver,SC-05,true,true,pusch_receiver_metrics.csv,pusch_per_layer_sinr.png,Receiver-derived per-layer SINR/EVM/CRC are finite.,PHY/UL,FULLSTACK:ULreceiverFailed
COMP-0042,PDCCH and DCI,DCI schema engine,SC-07,true,true,pdcch_dci_schema_matrix.csv|pdcch_dci_field_layout.csv,pdcch_dci_field_layout.png,"Field presence, width, order and size are contextual.",Control/PDCCH,FULLSTACK:DCIschemaengineFailed
COMP-0043,PDCCH and DCI,CRC24C RNTI mask,SC-07,true,true,pdcch_crc_scrambling.csv,pdcch_rnti_confusion_matrix.png,Correct RNTI passes; wrong RNTI does not create grant.,Control/PDCCH,FULLSTACK:CRC24CRNTImaskFailed
COMP-0044,PDCCH and DCI,Polar coding and rate matching,SC-07,true,true,pdcch_polar_coding.csv,pdcch_polar_rate_vs_al.png,Independent vectors pass.,Control/PDCCH,FULLSTACK:PolarcodingandratematchingFailed
COMP-0045,PDCCH and DCI,CORESET mapping,SC-07,true,true,pdcch_coreset_mapping.csv,pdcch_coreset_reg_cce_map.png,REG/CCE mapping is exact.,Control/PDCCH,FULLSTACK:CORESETmappingFailed
COMP-0046,PDCCH and DCI,Search-space monitoring,SC-07,true,true,pdcch_search_space_monitoring.csv,pdcch_search_space_timeline.png,Monitoring occasions are derived internally.,Control/PDCCH,FULLSTACK:SearchspacemonitoringFailed
COMP-0047,PDCCH and DCI,Blind candidate search,SC-07,true,true,pdcch_blind_trials.csv,pdcch_candidate_map.png,No transmitted candidate/AL/format oracle enters RX.,Control/PDCCH,FULLSTACK:BlindcandidatesearchFailed
COMP-0048,PDCCH and DCI,Type-0 CSS,SC-06,true,true,pdcch_type0_css.csv,pdcch_type0_css_timeline.png,MIB-derived CORESET0/SearchSpace0 works.,Control/PDCCH,FULLSTACK:Type0CSSFailed
COMP-0049,PDCCH and DCI,Grant authority,SC-07,true,true,pdcch_grant_authority.csv,pdcch_grant_authority_trace.png,Only decoded valid DCI creates dynamic grants.,Control/PDCCH,FULLSTACK:GrantauthorityFailed
COMP-0050,PUCCH and UCI,Typed UCI report,SC-10,true,true,pucch_uci_report_resolution.csv,,HARQ/SR/CSI ownership and lengths come from procedure state.,Control/PUCCH,FULLSTACK:TypedUCIreportFailed
COMP-0051,PUCCH and UCI,UCI serialization and coding,SC-10,true,true,pucch_uci_serialization.csv|pucch_uci_coding.csv,pucch_uci_bit_layout.png,Expected and decoded bits match.,Control/PUCCH,FULLSTACK:UCIserializationandcodingFailed
COMP-0052,PUCCH and UCI,HARQ-ACK codebook,SC-10,true,true,pucch_harq_codebook.csv,pucch_harq_codebook_timeline.png,ACK/NACK/DTX/DAI positions are exact.,Control/PUCCH,FULLSTACK:HARQACKcodebookFailed
COMP-0053,PUCCH and UCI,Scheduling request,SC-10,true,true,pucch_sr_events.csv,pucch_sr_csi_multiplexing.png,SR occasion and cancellation behavior are exact.,Control/PUCCH,FULLSTACK:SchedulingrequestFailed
COMP-0054,PUCCH and UCI,CSI on PUCCH,SC-10,true,true,pucch_csi_reports.csv,pucch_sr_csi_multiplexing.png,CSI Part1/Part2 round-trip.,Control/PUCCH,FULLSTACK:CSIonPUCCHFailed
COMP-0055,PUCCH and UCI,Formats 0 to 4,SC-10,true,true,pucch_format_matrix.csv,pucch_format_resource_matrix.png,Each format executes and invalid tuples reject.,Control/PUCCH,FULLSTACK:Formats0to4Failed
COMP-0056,PUCCH and UCI,Resource set and PRI,SC-10,true,true,pucch_resource_set_selection.csv|pucch_resource_indicator_selection.csv,pucch_resource_set_pri_map.png,Decoded resource indicator changes actual mapping.,Control/PUCCH,FULLSTACK:ResourcesetandPRIFailed
COMP-0057,PUCCH and UCI,K1 and TDD,SC-10,true,true,pucch_timing_k1_tdd.csv,pucch_k1_tdd_timeline.png,Exact due slot/resource without scan-forward.,Control/PUCCH,FULLSTACK:K1andTDDFailed
COMP-0058,PUCCH and UCI,PUCCH power and spatial relation,SC-21,true,true,pucch_power_control.csv|pucch_spatial_relation.csv,pucch_power_control_convergence.png|pucch_spatial_relation_beam_timeline.png,Measured pathloss/beam state drives applied waveform.,Control/PUCCH,FULLSTACK:PUCCHpowerandspatialrelationFailed
COMP-0059,Initial Access,SSB case and burst,SC-06,true,true,ssb_case_resolution.csv|ssb_burst_plan.csv,ssb_burst_timeline.png,Active bitmap and beam indices are exact.,Initial Access,FULLSTACK:SSBcaseandburstFailed
COMP-0060,Initial Access,PSS/SSS blind search,SC-06,true,true,ssb_blind_search_hypotheses.csv,ssb_blind_search_heatmap.png,Timing/cell ID found without oracle.,Initial Access,FULLSTACK:PSSSSSblindsearchFailed
COMP-0061,Initial Access,PBCH/MIB,SC-06,true,true,pbch_mib_decode.csv,pbch_mib_bit_layout.png,Decoded bits and semantics match.,Initial Access,FULLSTACK:PBCHMIBFailed
COMP-0062,Initial Access,SIB1 Type-0 scheduling,SC-06,true,true,type0_coreset_resolution.csv|type0_monitoring_candidates.csv|sib1_dci_resolution.csv,type0_coreset_searchspace.png,MIB-derived SI-RNTI DCI schedules actual SIB1.,Initial Access,FULLSTACK:SIB1Type0schedulingFailed
COMP-0063,Initial Access,SIB1 ASN.1,SC-06,true,true,sib1_asn1_decode.csv,,Decoded semantic fields match independent vector.,Initial Access,FULLSTACK:SIB1ASN1Failed
COMP-0064,Initial Access,PRACH config and occasions,SC-06,true,true,prach_config_resolution.csv|prach_occasion_resolution.csv,prach_occasion_map.png,Format/restricted set/occasion/RA-RNTI are exact.,Initial Access,FULLSTACK:PRACHconfigandoccasionsFailed
COMP-0065,Initial Access,SSB to RO association,SC-06,true,true,ssb_ro_association.csv,ssb_ro_association.png,Selected beam maps to exact RO/preamble.,Initial Access,FULLSTACK:SSBtoROassociationFailed
COMP-0066,Initial Access,RAR Msg2,SC-06,true,true,rar_decode.csv,,Detected Msg1 causes valid RA-RNTI/RAR/TA/grant.,Initial Access,FULLSTACK:RARMsg2Failed
COMP-0067,Initial Access,Msg3 HARQ,SC-06,true,true,msg3_harq.csv,msg3_harq_timeline.png,RRCSetupRequest and HARQ identity preserved.,Initial Access,FULLSTACK:Msg3HARQFailed
COMP-0068,Initial Access,Msg4 contention and RRC complete,SC-06,true,true,contention_resolution.csv|rrc_connection_events.csv,rrc_connection_timeline.png,Both endpoints reach connected after SetupComplete.,Initial Access,FULLSTACK:Msg4contentionandRRCcompleteFailed
COMP-0069,Reference Signals and Link Adaptation,Common RS ownership,SC-11,true,true,rsla_resource_ownership.csv,rsla_resource_ownership_map.png,No unresolved collisions.,Reference Signals and Link Adaptation,FULLSTACK:CommonRSownershipFailed
