authority_path,mirror_path,field,authority_value,mirror_value,match,status
reports/csv/truth_contract_summary.csv,analytics/csv/truth_policy_analytics.csv,ScenarioID,lls_causal_access_to_data_wiring_tdd,lls_causal_access_to_data_wiring_tdd,True,PASS
reports/csv/truth_contract_summary.csv,analytics/csv/truth_policy_analytics.csv,RunTag,phase55_tdd_fixed_epre_truth_20260903_01,phase55_tdd_fixed_epre_truth_20260903_01,True,PASS
reports/csv/truth_contract_summary.csv,analytics/csv/truth_policy_analytics.csv,ConfigHash,d687678abd99fd743097bec38f2e0e80392e2e80defb66cf3cdf05da0e98a6ca,d687678abd99fd743097bec38f2e0e80392e2e80defb66cf3cdf05da0e98a6ca,True,PASS
reports/csv/truth_contract_summary.csv,analytics/csv/truth_policy_analytics.csv,TruthContractVersion,truth_contract_v1,truth_contract_v1,True,PASS
reports/csv/truth_contract_summary.csv,analytics/csv/truth_policy_analytics.csv,StatusAuthority,sixgr.truth.evaluateLLSRuntimeTruthContract,sixgr.truth.evaluateLLSRuntimeTruthContract,True,PASS
reports/csv/truth_contract_summary.csv,analytics/csv/truth_policy_analytics.csv,ContractApplicability,applicable,applicable,True,PASS
reports/csv/truth_contract_summary.csv,analytics/csv/truth_policy_analytics.csv,RuntimeTruthContractOk,0,0,True,PASS
reports/csv/truth_contract_summary.csv,analytics/csv/truth_policy_analytics.csv,ResultOk,0,0,True,PASS
reports/csv/truth_contract_summary.csv,analytics/csv/truth_policy_analytics.csv,StrictTruthFailureCount,5,5,True,PASS
reports/csv/truth_contract_summary.csv,analytics/csv/truth_policy_analytics.csv,StrictProxyGuardFailureCount,0,0,True,PASS
reports/csv/truth_contract_summary.csv,analytics/csv/truth_policy_analytics.csv,CanonicalArtifactGapCount,0,0,True,PASS
reports/csv/truth_contract_summary.csv,analytics/csv/truth_policy_analytics.csv,RoundtripMismatchCount,0,0,True,PASS
reports/csv/truth_contract_summary.csv,analytics/csv/truth_policy_analytics.csv,RequiredRuntimeEvidenceMissingCount,4,4,True,PASS
reports/csv/truth_contract_summary.csv,analytics/csv/truth_policy_analytics.csv,NoProxyPHYOk,1,1,True,PASS
reports/csv/truth_contract_summary.csv,analytics/csv/truth_policy_analytics.csv,SyntheticBLERFallbackOk,1,1,True,PASS
reports/csv/truth_contract_summary.csv,analytics/csv/truth_policy_analytics.csv,RawLifecycleOk,1,1,True,PASS
reports/csv/truth_contract_summary.csv,analytics/csv/truth_policy_analytics.csv,ScenarioObjectiveOk,1,1,True,PASS
reports/csv/truth_contract_summary.csv,analytics/csv/truth_policy_analytics.csv,ClaimProfile,nr_baseline_study,nr_baseline_study,True,PASS
reports/csv/truth_contract_summary.csv,analytics/csv/truth_policy_analytics.csv,ClaimStatus,claim_allowed,claim_allowed,True,PASS
reports/csv/truth_contract_summary.csv,analytics/csv/truth_policy_analytics.csv,ClaimAllowed,1,1,True,PASS
reports/csv/truth_contract_summary.csv,analytics/csv/truth_policy_analytics.csv,StandardsConformanceOk,0,0,True,PASS
reports/csv/truth_contract_summary.csv,analytics/csv/truth_policy_analytics.csv,ConfiguredEffectiveOk,0,0,True,PASS
reports/csv/truth_contract_summary.csv,analytics/csv/truth_policy_analytics.csv,MandatorySubsystemsOk,0,0,True,PASS
reports/csv/truth_contract_summary.csv,analytics/csv/truth_policy_analytics.csv,ActiveIssueGateOk,0,0,True,PASS
reports/csv/truth_contract_summary.csv,analytics/csv/truth_policy_analytics.csv,StrictAnchorEligible,1,1,True,PASS
reports/csv/truth_contract_summary.csv,analytics/csv/truth_policy_analytics.csv,StrictAnchorPass,0,0,True,PASS
reports/csv/truth_contract_summary.csv,analytics/csv/truth_policy_analytics.csv,ResultStatusReason,runtime_truth_contract_failed; standards_claim_or_mandatory_conformance_failed; mandatory_subsystem_gate_failed; active_issue_gate_failed,runtime_truth_contract_failed; standards_claim_or_mandatory_conformance_failed; mandatory_subsystem_gate_failed; active_issue_gate_failed,True,PASS
