RuntimeDirection,RuntimeModulation,RuntimeSNR_dB,SampleIndex,SymbolComparisonDomain,SymbolOrdering,SymbolOrderingStatus,SubcarrierIndex,OFDMSymbolIndex,LayerIndex,CodewordIndex,ReferenceSymbolReal,ReferenceSymbolImag,TxReal,TxImag,RawEqualizedReal,RawEqualizedImag,EqualizedReal,EqualizedImag,HardDecisionReal,HardDecisionImag,DecisionReal,DecisionImag,DetectorOutputReal,DetectorOutputImag,SymbolErrorMagnitude,SymbolEVM_rms,Frame,RuntimeSlot,TBId,MCSIndex,MCS,Layers,PostEqSINR_dB,MeasuredSINR_dB,EVM_rms,RuntimeEVMRms_pct,RuntimeEVM_dB,RuntimeNormalization,TruthStatus,direction,ue_id,slot,tb_id,layer,modulation,mcs_index,snr_db,posteq_sinr_db,symbol_index,reference_symbol_i,reference_symbol_q,equalized_i,equalized_q,evm_rms_pct,evm_db,normalization,truth_status,UEIndex,RNTI,BeamSelectionStrategy,ConfiguredTxAntennas,ConfiguredRxAntennas
"UL","64QAM",20,1,"layer","matrix_column_major_matches_nr_resource_indices","matched_layer_domain_same_shape",1,1,1,0,-0.462910049886276,0.154303349962092,-0.462910049886276,0.154303349962092,-0.586667008162708,0.537980621011262,-0.581168449795879,0.543473099914481,-0.462910049886276,0.462910049886276,-0.462910049886276,0.462910049886276,-0.586667008162708,0.537980621011262,0.406740879955758,0.833570754281947,1,20,1,19,19,2,4.89785429021686,4.89785429021686,0.553010545513507,55.3010545513507,-5.14533173865622,"post_equalized_and_reference_unit_power_constellation","real_lls_evidence","UL",1,20,1,1,"64QAM",19,20,4.89785429021686,1,-0.462910049886276,0.154303349962092,-0.581168449795879,0.543473099914481,55.3010545513507,-5.14533173865622,"post_equalized_and_reference_unit_power_constellation","real_lls_evidence",1,1,"runtime_best_beam_per_link",4,4
"UL","64QAM",20,2,"layer","matrix_column_major_matches_nr_resource_indices","matched_layer_domain_same_shape",2,1,1,0,0.77151674981046,-0.154303349962092,0.77151674981046,-0.154303349962092,0.543124061680676,-0.291919188948465,0.540044296787306,-0.297092168746986,0.462910049886276,-0.154303349962092,0.462910049886276,-0.154303349962092,-0.25472107813142,0.416555823471624,0.271970850052981,0.345668917724345,1,20,1,19,19,2,4.89785429021686,4.89785429021686,0.553010545513507,55.3010545513507,-5.14533173865622,"post_equalized_and_reference_unit_power_constellation","real_lls_evidence","UL",1,20,1,1,"64QAM",19,20,4.89785429021686,2,0.77151674981046,-0.154303349962092,0.540044296787306,-0.297092168746986,55.3010545513507,-5.14533173865622,"post_equalized_and_reference_unit_power_constellation","real_lls_evidence",1,1,"runtime_best_beam_per_link",4,4
"UL","64QAM",20,3,"layer","matrix_column_major_matches_nr_resource_indices","matched_layer_domain_same_shape",3,1,1,0,0.77151674981046,0.77151674981046,0.77151674981046,0.77151674981046,0.623467368411979,1.23624766125015,0.63525952882636,1.22963742503039,0.77151674981046,1.08012344973464,0.77151674981046,1.08012344973464,0.543124061680676,-0.291919188948465,0.477954582920044,0.43805261099643,1,20,1,19,19,2,4.89785429021686,4.89785429021686,0.553010545513507,55.3010545513507,-5.14533173865622,"post_equalized_and_reference_unit_power_constellation","real_lls_evidence","UL",1,20,1,1,"64QAM",19,20,4.89785429021686,3,0.77151674981046,0.77151674981046,0.63525952882636,1.22963742503039,55.3010545513507,-5.14533173865622,"post_equalized_and_reference_unit_power_constellation","real_lls_evidence",1,1,"runtime_best_beam_per_link",4,4
"UL","64QAM",20,4,"layer","matrix_column_major_matches_nr_resource_indices","matched_layer_domain_same_shape",4,1,1,0,0.77151674981046,0.154303349962092,0.77151674981046,0.154303349962092,0.279669952071794,0.101718358944823,0.280542541430935,0.0989468557627572,0.154303349962092,0.154303349962092,0.154303349962092,0.154303349962092,0.0906715781507557,-0.540263815444024,0.494085027848387,0.627971110899879,1,20,1,19,19,2,4.89785429021686,4.89785429021686,0.553010545513507,55.3010545513507,-5.14533173865622,"post_equalized_and_reference_unit_power_constellation","real_lls_evidence","UL",1,20,1,1,"64QAM",19,20,4.89785429021686,4,0.77151674981046,0.154303349962092,0.280542541430935,0.0989468557627572,55.3010545513507,-5.14533173865622,"post_equalized_and_reference_unit_power_constellation","real_lls_evidence",1,1,"runtime_best_beam_per_link",4,4
"UL","64QAM",20,5,"layer","matrix_column_major_matches_nr_resource_indices","matched_layer_domain_same_shape",5,1,1,0,1.08012344973464,0.462910049886276,1.08012344973464,0.462910049886276,0.831233572280749,0.486885017603944,0.835627324936824,0.47856863932417,0.77151674981046,0.462910049886276,0.77151674981046,0.462910049886276,0.623467368411979,1.23624766125015,0.244997033582726,0.208483396821032,1,20,1,19,19,2,4.89785429021686,4.89785429021686,0.553010545513507,55.3010545513507,-5.14533173865622,"post_equalized_and_reference_unit_power_constellation","real_lls_evidence","UL",1,20,1,1,"64QAM",19,20,4.89785429021686,5,1.08012344973464,0.462910049886276,0.835627324936824,0.47856863932417,55.3010545513507,-5.14533173865622,"post_equalized_and_reference_unit_power_constellation","real_lls_evidence",1,1,"runtime_best_beam_per_link",4,4
"UL","64QAM",20,6,"layer","matrix_column_major_matches_nr_resource_indices","matched_layer_domain_same_shape",6,1,1,0,0.462910049886276,0.77151674981046,0.462910049886276,0.77151674981046,0.703556219690984,0.771182239234745,0.710777713589607,0.763989684656331,0.77151674981046,0.77151674981046,0.77151674981046,0.77151674981046,-0.528422814821129,-1.12536048919893,0.24798192559052,0.275616500809199,1,20,1,19,19,2,4.89785429021686,4.89785429021686,0.553010545513507,55.3010545513507,-5.14533173865622,"post_equalized_and_reference_unit_power_constellation","real_lls_evidence","UL",1,20,1,1,"64QAM",19,20,4.89785429021686,6,0.462910049886276,0.77151674981046,0.710777713589607,0.763989684656331,55.3010545513507,-5.14533173865622,"post_equalized_and_reference_unit_power_constellation","real_lls_evidence",1,1,"runtime_best_beam_per_link",4,4
"UL","64QAM",20,7,"layer","matrix_column_major_matches_nr_resource_indices","matched_layer_domain_same_shape",7,1,1,0,-1.08012344973464,1.08012344973464,-1.08012344973464,1.08012344973464,-0.962547653078638,0.617744658289671,-0.956110292926736,0.626869498371326,-1.08012344973464,0.77151674981046,-1.08012344973464,0.77151674981046,0.279669952071794,0.101718358944823,0.469913191438507,0.307630395689319,1,20,1,19,19,2,4.89785429021686,4.89785429021686,0.553010545513507,55.3010545513507,-5.14533173865622,"post_equalized_and_reference_unit_power_constellation","real_lls_evidence","UL",1,20,1,1,"64QAM",19,20,4.89785429021686,7,-1.08012344973464,1.08012344973464,-0.956110292926736,0.626869498371326,55.3010545513507,-5.14533173865622,"post_equalized_and_reference_unit_power_constellation","real_lls_evidence",1,1,"runtime_best_beam_per_link",4,4
"UL","64QAM",20,8,"layer","matrix_column_major_matches_nr_resource_indices","matched_layer_domain_same_shape",8,1,1,0,-1.08012344973464,0.154303349962092,-1.08012344973464,0.154303349962092,-1.37349268500211,-0.252835417070594,-1.37537152334987,-0.23932974662601,-1.08012344973464,-0.154303349962092,-1.08012344973464,-0.154303349962092,-1.11023396289041,-0.309492316464541,0.492055321791196,0.450976151642802,1,20,1,19,19,2,4.89785429021686,4.89785429021686,0.553010545513507,55.3010545513507,-5.14533173865622,"post_equalized_and_reference_unit_power_constellation","real_lls_evidence","UL",1,20,1,1,"64QAM",19,20,4.89785429021686,8,-1.08012344973464,0.154303349962092,-1.37537152334987,-0.23932974662601,55.3010545513507,-5.14533173865622,"post_equalized_and_reference_unit_power_constellation","real_lls_evidence",1,1,"runtime_best_beam_per_link",4,4
"UL","64QAM",20,9,"layer","matrix_column_major_matches_nr_resource_indices","matched_layer_domain_same_shape",9,1,1,0,0.77151674981046,1.08012344973464,0.77151674981046,1.08012344973464,0.92884305120279,1.83419985070558,0.946337249579667,1.82435514150697,1.08012344973464,1.08012344973464,1.08012344973464,1.08012344973464,0.831233572280749,0.486885017603944,0.764488729922068,0.575943488728758,1,20,1,19,19,2,4.89785429021686,4.89785429021686,0.553010545513507,55.3010545513507,-5.14533173865622,"post_equalized_and_reference_unit_power_constellation","real_lls_evidence","UL",1,20,1,1,"64QAM",19,20,4.89785429021686,9,0.77151674981046,1.08012344973464,0.946337249579667,1.82435514150697,55.3010545513507,-5.14533173865622,"post_equalized_and_reference_unit_power_constellation","real_lls_evidence",1,1,"runtime_best_beam_per_link",4,4
"UL","64QAM",20,10,"layer","matrix_column_major_matches_nr_resource_indices","matched_layer_domain_same_shape",10,1,1,0,-0.77151674981046,-0.462910049886276,-0.77151674981046,-0.462910049886276,-0.595073043014518,-0.601325609618699,-0.600684090147281,-0.595263882222917,-0.462910049886276,-0.462910049886276,-0.462910049886276,-0.462910049886276,1.39921354452561,-0.440692456995252,0.216104915589144,0.24018718501565,1,20,1,19,19,2,4.89785429021686,4.89785429021686,0.553010545513507,55.3010545513507,-5.14533173865622,"post_equalized_and_reference_unit_power_constellation","real_lls_evidence","UL",1,20,1,1,"64QAM",19,20,4.89785429021686,10,-0.77151674981046,-0.462910049886276,-0.600684090147281,-0.595263882222917,55.3010545513507,-5.14533173865622,"post_equalized_and_reference_unit_power_constellation","real_lls_evidence",1,1,"runtime_best_beam_per_link",4,4
"UL","64QAM",20,11,"layer","matrix_column_major_matches_nr_resource_indices","matched_layer_domain_same_shape",11,1,1,0,-0.462910049886276,0.462910049886276,-0.462910049886276,0.462910049886276,-0.820877442584973,0.211201734352593,-0.818466236386761,0.219118540846379,-0.77151674981046,0.154303349962092,-0.77151674981046,0.154303349962092,0.703556219690984,0.771182239234745,0.431108456932496,0.658529045542925,1,20,1,19,19,2,4.89785429021686,4.89785429021686,0.553010545513507,55.3010545513507,-5.14533173865622,"post_equalized_and_reference_unit_power_constellation","real_lls_evidence","UL",1,20,1,1,"64QAM",19,20,4.89785429021686,11,-0.462910049886276,0.462910049886276,-0.818466236386761,0.219118540846379,55.3010545513507,-5.14533173865622,"post_equalized_and_reference_unit_power_constellation","real_lls_evidence",1,1,"runtime_best_beam_per_link",4,4
