CaseID,Profile,UEID,ServingCellID,CCID,BWPId,AbsoluteSlot,ConfigurationEpoch,DecodedDCIId,DCIFormat,DCICRCPass,DCIRNTIMatch,RNTIType,FDRAType,VRBToPRBMapping,K0,PRBSet,SymbolAllocation,MappingType,MCSTable,MCSIndex,Modulation,TargetCodeRate,TBScaling,XOverhead,NumLayers,NDI,RV,HARQProcessID,DMRSPortSet,TCIStateId,RateMatchPatternIDs,SPSConfigID,SPSActivationDCIId,SPSActivationDCICRCPass,SPSActivationDCIRNTIMatch,SPSConfigurationEpoch,SPSActivated,SPSReleased,SPSOccasionIndex,Source,AssignmentCreated,WaveformAllowed,ErrorIdentifier,Status
ASSIGN-001,connected_strict,1,1,0,0,100,7,DCI-001,1_0,1,1,C-RNTI,type1_riv,noninterleaved,0,0|1|2|3,0|14,A,qam64,0,QPSK,0.1171875,1,0,1,0,0,0,0,0,,,,0,0,,0,0,,decoded_dci+ue_context,1,1,,PASS
ASSIGN-002,connected_strict,1,2,1,1,101,7,,,0,1,C-RNTI,type0_rbg,interleaved,1,3|4|5|6|7,1|13,B,qam256,1,,,1,0,1,1,2,1,1,1,,,,0,0,,0,0,,,0,0,sixgr:pdsch:MissingDecodedDCI,PASS
ASSIGN-003,connected_strict,1,1,0,2,102,7,DCI-003,1_0,0,1,SI-RNTI,type1_riv,noninterleaved,2,6|7|8|9|10|11,2|12,A,qam1024,2,,,1,0,1,0,3,2,2,2,,,,0,0,,0,0,,,0,0,sixgr:pdsch:DCICRCFailed,PASS
ASSIGN-004,connected_strict,1,2,1,0,103,7,DCI-004,1_0,1,0,RA-RNTI,type0_rbg,interleaved,0,9|10|11|12|13|14|15,3|11,B,qam64,3,,,1,0,1,1,1,3,3,3,,,,0,0,,0,0,,,0,0,sixgr:pdsch:DCIRNTIMismatch,PASS
ASSIGN-005,connected_strict,1,1,0,1,104,7,DCI-005,1_1,1,1,C-RNTI,type1_riv,noninterleaved,1,12|13|14|15|16|17|18|19,0|14,A,qam256,4,,,1,0,1,0,0,4,4,0,,,,0,0,,0,0,,,0,0,sixgr:pdsch:MissingActiveBWPContext,PASS
ASSIGN-006,connected_strict,1,2,1,2,105,7,DCI-006,1_1,1,1,C-RNTI,type0_rbg,interleaved,2,15|16|17|18|19|20|21|22|23,1|13,B,qam1024,5,,,1,0,1,1,2,5,5,1,,,,0,0,,0,0,,,0,0,sixgr:pdsch:StaleUEConfigurationEpoch,PASS
ASSIGN-007,phy_calibration,1,1,0,0,106,7,,,0,0,C-RNTI,,,,18|19|20|21|22|23|24|25|26|27,2|12,A,qam64,6,QPSK,0.4384765625,1,0,1,0,3,0,0,,,,,0,0,,0,0,,calibration_assignment,1,1,,PASS
ASSIGN-008,phy_calibration,1,2,1,1,107,7,,1_0,0,0,RA-RNTI,,,,1|2|3|4|5|6|7|8|9|10|11,3|11,B,qam256,7,16QAM,0.478515625,1,0,1,1,1,0,0,,,,,0,0,,0,0,,calibration_assignment,1,1,,PASS
ASSIGN-009,connected_strict,1,1,0,2,108,7,DCI-009,1_1,1,1,C-RNTI,type1_riv,noninterleaved,2,4|5|6|7|8|9|10|11|12|13|14|15,0|14,A,qam1024,8,64QAM,0.5537109375,1,0,1,0,0,8,0,0,,,,0,0,,0,0,,decoded_dci+ue_context,1,1,,PASS
ASSIGN-010,connected_strict,1,2,1,0,109,7,DCI-010,1_2,1,1,C-RNTI,type0_rbg,interleaved,0,7|8|9|10|11|12|13|14|15|16|17|18|19,1|13,B,qam64,9,QPSK,0.6630859375,1,0,1,1,2,9,0,1,,,,0,0,,0,0,,decoded_dci+ue_context,1,1,,PASS
