Artifact,RequiredRows,Generated,Reason,Status
"channel_profile_resolution.csv",20,1,"executed_production_evidence","PASS"
"channel_geometry_state.csv",200,1,"executed_production_evidence","PASS"
"channel_geometry_provenance.csv",500,1,"executed_production_evidence","PASS"
"channel_topology_sites_sectors.csv",20,1,"executed_production_evidence","PASS"
"channel_ue_drops.csv",100,1,"executed_production_evidence","PASS"
"channel_wraparound_links.csv",100,1,"executed_production_evidence","PASS"
"channel_pathloss_trials.csv",100,1,"executed_production_evidence","PASS"
"channel_los_state.csv",100,1,"executed_production_evidence","PASS"
"channel_o2i_trials.csv",50,1,"executed_production_evidence","PASS"
"channel_oxygen_absorption.csv",50,1,"executed_production_evidence","PASS"
"channel_lsp_samples.csv",500,1,"executed_production_evidence","PASS"
"channel_lsp_statistics.csv",100,1,"executed_production_evidence","PASS"
"channel_ssp_clusters.csv",500,0,"full_runtime_cluster_angle_state_not_available","FAIL"
"channel_tdl_profile.csv",100,0,"independent_tdl_delay_power_reference_not_in_pack","FAIL"
"channel_tdl_spatial_correlation.csv",100,1,"executed_production_evidence","PASS"
"channel_cdl_profile.csv",100,0,"independent_cdl_vectors_are_SPEC_LOOKUP_REQUIRED","FAIL"
"channel_array_geometry.csv",20,1,"executed_production_evidence","PASS"
"channel_polarization_port_projection.csv",20,1,"executed_production_evidence","PASS"
"channel_mobility_trace.csv",200,1,"executed_production_evidence","PASS"
"channel_doppler_phase.csv",200,1,"executed_production_evidence","PASS"
"channel_blockage_material.csv",50,0,"independent_blockage_material_vectors_not_in_pack","FAIL"
"channel_absolute_power_ledger.csv",100,1,"executed_production_evidence","PASS"
"channel_noise_ledger.csv",50,1,"executed_production_evidence","PASS"
"channel_interference_contributions.csv",200,1,"executed_production_evidence","PASS"
"channel_interference_covariance.csv",50,1,"executed_production_evidence","PASS"
"channel_handover_continuity.csv",50,0,"multicell_handover_campaign_not_executed","FAIL"
"channel_rel19_midband_profiles.csv",50,1,"executed_production_evidence","PASS"
"channel_raytracing_contract.csv",10,0,"pinned_scene_and_material_files_not_present","FAIL"
"channel_independent_vector_results.csv",100,1,"executed_production_evidence","PASS"
"channel_negative_tests.csv",50,1,"executed_production_evidence","PASS"
"channel_test_summary.csv",1,1,"executed_production_evidence","PASS"
"channel_image_semantic_audit.csv",22,0,"images_are_not_emitted_until_all_source_tables_are_qualified","FAIL"
