relative_path,artifact_role,canonical_source,row_count,column_count,all_zero_finite_column_count,all_missing_column_count,mixed_finite_missing_column_count,semantic_check_count,required_semantic_failure_count,mirror_hash_verified,audit_disposition
air_interface/csv/distance_vs_sinr.csv,canonical_or_derived_artifact,air_interface/csv/distance_vs_sinr.csv,0,16,0,0,0,1,0,False,PASS_POLICY_DISABLED_NO_OBSERVATIONS
air_interface/csv/dl_fixed_link_campaign_trials.csv,primary_runtime_truth,air_interface/csv/dl_fixed_link_campaign_trials.csv,120,964,134,298,0,15,0,False,PASS_PRIMARY_RUNTIME_SEMANTICS
air_interface/csv/dl_measured_sinr_bler_curve.csv,canonical_or_derived_artifact,air_interface/csv/dl_measured_sinr_bler_curve.csv,12,16,0,0,2,3,0,False,PASS_DERIVED_LINK_SEMANTICS
air_interface/csv/dl_measured_sinr_throughput_curve.csv,canonical_or_derived_artifact,air_interface/csv/dl_measured_sinr_throughput_curve.csv,12,18,0,0,2,3,0,False,PASS_DERIVED_LINK_SEMANTICS
air_interface/csv/dl_multi_seed_bler_curve.csv,canonical_or_derived_artifact,air_interface/csv/dl_multi_seed_bler_curve.csv,3,15,0,0,0,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
air_interface/csv/dl_pdsch_receiver_evidence_audit.csv,canonical_or_derived_artifact,air_interface/csv/dl_pdsch_receiver_evidence_audit.csv,120,47,5,0,0,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
air_interface/csv/dl_pdsch_trials.csv,canonical_or_derived_artifact,air_interface/csv/dl_pdsch_trials.csv,120,958,134,298,0,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
air_interface/csv/fer_summary.csv,canonical_or_derived_artifact,air_interface/csv/fer_summary.csv,4,14,0,0,3,3,0,False,PASS_DERIVED_LINK_SEMANTICS
air_interface/csv/fixed_link_campaign_task_plan.csv,canonical_or_derived_artifact,air_interface/csv/fixed_link_campaign_task_plan.csv,6,19,0,0,0,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
air_interface/csv/harq_combining_gain.csv,canonical_or_derived_artifact,air_interface/csv/harq_combining_gain.csv,1,13,7,0,0,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
air_interface/csv/link_anchor_kpis.csv,canonical_or_derived_artifact,air_interface/csv/link_anchor_kpis.csv,3,18,3,1,6,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
air_interface/csv/link_kpis.csv,canonical_or_derived_artifact,air_interface/csv/link_kpis.csv,3,108,3,0,0,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
air_interface/csv/live_measured_sinr_summary.csv,canonical_or_derived_artifact,air_interface/csv/live_measured_sinr_summary.csv,4,22,0,0,2,3,0,False,PASS_DERIVED_LINK_SEMANTICS
air_interface/csv/lls_fixed_link_campaign.csv,canonical_or_derived_artifact,air_interface/csv/lls_fixed_link_campaign.csv,3,108,3,0,0,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
air_interface/csv/lls_kpi_summary.csv,canonical_or_derived_artifact,air_interface/csv/lls_kpi_summary.csv,4,24,0,1,1,3,0,False,PASS_DERIVED_LINK_SEMANTICS
air_interface/csv/lls_measured_sinr_summary.csv,canonical_or_derived_artifact,air_interface/csv/lls_measured_sinr_summary.csv,4,22,0,0,2,3,0,False,PASS_DERIVED_LINK_SEMANTICS
air_interface/csv/lls_snr_sweep.csv,canonical_or_derived_artifact,air_interface/csv/lls_snr_sweep.csv,3,108,3,0,0,3,0,False,PASS_DERIVED_LINK_SEMANTICS
air_interface/csv/measured_sinr_distribution.csv,canonical_or_derived_artifact,air_interface/csv/measured_sinr_distribution.csv,24,7,0,0,1,3,0,False,PASS_DERIVED_LINK_SEMANTICS
air_interface/csv/metric_unit_catalog.csv,canonical_or_derived_artifact,air_interface/csv/metric_unit_catalog.csv,4461,4,0,0,0,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
air_interface/csv/multi_seed_drop_statistics.csv,canonical_or_derived_artifact,air_interface/csv/multi_seed_drop_statistics.csv,6,11,0,0,0,4,0,False,PASS_DOMAIN_RUNTIME_SEMANTICS
