DecisionId,Slot,Frame,Direction,CandidateIndex,CandidateScope,PFRank,RNTI,UEIndex,ServingCell,BufferBytes,CQI,RI,PMI,EstimatedTBSBits,EstimatedTBSBytes,InstantRate_bps,AvgThroughput_bps,PFMetric,HARQPendingRetx,HARQHasFreeProcess,HARQBlocked,ProbePRBCount,AllocatedPRBCount,SymbolStart,NumSymbols,PDCCHAggregationLevel,ControlCCERemainingBefore,QueueLimited,AMCMode,MCSIndex,MCSSelectionSource,CQIProvenance,MCSValueStatus,MUMIMOAdmissionEvaluated,MUMIMOAdmissionPeerRNTI,MUMIMOAdmissionCompatible,MUMIMOAdmissionStatus,MUMIMOAdmissionEvidenceSource,MUMIMOAdmissionWorstLeakage_dB,Scheduled,Rejected,RejectionReason,GrantReason,SelectedGrantIndex,CandidateDecisionRowsAvailable,DecisionTruthStatus,Source,ValueRole,SourceArtifact,SourceClassification,RuntimeMaterializationStatus,ValueSource,ValueStatus,ValueDefinition
"DL_slot_15_rnti_1_candidate_1",15,1,"DL",1,"new_data_pf",1,1,1,1,51000,15,2,0,184424,23053,368848000,434256000,0.84937916804834,0,1,0,136,136,2,12,4,24,0,"cqi_table",19,"runtime_cqi_table","dl_srs_reciprocity_adjusted_data_scheduler_input","measured_cqi_mapped",1,2,1,"compatible_executable_measured_spatial_design","causal_measured_srs_complete_peer_subspace_reciprocity_phase_only_hybrid_and_frozen_baseband",-309.559997237865,1,0,"","new_data_pf_mu_mimo",1,1,"runtime_scheduler_selected_candidate_truth","sixgr.l2.mac.SchedulerPF.schedule","runtime_scheduler_candidate_rejection_lineage","packet_flow/csv/scheduler_decision_log.csv","runtime_scheduler_candidate_decision","runtime_populated","sixgr.l2.mac.SchedulerPF.schedule","available_runtime_observation","Per-slot MAC scheduler candidate, PF metric, selected flag, and rejection reason emitted by the active scheduler."
"DL_slot_15_rnti_2_candidate_2",15,1,"DL",2,"new_data_pf",2,2,2,1,51000,14,2,0,184424,23053,368848000,434256000,0.84937916804834,0,1,0,136,136,2,12,4,24,0,"cqi_table",19,"runtime_cqi_table","dl_srs_reciprocity_adjusted_data_scheduler_input","measured_cqi_mapped",1,1,1,"compatible_executable_measured_spatial_design","causal_measured_srs_complete_peer_subspace_reciprocity_phase_only_hybrid_and_frozen_baseband",-309.559997237865,1,0,"","new_data_pf_mu_mimo",2,1,"runtime_scheduler_selected_candidate_truth","sixgr.l2.mac.SchedulerPF.schedule","runtime_scheduler_candidate_rejection_lineage","packet_flow/csv/scheduler_decision_log.csv","runtime_scheduler_candidate_decision","runtime_populated","sixgr.l2.mac.SchedulerPF.schedule","available_runtime_observation","Per-slot MAC scheduler candidate, PF metric, selected flag, and rejection reason emitted by the active scheduler."
"DL_slot_15_rnti_3_candidate_3",15,1,"DL",3,"new_data_pf",3,3,3,1,51000,15,2,0,184424,23053,368848000,434256000,0.84937916804834,0,1,0,136,NaN,2,12,4,24,0,"cqi_table",19,"runtime_cqi_table","dl_srs_reciprocity_adjusted_data_scheduler_input","measured_cqi_mapped",0,NaN,0,"not_evaluated","",NaN,0,1,"NOT_SELECTED_LOWER_PF_OR_RESOURCE_LIMIT","",NaN,1,"runtime_scheduler_candidate_truth","sixgr.l2.mac.SchedulerPF.schedule","runtime_scheduler_candidate_rejection_lineage","packet_flow/csv/scheduler_decision_log.csv","runtime_scheduler_candidate_decision","runtime_populated","sixgr.l2.mac.SchedulerPF.schedule","available_runtime_observation","Per-slot MAC scheduler candidate, PF metric, selected flag, and rejection reason emitted by the active scheduler."
"DL_slot_15_rnti_4_candidate_4",15,1,"DL",4,"new_data_pf",4,4,4,1,51000,15,2,0,184424,23053,368848000,434256000,0.84937916804834,0,1,0,136,NaN,2,12,4,24,0,"cqi_table",19,"runtime_cqi_table","dl_srs_reciprocity_adjusted_data_scheduler_input","measured_cqi_mapped",0,NaN,0,"not_evaluated","",NaN,0,1,"NOT_SELECTED_LOWER_PF_OR_RESOURCE_LIMIT","",NaN,1,"runtime_scheduler_candidate_truth","sixgr.l2.mac.SchedulerPF.schedule","runtime_scheduler_candidate_rejection_lineage","packet_flow/csv/scheduler_decision_log.csv","runtime_scheduler_candidate_decision","runtime_populated","sixgr.l2.mac.SchedulerPF.schedule","available_runtime_observation","Per-slot MAC scheduler candidate, PF metric, selected flag, and rejection reason emitted by the active scheduler."
"DL_slot_16_rnti_1_candidate_1",16,1,"DL",1,"new_data_pf",3,1,1,1,30947,15,2,0,184424,23053,368848000,427715200,0.862368230074592,0,1,0,136,NaN,2,12,4,24,0,"cqi_table",19,"runtime_cqi_table","dl_srs_reciprocity_adjusted_data_scheduler_input","measured_cqi_mapped",0,NaN,0,"not_evaluated","",NaN,0,1,"NOT_SELECTED_LOWER_PF_OR_RESOURCE_LIMIT","",NaN,1,"runtime_scheduler_candidate_truth","sixgr.l2.mac.SchedulerPF.schedule","runtime_scheduler_candidate_rejection_lineage","packet_flow/csv/scheduler_decision_log.csv","runtime_scheduler_candidate_decision","runtime_populated","sixgr.l2.mac.SchedulerPF.schedule","available_runtime_observation","Per-slot MAC scheduler candidate, PF metric, selected flag, and rejection reason emitted by the active scheduler."
"DL_slot_16_rnti_2_candidate_2",16,1,"DL",2,"new_data_pf",4,2,2,1,30947,14,2,0,184424,23053,368848000,427715200,0.862368230074592,0,1,0,136,NaN,2,12,4,24,0,"cqi_table",19,"runtime_cqi_table","dl_srs_reciprocity_adjusted_data_scheduler_input","measured_cqi_mapped",0,NaN,0,"not_evaluated","",NaN,0,1,"NOT_SELECTED_LOWER_PF_OR_RESOURCE_LIMIT","",NaN,1,"runtime_scheduler_candidate_truth","sixgr.l2.mac.SchedulerPF.schedule","runtime_scheduler_candidate_rejection_lineage","packet_flow/csv/scheduler_decision_log.csv","runtime_scheduler_candidate_decision","runtime_populated","sixgr.l2.mac.SchedulerPF.schedule","available_runtime_observation","Per-slot MAC scheduler candidate, PF metric, selected flag, and rejection reason emitted by the active scheduler."
"DL_slot_16_rnti_3_candidate_3",16,1,"DL",3,"new_data_pf",1,3,3,1,54000,15,2,0,184424,23053,368848000,390830400,0.943754631164822,0,1,0,136,136,2,12,4,24,0,"cqi_table",19,"runtime_cqi_table","dl_srs_reciprocity_adjusted_data_scheduler_input","measured_cqi_mapped",1,4,1,"compatible_executable_measured_spatial_design","causal_measured_srs_complete_peer_subspace_reciprocity_phase_only_hybrid_and_frozen_baseband",-308.684427076075,1,0,"","new_data_pf_mu_mimo",1,1,"runtime_scheduler_selected_candidate_truth","sixgr.l2.mac.SchedulerPF.schedule","runtime_scheduler_candidate_rejection_lineage","packet_flow/csv/scheduler_decision_log.csv","runtime_scheduler_candidate_decision","runtime_populated","sixgr.l2.mac.SchedulerPF.schedule","available_runtime_observation","Per-slot MAC scheduler candidate, PF metric, selected flag, and rejection reason emitted by the active scheduler."
"DL_slot_16_rnti_4_candidate_4",16,1,"DL",4,"new_data_pf",2,4,4,1,54000,15,2,0,184424,23053,368848000,390830400,0.943754631164822,0,1,0,136,136,2,12,4,24,0,"cqi_table",19,"runtime_cqi_table","dl_srs_reciprocity_adjusted_data_scheduler_input","measured_cqi_mapped",1,3,1,"compatible_executable_measured_spatial_design","causal_measured_srs_complete_peer_subspace_reciprocity_phase_only_hybrid_and_frozen_baseband",-308.684427076075,1,0,"","new_data_pf_mu_mimo",2,1,"runtime_scheduler_selected_candidate_truth","sixgr.l2.mac.SchedulerPF.schedule","runtime_scheduler_candidate_rejection_lineage","packet_flow/csv/scheduler_decision_log.csv","runtime_scheduler_candidate_decision","runtime_populated","sixgr.l2.mac.SchedulerPF.schedule","available_runtime_observation","Per-slot MAC scheduler candidate, PF metric, selected flag, and rejection reason emitted by the active scheduler."
"DL_slot_17_rnti_1_candidate_1",17,1,"DL",1,"new_data_pf",1,1,1,1,33947,15,2,0,184424,23053,368848000,384943680,0.958186922305102,0,1,0,136,136,2,12,4,24,0,"cqi_table",19,"runtime_cqi_table","dl_srs_reciprocity_adjusted_data_scheduler_input","measured_cqi_mapped",1,2,1,"compatible_executable_measured_spatial_design","causal_measured_srs_complete_peer_subspace_reciprocity_phase_only_hybrid_and_frozen_baseband",-309.559997237865,1,0,"","new_data_pf_mu_mimo",1,1,"runtime_scheduler_selected_candidate_truth","sixgr.l2.mac.SchedulerPF.schedule","runtime_scheduler_candidate_rejection_lineage","packet_flow/csv/scheduler_decision_log.csv","runtime_scheduler_candidate_decision","runtime_populated","sixgr.l2.mac.SchedulerPF.schedule","available_runtime_observation","Per-slot MAC scheduler candidate, PF metric, selected flag, and rejection reason emitted by the active scheduler."
"DL_slot_17_rnti_2_candidate_2",17,1,"DL",2,"new_data_pf",2,2,2,1,33947,14,2,0,184424,23053,368848000,384943680,0.958186922305102,0,1,0,136,136,2,12,4,24,0,"cqi_table",19,"runtime_cqi_table","dl_srs_reciprocity_adjusted_data_scheduler_input","measured_cqi_mapped",1,1,1,"compatible_executable_measured_spatial_design","causal_measured_srs_complete_peer_subspace_reciprocity_phase_only_hybrid_and_frozen_baseband",-309.559997237865,1,0,"","new_data_pf_mu_mimo",2,1,"runtime_scheduler_selected_candidate_truth","sixgr.l2.mac.SchedulerPF.schedule","runtime_scheduler_candidate_rejection_lineage","packet_flow/csv/scheduler_decision_log.csv","runtime_scheduler_candidate_decision","runtime_populated","sixgr.l2.mac.SchedulerPF.schedule","available_runtime_observation","Per-slot MAC scheduler candidate, PF metric, selected flag, and rejection reason emitted by the active scheduler."
