ModelID,Term,Response,Estimate,StdError,CILower,CIUpper,PValue,AdjustedPValue,PracticalMagnitude,Status
IA-INTERACTION-01,F01:factor,Latency_ms,17.0628846579715,0,17.0628846579715,17.0628846579715,0,0,17.0628846579715,PASS
IA-INTERACTION-02,F02:factor,Latency_ms,0,0,0,0,1,1,0,PASS
IA-INTERACTION-03,F03:factor,Latency_ms,0,0,0,0,1,1,0,PASS
IA-INTERACTION-04,F04:factor,Latency_ms,0,0,0,0,1,1,0,PASS
IA-INTERACTION-05,F05:factor,Latency_ms,0,0,0,0,1,1,0,PASS
IA-INTERACTION-06,F06:factor,Latency_ms,0,0,0,0,1,1,0,PASS
IA-INTERACTION-07,F07:factor,Latency_ms,0,0,0,0,1,1,0,PASS
IA-INTERACTION-08,F08:factor,Latency_ms,0,0,0,0,1,1,0,PASS
IA-INTERACTION-09,F09:factor,Latency_ms,0,0,0,0,1,1,0,PASS
IA-INTERACTION-10,F10:factor,Latency_ms,20,0,20,20,0,0,20,PASS
IA-INTERACTION-11,F11:factor,Latency_ms,0,0,0,0,1,1,0,PASS
IA-INTERACTION-12,F12:factor,Latency_ms,0,0,0,0,1,1,0,PASS
IA-INTERACTION-13,F13:factor,Latency_ms,0,0,0,0,1,1,0,PASS
IA-INTERACTION-14,F14:factor,Latency_ms,0,0,0,0,1,1,0,PASS
IA-INTERACTION-15,F15:factor,Latency_ms,-24.8333333333333,0,-24.8333333333333,-24.8333333333333,0,0,24.8333333333333,PASS
IA-INTERACTION-16,F16:factor,Latency_ms,0,0,0,0,1,1,0,PASS
IA-INTERACTION-17,F17:factor,Latency_ms,0,0,0,0,1,1,0,PASS
IA-INTERACTION-18,F18:factor,Latency_ms,0,0,0,0,1,1,0,PASS
IA-INTERACTION-19,F19:factor,Latency_ms,0,0,0,0,1,1,0,PASS
IA-INTERACTION-20,F20:factor,Latency_ms,0,0,0,0,1,1,0,PASS
