ImageFile,SourceCSV,Width,Height,AxesCount,SeriesCount,FinitePointCount,ExpectedTitleToken,ActualTitle,ExpectedXLabel,ActualXLabel,ExpectedYLabel,ActualYLabel,SourceCSV_SHA256,PNG_SHA256,Status
pdcch_coreset_reg_cce_map.png,pdcch_coreset_mapping.csv|pdcch_re_ownership.csv,1200,760,1,2,50,CORESET REG CCE map,CORESET REG CCE map — contracted evidence,REG index,REG index,CCE index,CCE index,e5bf8c3337f8d7affc757ef439a3a44dd2cc3bd1f259c6efab87157c4a41840e,ac03f422b9df61104a1f2c91c671d3849b83010e803e06b96066e6778082fcc6,PASS
pdcch_search_space_timeline.png,pdcch_search_space_monitoring.csv,1200,760,1,2,20,PDCCH search space timeline,PDCCH search space timeline — contracted evidence,Absolute slot,Absolute slot,Monitoring symbol,Monitoring symbol,f66b44de351119d074adc2057d2029ed8d11d4f457c177ebc07fd0be1876860b,53140574242942b8b839896fc874ddf1e24cf90020e417752a2a230a7fca78c3,PASS
pdcch_candidate_map.png,pdcch_candidate_enumeration.csv,1200,760,1,3,30,PDCCH candidate map,PDCCH candidate map — contracted evidence,Candidate index,Candidate index,First CCE,First CCE,825c693bc331be6cbbd00f69c95edc56604862a447a8638ea6305f1c3055e5cc,69c80ccff39b215c80669f7ffef2c77d93af3fd39e01815f62c4fafb440f5397,PASS
pdcch_dci_field_layout.png,pdcch_dci_field_layout.csv,1200,760,1,4,32,DCI field layout,DCI field layout — contracted evidence,Bit index,Bit index,Field,Field,419d460f3b52045e1e482fe08a20d851eccfcd9fdf25905ccefcd45aaa9bcee2,f1ce1bbc7991486886a60e3628816bb5dadd677ba6e8b7b1de1a5789c31afe41,PASS
pdcch_dmrs_sequence_correlation.png,pdcch_dmrs_matrix.csv,1200,760,1,3,24,PDCCH DM-RS,PDCCH DM-RS — contracted evidence,DM-RS vector,DM-RS vector,Correlation magnitude,Correlation magnitude,037a0f958fcda5880a91223a1fcb72b975f590b578f9fd601ddf8ee46096430c,33e191dea8768d3e0facda0fb24f076e906d2da010581ef11d09ff15a7d181ad,PASS
pdcch_polar_rate_vs_al.png,pdcch_polar_coding.csv,1200,760,1,3,15,PDCCH polar code rate,PDCCH polar code rate — contracted evidence,Aggregation level,Aggregation level,Code rate,Code rate,dc676559d8c7114877ad0a107fee083cfd5cc9134578105d864a851fb587c15d,53f353b271aeb485459722dad514a1bd4068f872ae875a8e6329de3855ba17b9,PASS
pdcch_detection_vs_snr.png,pdcch_detection_curve.csv,1200,760,1,4,20,PDCCH detection probability,PDCCH detection probability — contracted evidence,SNR (dB),SNR (dB),Detection probability,Detection probability,43d12b92c34e0373c94dae78ee7d0b0ed101caf7f904f471611a192a8de48b7a,d193521afe22698313cc26426831a566111a70b563b38d9128e49d5d6f168605,PASS
pdcch_false_alarm_bounds.png,pdcch_detection_curve.csv,1200,760,1,3,15,PDCCH false alarm,PDCCH false alarm — contracted evidence,Trials,Trials,False alarm probability upper bound,False alarm probability upper bound,43d12b92c34e0373c94dae78ee7d0b0ed101caf7f904f471611a192a8de48b7a,d1d6ca47af1116052b96a0cb3ebde5573fe508da86bf0d7eab691aea782944c8,PASS
pdcch_type0_css_timeline.png,pdcch_type0_css.csv,1200,760,1,3,21,Type0 PDCCH CSS,Type0 PDCCH CSS — contracted evidence,Absolute slot,Absolute slot,First monitored symbol,First monitored symbol,c29aea10be1de4e1f977870f36a91d376aaa0496367ae6c5b182a1901b5453e1,2b9f4664e91fe001f88bf8d95cf709932e9c5dc002ec049eb839dcb23f5a6d18,PASS
pdcch_rnti_confusion_matrix.png,pdcch_blind_trials.csv|pdcch_rnti_procedure.csv,1200,760,1,2,20,PDCCH RNTI confusion,PDCCH RNTI confusion — contracted evidence,Transmitted RNTI type,Transmitted RNTI type,Decoded RNTI type,Decoded RNTI type,a6ac32bc9cd24d7888a3ad9c7e3c377ba3c8256c1acd016b6075a2178430b931,1e5d8356291405a302150583b3d36fc3e93965771494a881af5c36d35bbde5e2,PASS
pdcch_bwp_crosscarrier_map.png,pdcch_bwp_crosscarrier.csv,1200,760,1,2,10,PDCCH cross carrier,PDCCH cross carrier — contracted evidence,Control carrier/BWP,Control carrier/BWP,Scheduled carrier/BWP,Scheduled carrier/BWP,fa8afb273ac09059ceabf76ef52e41bcf0fd8a559b62cfa98a756fd42061430f,d991878d5e8fb7987a9283ea7715dc183d1dade82d1453b2079af25b793362a1,PASS
pdcch_beam_monitoring_timeline.png,pdcch_beam_monitoring.csv,1200,760,1,3,12,PDCCH beam monitoring,PDCCH beam monitoring — contracted evidence,Absolute slot,Absolute slot,Beam/TCI state,Beam/TCI state,fe47d37b79812a05ec458da0e53ad71099facff40f9de9fd202cd545bd9a9ab5,656804276b8f5a41200794c59508f731531d3673bc333a63be0741f7c0345841,PASS
pdcch_grant_authority_trace.png,pdcch_grant_authority.csv,1200,760,1,3,21,Decoded DCI grant authority,Decoded DCI grant authority — contracted evidence,Mutation case,Mutation case,Assignment effect,Assignment effect,5e984820cf2a70568e33b1bbb94493430f20258b8caadaf85bf006c5eda97a93,aee37279d3cdf2dfdcf891dc50a7047f8f9eebd257cfc3fafbc669421a3122e0,PASS
