Step,UEIndex,RNTI,ServingCell,Frame,Slot,Time_s,Direction,StageName,EventName,LifecycleState,StageStatus,SourceArtifact,ValueSource,ValueRole,ValueStatus,ValueDefinition,SlotDuration_s,ProcedureStartSlot,ProcedureEndSlot,ProcedureDelay_ms,AccessDelay_ms,CompleteFlag,PlaceholderFlag,FallbackFlag,Notes
15,2,2,1,1,10,0.0045,"UL","PUSCH","MSG3_PUSCH_COMPLETED","MSG3_PUSCH_COMPLETED","PASS","control/csv/msg3_pusch_trials.csv","slot_coupled_four_step_ra_waveform_chain","measured_runtime_procedure_event","available_runtime_observation","initial-access event timestamp recorded from the slot-coupled runtime evidence path",0.0005,NaN,NaN,NaN,NaN,0,0,0,"Msg3 PUSCH decoded from the RAR UL grant inside the four-step RA chain."
16,2,2,1,1,10,0.0045,"DL","PDSCH","MSG4_CONTENTION_RESOLUTION_COMPLETED","CONNECTED","PASS","control/csv/msg4_contention_resolution.csv","slot_coupled_runtime_initial_access_lifecycle","measured_runtime_procedure_delay","available_runtime_procedure_sample","SSB/PBCH through PRACH/Msg2/Msg3/Msg4 delay from runtime event timestamps",0.0005,1,10,5,5,1,0,0,"Delay uses slot-coupled runtime timestamps only; configured values and compute runtime are not substituted."
17,3,3,1,1,10,0.0045,"UL","PRACH","PRACH_MSG1_DETECTED","PRACH_MSG1_DETECTED","PASS","control/csv/prach_trials.csv","slot_coupled_four_step_ra_waveform_chain","measured_runtime_procedure_event","available_runtime_observation","initial-access event timestamp recorded from the slot-coupled runtime evidence path",0.0005,NaN,NaN,NaN,NaN,0,0,0,"Four-step RA completed through Msg1 PRACH, Msg2 RAR, Msg3 PUSCH, and Msg4 contention-resolution waveform evidence."
18,3,3,1,1,10,0.0045,"DL","RAR","MSG2_RAR_DECODED","MSG2_RAR_DECODED","PASS","control/csv/msg2_rar_trials.csv","slot_coupled_four_step_ra_waveform_chain","measured_runtime_procedure_event","available_runtime_observation","initial-access event timestamp recorded from the slot-coupled runtime evidence path",0.0005,NaN,NaN,NaN,NaN,0,0,0,"Msg2 RAR PDCCH/PDSCH decode observed inside the four-step RA chain."
19,3,3,1,1,10,0.0045,"UL","PUSCH","MSG3_PUSCH_COMPLETED","MSG3_PUSCH_COMPLETED","PASS","control/csv/msg3_pusch_trials.csv","slot_coupled_four_step_ra_waveform_chain","measured_runtime_procedure_event","available_runtime_observation","initial-access event timestamp recorded from the slot-coupled runtime evidence path",0.0005,NaN,NaN,NaN,NaN,0,0,0,"Msg3 PUSCH decoded from the RAR UL grant inside the four-step RA chain."
20,3,3,1,1,10,0.0045,"DL","PDSCH","MSG4_CONTENTION_RESOLUTION_COMPLETED","CONNECTED","PASS","control/csv/msg4_contention_resolution.csv","slot_coupled_runtime_initial_access_lifecycle","measured_runtime_procedure_delay","available_runtime_procedure_sample","SSB/PBCH through PRACH/Msg2/Msg3/Msg4 delay from runtime event timestamps",0.0005,1,10,5,5,1,0,0,"Delay uses slot-coupled runtime timestamps only; configured values and compute runtime are not substituted."
21,4,4,1,1,10,0.0045,"UL","PRACH","PRACH_MSG1_DETECTED","PRACH_MSG1_DETECTED","PASS","control/csv/prach_trials.csv","slot_coupled_four_step_ra_waveform_chain","measured_runtime_procedure_event","available_runtime_observation","initial-access event timestamp recorded from the slot-coupled runtime evidence path",0.0005,NaN,NaN,NaN,NaN,0,0,0,"Four-step RA completed through Msg1 PRACH, Msg2 RAR, Msg3 PUSCH, and Msg4 contention-resolution waveform evidence."
22,4,4,1,1,10,0.0045,"DL","RAR","MSG2_RAR_DECODED","MSG2_RAR_DECODED","PASS","control/csv/msg2_rar_trials.csv","slot_coupled_four_step_ra_waveform_chain","measured_runtime_procedure_event","available_runtime_observation","initial-access event timestamp recorded from the slot-coupled runtime evidence path",0.0005,NaN,NaN,NaN,NaN,0,0,0,"Msg2 RAR PDCCH/PDSCH decode observed inside the four-step RA chain."
23,4,4,1,1,10,0.0045,"UL","PUSCH","MSG3_PUSCH_COMPLETED","MSG3_PUSCH_COMPLETED","PASS","control/csv/msg3_pusch_trials.csv","slot_coupled_four_step_ra_waveform_chain","measured_runtime_procedure_event","available_runtime_observation","initial-access event timestamp recorded from the slot-coupled runtime evidence path",0.0005,NaN,NaN,NaN,NaN,0,0,0,"Msg3 PUSCH decoded from the RAR UL grant inside the four-step RA chain."
24,4,4,1,1,10,0.0045,"DL","PDSCH","MSG4_CONTENTION_RESOLUTION_COMPLETED","CONNECTED","PASS","control/csv/msg4_contention_resolution.csv","slot_coupled_runtime_initial_access_lifecycle","measured_runtime_procedure_delay","available_runtime_procedure_sample","SSB/PBCH through PRACH/Msg2/Msg3/Msg4 delay from runtime event timestamps",0.0005,1,10,5,5,1,0,0,"Delay uses slot-coupled runtime timestamps only; configured values and compute runtime are not substituted."
25,1,1,1,1,16,0.0075,"DL","PDCCH","PDCCH_DCI_DECODED","PDCCH_DCI_DECODED","PASS","control/csv/pdcch_trials.csv","slot_coupled_grant_pdcch_decode_observation","measured_runtime_procedure_event","available_runtime_observation","initial-access event timestamp recorded from the slot-coupled runtime evidence path",0.0005,NaN,NaN,NaN,NaN,0,0,0,"PDCCH DCI decode observed for a scheduler grant in the coupled runtime."
26,2,2,1,1,16,0.0075,"DL","PDCCH","PDCCH_DCI_DECODED","PDCCH_DCI_DECODED","PASS","control/csv/pdcch_trials.csv","slot_coupled_grant_pdcch_decode_observation","measured_runtime_procedure_event","available_runtime_observation","initial-access event timestamp recorded from the slot-coupled runtime evidence path",0.0005,NaN,NaN,NaN,NaN,0,0,0,"PDCCH DCI decode observed for a scheduler grant in the coupled runtime."
27,3,3,1,1,17,0.008,"DL","PDCCH","PDCCH_DCI_DECODED","PDCCH_DCI_DECODED","PASS","control/csv/pdcch_trials.csv","slot_coupled_grant_pdcch_decode_observation","measured_runtime_procedure_event","available_runtime_observation","initial-access event timestamp recorded from the slot-coupled runtime evidence path",0.0005,NaN,NaN,NaN,NaN,0,0,0,"PDCCH DCI decode observed for a scheduler grant in the coupled runtime."
28,4,4,1,1,17,0.008,"DL","PDCCH","PDCCH_DCI_DECODED","PDCCH_DCI_DECODED","PASS","control/csv/pdcch_trials.csv","slot_coupled_grant_pdcch_decode_observation","measured_runtime_procedure_event","available_runtime_observation","initial-access event timestamp recorded from the slot-coupled runtime evidence path",0.0005,NaN,NaN,NaN,NaN,0,0,0,"PDCCH DCI decode observed for a scheduler grant in the coupled runtime."
