RunID,CandidateID,SnapshotID,Policy,UEID,Metric,Rank,RequestedPRBs,RequestedSymbols,RequestedTBSBits,HARQProcess,IsRetransmission,RejectionReason,Status
MAC_PHASE08_R18_20260727033902,b5fb6211424bf5903576ab707586c3b957a4ae9b48b145bcb69cbf5c20b69c52,e92e3e1748501f556e0ced07866308b6f8bf96362faf2dc1a368116a14a87244,RR,1,0,1,10,10,800,0,false,,PASS
MAC_PHASE08_R18_20260727033902,f1c79a2053f4624d14f16724b4758a4b860bc3d5d0513603d075ccdea7c7d651,3a5ccf6ed0a718891f6fe8a06d2bfa3cbc9c9f85124afddd3382ba8d1716eb38,PF,2,1.5,1,10,10,800,1,true,,PASS
MAC_PHASE08_R18_20260727033902,4be4716fc02ca58765428d5f17204ea183b18785448c104cc64971df8c886e67,6e25a4e2e2ec3b22cbec2a864c5805ad6560edf42cafeb5bc8306574ab068f64,QoS-PF,3,11.687,1,10,10,800,2,true,,PASS
MAC_PHASE08_R18_20260727033902,1f4c5ce7342b0a715bcc573fdfeed6449681bf93bfc21bf7ba0cf0f2021b1a74,80d2c77b253e76cdb3c7938ee38cb9105eef68129c291ca6681fda411e55e0ba,EDF,4,-12,1,10,10,800,3,true,,PASS
MAC_PHASE08_R18_20260727033902,f3d14ea180114e3b70e16fed572d51068c6450d69e3bc5f87a86ec974e3cea76,142b5e716d5937b543846e40d09e81ea020a7c031d2c4c1aab30a10ae7c5f066,RR,5,0,1,10,10,800,4,false,,PASS
MAC_PHASE08_R18_20260727033902,47dbfaa640ab6fe3efc89a78c10bb1f64be6753fa1ff9d684cbc9bd1e26cbd60,0b07397b826187fcf518493e47319e82f76a4a8fe4d8b6a3d671178f20445125,PF,6,1.25,1,10,10,800,5,true,,PASS
MAC_PHASE08_R18_20260727033902,dfa41a65482f28e2505f18715c5c4862fd1255f883e396e6bcef7e069153c2e5,f72920e470380f2fbb78e1f10a4af7a2c3f7d8824053be53cf87dfea7bd5c5b3,QoS-PF,7,4.3457,1,10,10,800,6,true,,PASS
MAC_PHASE08_R18_20260727033902,e2fda409d08ae8f869c8fd183386666b9f59d8e9ce89c8e7219392de4dcfd0c3,c4f806aa09b1235a02dbfc68d17d9b49c5cb5b6bf214dd3bc5448353b57a6d75,EDF,8,-4,1,10,10,800,7,true,,PASS
MAC_PHASE08_R18_20260727033902,ac9dd032cadc4a2646eeda04c3f81ec77cd3dc5d4551cab99e73b301c8e6e99f,b4b2aa62f2e66122f6d393619a0a2349594747ae40f626d8c06d97949f37c1eb,RR,1,0,1,10,10,800,8,false,,PASS
MAC_PHASE08_R18_20260727033902,41a7069ba9289e9e6486861eef154d6ea744d6044da4d06ba2805c40adaa73f7,be2ad383c2556bd513f267dbde40e4977ec1cf22f7e78e020e2d07a989f3d6b1,PF,2,3.5,1,10,10,800,9,true,,PASS
MAC_PHASE08_R18_20260727033902,0e80f842dd3b873f4d3e73f1ce39b034f97b4db760bd40a0a20dcd5734e49ff7,0809320f18c87cd07b1d5a56d587ebe41aee372edd11502bb926843cd36a9efb,QoS-PF,3,37.1613,1,10,10,800,10,true,,PASS
MAC_PHASE08_R18_20260727033902,6b99fa948e42c0d912aa58dfb4da8f92705c2b1f3ed9ece24ca3c35aa814d3c7,b5e6d86684a373f2196d98e36e28770830c1c79da48735dd7d3c27a3d5b5cc2d,EDF,4,0,1,10,10,800,11,true,,PASS
MAC_PHASE08_R18_20260727033902,1409d62e5c8a31de733951b9ccd2b9564af2a1429cc14653945230df78211315,d61ea464e97dea6ede3b7f4be647e1d277d13039b2f8a5b687dea32c6bb53d03,RR,5,0,1,10,10,800,12,false,,PASS
MAC_PHASE08_R18_20260727033902,451d3231db16cb7c3ea0f4ba67ec5ae4148496458b138379c763b24b6d48d571,12713fc61e0e57283349b7f8fc01263814a6ecfde63d1a10eb238a4e75b3c2a1,PF,6,2.25,1,10,10,800,13,true,,PASS
MAC_PHASE08_R18_20260727033902,2b758f3620e6a592d43fc82a5781263454abdfe617e927a85d76a9937b6cccfd,a76b7400885face599a0b678618d8e18603868455a755dff35444d2763198621,QoS-PF,7,4.8254,1,10,10,800,14,true,,PASS
MAC_PHASE08_R18_20260727033902,74aefc4fb2dfbf09bab541b1ff7f0a758906cc7a699844b23854edc27162f581,dd7c45c4b126572f667d5c2e93bb6ef7cae1cd838f0ff602d87e4fdfdc5eb243,EDF,8,-28,1,10,10,800,15,true,,PASS
MAC_PHASE08_R18_20260727033902,fad11bd7cc6d4c20fd1f8f75c099c3bdfe2400fa9377da4eaa9a23a6af06747b,6d348833bf2ba51fc4238f403cde60a57b2cf23b431eb34691da50494ff1e02b,RR,1,0,1,10,10,800,0,false,,PASS
MAC_PHASE08_R18_20260727033902,b5e171dd63dd506421dbae556d024cfad4f1a06d773e44ad6298fa5e0af33898,413d8286e6eccc9481b78f428256c596208357322ef7c6563217188b7193638e,PF,2,1.5,1,10,10,800,1,true,,PASS
MAC_PHASE08_R18_20260727033902,2b4ce60dd728fc72c7b001856af36f947c3ca4b6004215c62caa8bab6817c4e3,089a1ccead7268c9833635fda993b18a431f1d995379399f0936186279719100,QoS-PF,3,12.0615,1,10,10,800,2,true,,PASS
