RunID,LedgerRowID,AttemptID,TBID,Codeword,NDIEpoch,RV,MotherCodeIndex,LLRSum,ObservationWeight,CodingLayoutSHA256,RateMatchSHA256,ChannelRealizationID,NoiseRealizationID,ReceiverSHA256,Status
MAC_PHASE08_R18_20260727033902,e44fc0f768904199d7e98755ef814ee20051ce03090655d8cb265927534d8521,8038b6662602a795208de945e0dbbd3688ccb8189fad6bc95e3e00047ffae2f5,TB-1,0,1,0,0,-1.05,1,446eb29a731d38ee34ac3b784942bab04c16e86d8b0ee44c53bb13da2ea9ef9e,ace056715daa0120d53a4ec853985aa7ef34cb500dfb31eac0c3dc93ffbf4c77,CH-1,NOISE-1,a7ec724ebf655f82aea99f4dacfc983db60a1cc17b897b1bf43040cfba338e8e,PASS
MAC_PHASE08_R18_20260727033902,81283bfa8518750c97d74e850a929574a83589c32e950252dd2a488b96d62c34,c909792b482fd78a4183ecbaab83a9479ca40ffcae60faeb631df9126bae65bf,TB-1,1,1,2,1,1.1,1,446eb29a731d38ee34ac3b784942bab04c16e86d8b0ee44c53bb13da2ea9ef9e,ace056715daa0120d53a4ec853985aa7ef34cb500dfb31eac0c3dc93ffbf4c77,CH-2,NOISE-2,a7ec724ebf655f82aea99f4dacfc983db60a1cc17b897b1bf43040cfba338e8e,PASS
MAC_PHASE08_R18_20260727033902,e9d7b817260f6f77331e41c90ea0b285bbe8b4f87d5e7e5977bc6994624996bd,107f0a514e5300b0ee65efc70c6880e82d8bf53afceda70eab955003ccb0e269,TB-1,0,1,3,2,-1.15,1,446eb29a731d38ee34ac3b784942bab04c16e86d8b0ee44c53bb13da2ea9ef9e,ace056715daa0120d53a4ec853985aa7ef34cb500dfb31eac0c3dc93ffbf4c77,CH-3,NOISE-3,a7ec724ebf655f82aea99f4dacfc983db60a1cc17b897b1bf43040cfba338e8e,PASS
MAC_PHASE08_R18_20260727033902,29cf60cd82b79cf9bfab901213390e33371467c281ffac76bb7ffa3a1b2bb0dd,b22f3b4895faaf7e5f2773bbdb5bd5505984e8ebf4645a885ac4078be9bbe6b1,TB-1,1,1,1,3,1.2,1,446eb29a731d38ee34ac3b784942bab04c16e86d8b0ee44c53bb13da2ea9ef9e,ace056715daa0120d53a4ec853985aa7ef34cb500dfb31eac0c3dc93ffbf4c77,CH-4,NOISE-4,a7ec724ebf655f82aea99f4dacfc983db60a1cc17b897b1bf43040cfba338e8e,PASS
MAC_PHASE08_R18_20260727033902,f12f39b4149eb2b57900c5a79289ad2713de620678d5eae6c25ed7556ca137ea,1b3d5606bcdef71f6f6089016d2a781202936d785d68a0228219a1de55cc9607,TB-2,0,2,0,4,-1.25,1,8e71e6d8a5980b6de379cc9b2d741f58ede32c3843d172b84815f409d5dbcaae,ca5b1563194d3b5b10044b289ed7aeba9cd5c5a80581b841dfaee64d5981422b,CH-5,NOISE-5,a7ec724ebf655f82aea99f4dacfc983db60a1cc17b897b1bf43040cfba338e8e,PASS
MAC_PHASE08_R18_20260727033902,ea4fc150d3a33697e6d988380031b1bc4e6285ae15f48234d2bda1cdd3470e7f,3fdf3eb9ce20fc09788b694caf1de2e82f9e05bb96494c290d2d7dd6a68253d2,TB-2,1,2,2,5,1.3,1,8e71e6d8a5980b6de379cc9b2d741f58ede32c3843d172b84815f409d5dbcaae,ca5b1563194d3b5b10044b289ed7aeba9cd5c5a80581b841dfaee64d5981422b,CH-6,NOISE-6,a7ec724ebf655f82aea99f4dacfc983db60a1cc17b897b1bf43040cfba338e8e,PASS
MAC_PHASE08_R18_20260727033902,038a12232b3ef1efa00e9149b3fa063c4d3fea30b70b1fe905a09e662c5b29b1,4bd226208d04362058d1dd319b2fa8eab6c223d816b95306aebf22dd96accc71,TB-2,0,2,3,6,-1.35,1,8e71e6d8a5980b6de379cc9b2d741f58ede32c3843d172b84815f409d5dbcaae,ca5b1563194d3b5b10044b289ed7aeba9cd5c5a80581b841dfaee64d5981422b,CH-1,NOISE-1,a7ec724ebf655f82aea99f4dacfc983db60a1cc17b897b1bf43040cfba338e8e,PASS
MAC_PHASE08_R18_20260727033902,7ba961ace7a164cb8c59c83cdf1229c34aa02648402b63b4b14cd1634dc52b22,b2f98ad01358ac023e83873728931d263e77ca81123f12f142cfe9db770e6c63,TB-2,1,2,1,7,1.4,1,8e71e6d8a5980b6de379cc9b2d741f58ede32c3843d172b84815f409d5dbcaae,ca5b1563194d3b5b10044b289ed7aeba9cd5c5a80581b841dfaee64d5981422b,CH-2,NOISE-2,a7ec724ebf655f82aea99f4dacfc983db60a1cc17b897b1bf43040cfba338e8e,PASS
MAC_PHASE08_R18_20260727033902,f86d837629d66c34ae833673f795e1b9d9e58ea9b0ae44d0def9455c636b8426,5f4949622ee2fe097c534bc5482196db2035bea1b8042d958b8f88249bf5c513,TB-3,0,3,0,8,-1.45,1,d8f86504b6cdf17773608656457bd643bc6e9d99912c26e3ef93d6eb4409c724,badbcabf7ffe599a6b18a0fe47fa571b0cf0dacffe394fb4e1edac2edbc80f53,CH-3,NOISE-3,a7ec724ebf655f82aea99f4dacfc983db60a1cc17b897b1bf43040cfba338e8e,PASS
MAC_PHASE08_R18_20260727033902,b0f18581ab8f3c424b1bc8921c751e94b33e126acb50c489e2d010cb7054bd87,b8e943f203b2292394a392b505c59c25df71d1156ad9e1204b8182f07fefc65a,TB-3,1,3,2,9,1.5,1,d8f86504b6cdf17773608656457bd643bc6e9d99912c26e3ef93d6eb4409c724,badbcabf7ffe599a6b18a0fe47fa571b0cf0dacffe394fb4e1edac2edbc80f53,CH-4,NOISE-4,a7ec724ebf655f82aea99f4dacfc983db60a1cc17b897b1bf43040cfba338e8e,PASS
