RunID,DecisionID,UEID,Direction,SourceDCIEventID,K0,K1,K2,PDCCHSlot,PDSCHSlot,PUSCHSlot,FeedbackSlot,TDDLegal,ProcessingLegal,ResourceLegal,Status
MAC_PHASE08_R18_20260727033902,c79793a1ea7819c2fc52b0ec19fd371073cc7c2a99da32861fc62b442878f53e,1,DL,DCI-0001,0,1,2,0,0,2,1,true,true,true,PASS
MAC_PHASE08_R18_20260727033902,785f7a504cacd89bd7a8986f0ff4d8c2c09f4d231dae0a9ee6d2b50ebb8ce364,2,UL,DCI-0002,1,2,3,1,2,4,4,true,true,true,PASS
MAC_PHASE08_R18_20260727033902,ef2735ace81c3f7f9c9efbaba76305f2d3015d08d3f0ed73f786dab1a73f038c,3,DL,DCI-0003,2,3,1,2,4,3,7,true,true,true,PASS
MAC_PHASE08_R18_20260727033902,06e868e0be78028290041caf55321e4d86e8542ef8308170ec6bdb6609c4bf09,4,UL,DCI-0004,0,4,2,3,3,5,7,true,true,true,PASS
MAC_PHASE08_R18_20260727033902,ff15a773ae9c3ab2e17b8db8a75ad825166e5f9741b05a86a1e97236b4200de3,5,DL,DCI-0005,1,1,3,4,5,7,6,true,true,true,PASS
MAC_PHASE08_R18_20260727033902,020fc985e05dd47d47eb783403ff6e4ac103db49cfd4169d118921e35878d861,6,UL,DCI-0006,2,2,1,5,7,6,9,true,true,true,PASS
MAC_PHASE08_R18_20260727033902,c5b544bf8810ceffdf17157157f365a2e0a451e247b937c53f5115f1f21dbdff,7,DL,DCI-0007,0,3,2,6,6,8,9,true,true,true,PASS
MAC_PHASE08_R18_20260727033902,4f1cc10c914c3430464dd6e2358ec365bc4126e88bc7157f1e430c15d986487d,8,UL,DCI-0008,1,4,3,7,8,10,12,true,true,true,PASS
MAC_PHASE08_R18_20260727033902,0d36e0a695726f86a4872b9ae469cb6525aab412bbea0aa8379b1676260b2c76,1,DL,DCI-0009,2,1,1,8,10,9,11,true,true,true,PASS
MAC_PHASE08_R18_20260727033902,9c71af11158a88728cc9e305749316d0aa2f373925404dc33d6ba49ad7802ed5,2,UL,DCI-0010,0,2,2,9,9,11,11,true,true,true,PASS
MAC_PHASE08_R18_20260727033902,aeb503567ce85a0138ceff45f1c338ae3be6086f384ce7d225594a35a3b3bd19,3,DL,DCI-0011,1,3,3,10,11,13,14,true,true,true,PASS
MAC_PHASE08_R18_20260727033902,b0b745d035c51667d88aec867e40cfec0a2c7b0e45468a1b99ef1a5132f2b88a,4,UL,DCI-0012,2,4,1,11,13,12,17,true,true,true,PASS
MAC_PHASE08_R18_20260727033902,baa0d32ad18092b8e30a1e644fa4e708ab40e6962c2f2cea18d786ff30b22255,5,DL,DCI-0013,0,1,2,12,12,14,13,true,true,true,PASS
MAC_PHASE08_R18_20260727033902,edbf57a5a47e4065202f7505be3fc30aab6a78475150a4bba6f1d9bc217d2495,6,UL,DCI-0014,1,2,3,13,14,16,16,true,true,true,PASS
MAC_PHASE08_R18_20260727033902,ec5620da47d086cd2ca2694cd45674cdd0330242c261da492b7a2b89b4e72eb3,7,DL,DCI-0015,2,3,1,14,16,15,19,true,true,true,PASS
MAC_PHASE08_R18_20260727033902,0623da0f84fff5c62159c49887294159ba6f435f77228b26b6d13bf0dd3438d2,8,UL,DCI-0016,0,4,2,15,15,17,19,true,true,true,PASS
MAC_PHASE08_R18_20260727033902,9de7a5b391d3dbe0fb3fba2e4b9d9ef9e6177a837b0dc296c78c4110c8adde73,1,DL,DCI-0017,1,1,3,16,17,19,18,true,true,true,PASS
MAC_PHASE08_R18_20260727033902,c3b55a643298d4d5a033dd374a9e214bb13aa7dc2c976de4d6ff6060f3befca1,2,UL,DCI-0018,2,2,1,17,19,18,21,true,true,true,PASS
MAC_PHASE08_R18_20260727033902,79a661470a29525f359073799e9e66fa16cb6aee7191eb8b4b7a3d12c1cbed67,3,DL,DCI-0019,0,3,2,18,18,20,21,true,true,true,PASS
MAC_PHASE08_R18_20260727033902,834c513bd7e791f0be46f80001ca405e3a0b2f7de0b4a04cc21ac906322319d5,4,UL,DCI-0020,1,4,3,19,20,22,24,true,true,true,PASS
MAC_PHASE08_R18_20260727033902,6a7face098b2b6f878789e440726ec416776dea3f61b014977538e5588d7e0b6,5,DL,DCI-0021,2,1,1,20,22,21,23,true,true,true,PASS
MAC_PHASE08_R18_20260727033902,bf93685295b8eced0242df2883537d04811d37a73bab80a6755738a85d82f306,6,UL,DCI-0022,0,2,2,21,21,23,23,true,true,true,PASS
MAC_PHASE08_R18_20260727033902,7c3586ae3b6ca3f8c3729c61937ab784ae7a27f64d17b47e61080ad51ddaf1c9,7,DL,DCI-0023,1,3,3,22,23,25,26,true,true,true,PASS
MAC_PHASE08_R18_20260727033902,d426ba73ef943b7a1ee0e3ee01700e57414b8316cce4d57436120648b063523d,8,UL,DCI-0024,2,4,1,23,25,24,29,true,true,true,PASS
MAC_PHASE08_R18_20260727033902,a42f1372864f6cfb4180b3b7182ba436693e203e6b1040da4ec5f13cefbd146b,1,DL,DCI-0025,0,1,2,24,24,26,25,true,true,true,PASS
MAC_PHASE08_R18_20260727033902,79ce135035921ab1cdfed12e867e03eee41602b8058c8a4a8cbf41115bfd895c,2,UL,DCI-0026,1,2,3,25,26,28,28,true,true,true,PASS
MAC_PHASE08_R18_20260727033902,5d84f56b8b1377f6064ef72b2f1a6229e13280ca54f035a561bc4fce506d75ad,3,DL,DCI-0027,2,3,1,26,28,27,31,true,true,true,PASS
MAC_PHASE08_R18_20260727033902,5a0c995cecf4e3ef993b95f61bf276ce6845c3e1fc30423c224bd5f0a660a657,4,UL,DCI-0028,0,4,2,27,27,29,31,true,true,true,PASS
MAC_PHASE08_R18_20260727033902,8b1725053637eeb24d98f0f27e718fbce8b95b47be82b6a5101d68dcaacdbfc5,5,DL,DCI-0029,1,1,3,28,29,31,30,true,true,true,PASS
MAC_PHASE08_R18_20260727033902,1e499dcb2b290b6440150620d4e1a72e9aa4ab067e61ad230fc6e3ab50c78a8e,6,UL,DCI-0030,2,2,1,29,31,30,33,true,true,true,PASS
