RunID,EventSequence,UEID,LCID,LCGID,Priority,PBR_kBps,BSD_ms,Bj_Bytes,QueueBytes,HoLDelay_ms,AllowedServingCell,AllowedSCS_kHz,Eligible,Status
MAC_PHASE08_R18_20260727033902,1,1,1,0,1,1,10,5,101,3,0|1,15|30|60,true,PASS
MAC_PHASE08_R18_20260727033902,2,2,2,1,2,2,20,10,102,6,0|1,15|30|60,true,PASS
MAC_PHASE08_R18_20260727033902,3,3,3,2,3,3,30,15,103,9,0|1,15|30|60,true,PASS
MAC_PHASE08_R18_20260727033902,4,4,4,3,4,4,40,20,104,12,0|1,15|30|60,true,PASS
MAC_PHASE08_R18_20260727033902,5,5,5,0,5,5,50,25,105,15,0|1,15|30|60,true,PASS
MAC_PHASE08_R18_20260727033902,6,6,6,1,6,6,10,30,106,18,0|1,15|30|60,true,PASS
MAC_PHASE08_R18_20260727033902,7,7,7,2,7,7,20,35,107,21,0|1,15|30|60,true,PASS
MAC_PHASE08_R18_20260727033902,8,8,8,3,8,8,30,40,108,24,0|1,15|30|60,true,PASS
MAC_PHASE08_R18_20260727033902,9,1,9,0,1,9,40,45,109,27,0|1,15|30|60,true,PASS
MAC_PHASE08_R18_20260727033902,10,2,10,1,2,10,50,50,110,30,0|1,15|30|60,true,PASS
MAC_PHASE08_R18_20260727033902,11,3,11,2,3,11,10,55,111,33,0|1,15|30|60,true,PASS
MAC_PHASE08_R18_20260727033902,12,4,12,3,4,12,20,60,112,36,0|1,15|30|60,true,PASS
MAC_PHASE08_R18_20260727033902,13,5,13,0,5,13,30,65,113,39,0|1,15|30|60,true,PASS
MAC_PHASE08_R18_20260727033902,14,6,14,1,6,14,40,70,114,42,0|1,15|30|60,true,PASS
MAC_PHASE08_R18_20260727033902,15,7,15,2,7,15,50,75,115,45,0|1,15|30|60,true,PASS
MAC_PHASE08_R18_20260727033902,16,8,16,3,8,16,10,80,116,48,0|1,15|30|60,true,PASS
MAC_PHASE08_R18_20260727033902,17,1,1,0,1,1,20,5,117,1,0|1,15|30|60,true,PASS
MAC_PHASE08_R18_20260727033902,18,2,2,1,2,2,30,10,118,4,0|1,15|30|60,true,PASS
MAC_PHASE08_R18_20260727033902,19,3,3,2,3,3,40,15,119,7,0|1,15|30|60,true,PASS
MAC_PHASE08_R18_20260727033902,20,4,4,3,4,4,50,20,120,10,0|1,15|30|60,true,PASS
MAC_PHASE08_R18_20260727033902,21,5,5,0,5,5,10,25,121,13,0|1,15|30|60,true,PASS
MAC_PHASE08_R18_20260727033902,22,6,6,1,6,6,20,30,122,16,0|1,15|30|60,true,PASS
MAC_PHASE08_R18_20260727033902,23,7,7,2,7,7,30,35,123,19,0|1,15|30|60,true,PASS
MAC_PHASE08_R18_20260727033902,24,8,8,3,8,8,40,40,124,22,0|1,15|30|60,true,PASS
MAC_PHASE08_R18_20260727033902,25,1,9,0,1,9,50,45,125,25,0|1,15|30|60,true,PASS
MAC_PHASE08_R18_20260727033902,26,2,10,1,2,10,10,50,126,28,0|1,15|30|60,true,PASS
MAC_PHASE08_R18_20260727033902,27,3,11,2,3,11,20,55,127,31,0|1,15|30|60,true,PASS
MAC_PHASE08_R18_20260727033902,28,4,12,3,4,12,30,60,128,34,0|1,15|30|60,true,PASS
MAC_PHASE08_R18_20260727033902,29,5,13,0,5,13,40,65,129,37,0|1,15|30|60,true,PASS
MAC_PHASE08_R18_20260727033902,30,6,14,1,6,14,50,70,130,40,0|1,15|30|60,true,PASS
MAC_PHASE08_R18_20260727033902,31,7,15,2,7,15,10,75,131,43,0|1,15|30|60,true,PASS
MAC_PHASE08_R18_20260727033902,32,8,16,3,8,16,20,80,132,46,0|1,15|30|60,true,PASS
MAC_PHASE08_R18_20260727033902,33,1,1,0,1,1,30,5,133,49,0|1,15|30|60,true,PASS
MAC_PHASE08_R18_20260727033902,34,2,2,1,2,2,40,10,134,2,0|1,15|30|60,true,PASS
MAC_PHASE08_R18_20260727033902,35,3,3,2,3,3,50,15,135,5,0|1,15|30|60,true,PASS
MAC_PHASE08_R18_20260727033902,36,4,4,3,4,4,10,20,136,8,0|1,15|30|60,true,PASS
MAC_PHASE08_R18_20260727033902,37,5,5,0,5,5,20,25,137,11,0|1,15|30|60,true,PASS
MAC_PHASE08_R18_20260727033902,38,6,6,1,6,6,30,30,138,14,0|1,15|30|60,true,PASS
MAC_PHASE08_R18_20260727033902,39,7,7,2,7,7,40,35,139,17,0|1,15|30|60,true,PASS
MAC_PHASE08_R18_20260727033902,40,8,8,3,8,8,50,40,140,20,0|1,15|30|60,true,PASS
