RunID,DecisionID,UEID,Direction,RRCEligible,BWPEligible,DRXEligible,GapEligible,HalfDuplexEligible,TDDEligible,TAEligible,PowerEligible,ControlEligible,OverallEligible,Reasons,Status
MAC_PHASE08_R18_20260727033902,ELIG-0001,1,DL,true,true,true,true,true,true,true,true,true,true,,PASS
MAC_PHASE08_R18_20260727033902,ELIG-0002,2,UL,true,true,true,true,true,true,true,true,false,false,ControlEligible,PASS
MAC_PHASE08_R18_20260727033902,ELIG-0003,3,DL,true,true,true,true,true,true,true,false,true,false,PowerEligible,PASS
MAC_PHASE08_R18_20260727033902,ELIG-0004,4,UL,true,true,true,true,true,true,false,true,true,false,TAEligible,PASS
MAC_PHASE08_R18_20260727033902,ELIG-0005,5,DL,true,true,true,true,true,false,true,true,true,false,TDDEligible,PASS
MAC_PHASE08_R18_20260727033902,ELIG-0006,6,UL,true,true,true,true,false,true,true,true,true,false,HalfDuplexEligible,PASS
MAC_PHASE08_R18_20260727033902,ELIG-0007,7,DL,true,true,true,false,true,true,true,true,true,false,GapEligible,PASS
MAC_PHASE08_R18_20260727033902,ELIG-0008,8,UL,true,true,false,true,true,true,true,true,true,false,DRXEligible,PASS
MAC_PHASE08_R18_20260727033902,ELIG-0009,1,DL,true,false,true,true,true,true,true,true,true,false,BWPEligible,PASS
MAC_PHASE08_R18_20260727033902,ELIG-0010,2,UL,false,true,true,true,true,true,true,true,true,false,RRCEligible,PASS
MAC_PHASE08_R18_20260727033902,ELIG-0011,3,DL,true,true,true,true,true,true,true,true,true,true,,PASS
MAC_PHASE08_R18_20260727033902,ELIG-0012,4,UL,true,true,true,true,true,true,true,true,true,true,,PASS
MAC_PHASE08_R18_20260727033902,ELIG-0013,5,DL,true,true,true,true,true,true,true,true,false,false,ControlEligible,PASS
MAC_PHASE08_R18_20260727033902,ELIG-0014,6,UL,true,true,true,true,true,true,true,false,true,false,PowerEligible,PASS
MAC_PHASE08_R18_20260727033902,ELIG-0015,7,DL,true,true,true,true,true,true,false,true,true,false,TAEligible,PASS
MAC_PHASE08_R18_20260727033902,ELIG-0016,8,UL,true,true,true,true,true,false,true,true,true,false,TDDEligible,PASS
MAC_PHASE08_R18_20260727033902,ELIG-0017,1,DL,true,true,true,true,false,true,true,true,true,false,HalfDuplexEligible,PASS
MAC_PHASE08_R18_20260727033902,ELIG-0018,2,UL,true,true,true,false,true,true,true,true,true,false,GapEligible,PASS
MAC_PHASE08_R18_20260727033902,ELIG-0019,3,DL,true,true,false,true,true,true,true,true,true,false,DRXEligible,PASS
MAC_PHASE08_R18_20260727033902,ELIG-0020,4,UL,true,false,true,true,true,true,true,true,true,false,BWPEligible,PASS
MAC_PHASE08_R18_20260727033902,ELIG-0021,5,DL,false,true,true,true,true,true,true,true,true,false,RRCEligible,PASS
MAC_PHASE08_R18_20260727033902,ELIG-0022,6,UL,true,true,true,true,true,true,true,true,true,true,,PASS
MAC_PHASE08_R18_20260727033902,ELIG-0023,7,DL,true,true,true,true,true,true,true,true,true,true,,PASS
MAC_PHASE08_R18_20260727033902,ELIG-0024,8,UL,true,true,true,true,true,true,true,true,false,false,ControlEligible,PASS
MAC_PHASE08_R18_20260727033902,ELIG-0025,1,DL,true,true,true,true,true,true,true,false,true,false,PowerEligible,PASS
MAC_PHASE08_R18_20260727033902,ELIG-0026,2,UL,true,true,true,true,true,true,false,true,true,false,TAEligible,PASS
MAC_PHASE08_R18_20260727033902,ELIG-0027,3,DL,true,true,true,true,true,false,true,true,true,false,TDDEligible,PASS
MAC_PHASE08_R18_20260727033902,ELIG-0028,4,UL,true,true,true,true,false,true,true,true,true,false,HalfDuplexEligible,PASS
MAC_PHASE08_R18_20260727033902,ELIG-0029,5,DL,true,true,true,false,true,true,true,true,true,false,GapEligible,PASS
MAC_PHASE08_R18_20260727033902,ELIG-0030,6,UL,true,true,false,true,true,true,true,true,true,false,DRXEligible,PASS
MAC_PHASE08_R18_20260727033902,ELIG-0031,7,DL,true,false,true,true,true,true,true,true,true,false,BWPEligible,PASS
MAC_PHASE08_R18_20260727033902,ELIG-0032,8,UL,false,true,true,true,true,true,true,true,true,false,RRCEligible,PASS
MAC_PHASE08_R18_20260727033902,ELIG-0033,1,DL,true,true,true,true,true,true,true,true,true,true,,PASS
MAC_PHASE08_R18_20260727033902,ELIG-0034,2,UL,true,true,true,true,true,true,true,true,true,true,,PASS
MAC_PHASE08_R18_20260727033902,ELIG-0035,3,DL,true,true,true,true,true,true,true,true,false,false,ControlEligible,PASS
MAC_PHASE08_R18_20260727033902,ELIG-0036,4,UL,true,true,true,true,true,true,true,false,true,false,PowerEligible,PASS
MAC_PHASE08_R18_20260727033902,ELIG-0037,5,DL,true,true,true,true,true,true,false,true,true,false,TAEligible,PASS
MAC_PHASE08_R18_20260727033902,ELIG-0038,6,UL,true,true,true,true,true,false,true,true,true,false,TDDEligible,PASS
MAC_PHASE08_R18_20260727033902,ELIG-0039,7,DL,true,true,true,true,false,true,true,true,true,false,HalfDuplexEligible,PASS
MAC_PHASE08_R18_20260727033902,ELIG-0040,8,UL,true,true,true,false,true,true,true,true,true,false,GapEligible,PASS
