RunID,NodeID,NodeType,ParentNodeID,PacketID,FlowID,UEID,Bytes,Bits,SHA256,CreatedEventID,Disposition,Status
MAC_PHASE08_R18_20260727033902,891e02f1838cdc37a363eff5ec9c8376444c4e25cccac5f199824f6336b52e18,PACKET,,PKT-1,1,1,101,,891e02f1838cdc37a363eff5ec9c8376444c4e25cccac5f199824f6336b52e18,EV-1-1,packet,PASS
MAC_PHASE08_R18_20260727033902,85909606bc083009d912f41d8e55dc5abeab0216fff64be582078158685f223d,SDU,891e02f1838cdc37a363eff5ec9c8376444c4e25cccac5f199824f6336b52e18,PKT-1,1,1,101,,85909606bc083009d912f41d8e55dc5abeab0216fff64be582078158685f223d,EV-1-2,sdu,PASS
MAC_PHASE08_R18_20260727033902,1fdf3ac90e666bc34ae6501d97a393c5144d92de03e0086a11742184ce21a320,SUBPDU,85909606bc083009d912f41d8e55dc5abeab0216fff64be582078158685f223d,PKT-1,1,1,101,,1fdf3ac90e666bc34ae6501d97a393c5144d92de03e0086a11742184ce21a320,EV-1-3,subpdu,PASS
MAC_PHASE08_R18_20260727033902,b8b806b39325880923a14d1196be9252dfc055bd515c8f61681040671e0d3954,TB,1fdf3ac90e666bc34ae6501d97a393c5144d92de03e0086a11742184ce21a320,PKT-1,1,1,101,,b8b806b39325880923a14d1196be9252dfc055bd515c8f61681040671e0d3954,EV-1-4,tb,PASS
MAC_PHASE08_R18_20260727033902,a51662b022d26bc0037949cb4d8968871b1b6f157cf01c2a974304d458bf2d2f,ATTEMPT,b8b806b39325880923a14d1196be9252dfc055bd515c8f61681040671e0d3954,PKT-1,1,1,101,,a51662b022d26bc0037949cb4d8968871b1b6f157cf01c2a974304d458bf2d2f,EV-1-5,attempt,PASS
MAC_PHASE08_R18_20260727033902,4c86191994e7e3ea924a2695ea21e42d44c8d701916883f81a301d1ae054af0d,DELIVERY,a51662b022d26bc0037949cb4d8968871b1b6f157cf01c2a974304d458bf2d2f,PKT-1,1,1,101,,4c86191994e7e3ea924a2695ea21e42d44c8d701916883f81a301d1ae054af0d,EV-1-6,delivery,PASS
MAC_PHASE08_R18_20260727033902,0887544c3072932c97e99d3261fd4fd742acc0ccd6dceea4e5902dfd3d6e527d,PACKET,,PKT-2,2,2,102,,0887544c3072932c97e99d3261fd4fd742acc0ccd6dceea4e5902dfd3d6e527d,EV-2-1,packet,PASS
MAC_PHASE08_R18_20260727033902,504e1b9fe4ba10cb625c9bd73cefafe99505ca5d7175a6ae12879469feeaca4a,SDU,0887544c3072932c97e99d3261fd4fd742acc0ccd6dceea4e5902dfd3d6e527d,PKT-2,2,2,102,,504e1b9fe4ba10cb625c9bd73cefafe99505ca5d7175a6ae12879469feeaca4a,EV-2-2,sdu,PASS
MAC_PHASE08_R18_20260727033902,f966a4606c3e6f3556bfe9628bf1be289bcb3f680044fdee5d2cd5cf0308f43b,SUBPDU,504e1b9fe4ba10cb625c9bd73cefafe99505ca5d7175a6ae12879469feeaca4a,PKT-2,2,2,102,,f966a4606c3e6f3556bfe9628bf1be289bcb3f680044fdee5d2cd5cf0308f43b,EV-2-3,subpdu,PASS
MAC_PHASE08_R18_20260727033902,bd34f3956a0d3e06d0e564327994d3780ecd3212f536419f366820c6cc1f35e5,TB,f966a4606c3e6f3556bfe9628bf1be289bcb3f680044fdee5d2cd5cf0308f43b,PKT-2,2,2,102,,bd34f3956a0d3e06d0e564327994d3780ecd3212f536419f366820c6cc1f35e5,EV-2-4,tb,PASS
MAC_PHASE08_R18_20260727033902,ed2eef4efadaa67ea26c2e53e2408e8ff7dcdcffc03d97faf7952c48a257f3d5,ATTEMPT,bd34f3956a0d3e06d0e564327994d3780ecd3212f536419f366820c6cc1f35e5,PKT-2,2,2,102,,ed2eef4efadaa67ea26c2e53e2408e8ff7dcdcffc03d97faf7952c48a257f3d5,EV-2-5,attempt,PASS
MAC_PHASE08_R18_20260727033902,7fd4e8d0cc7ac4abcde119643fba9d2cc52dd9e37428fa14acfe67187e983186,DELIVERY,ed2eef4efadaa67ea26c2e53e2408e8ff7dcdcffc03d97faf7952c48a257f3d5,PKT-2,2,2,102,,7fd4e8d0cc7ac4abcde119643fba9d2cc52dd9e37428fa14acfe67187e983186,EV-2-6,delivery,PASS
MAC_PHASE08_R18_20260727033902,46eb876100c2f06880316ce3ffe505def1c8e2b3e0722e483b00fc20a84f186d,PACKET,,PKT-3,3,3,103,,46eb876100c2f06880316ce3ffe505def1c8e2b3e0722e483b00fc20a84f186d,EV-3-1,packet,PASS
MAC_PHASE08_R18_20260727033902,e250c99574a84b077e8acb0265f785ec4f040669c1bdaa40e4287c2c45d1f712,SDU,46eb876100c2f06880316ce3ffe505def1c8e2b3e0722e483b00fc20a84f186d,PKT-3,3,3,103,,e250c99574a84b077e8acb0265f785ec4f040669c1bdaa40e4287c2c45d1f712,EV-3-2,sdu,PASS
MAC_PHASE08_R18_20260727033902,ae9fe591ba0963baacf1807b7877ec2c5e390329825ede973297d09789e63125,SUBPDU,e250c99574a84b077e8acb0265f785ec4f040669c1bdaa40e4287c2c45d1f712,PKT-3,3,3,103,,ae9fe591ba0963baacf1807b7877ec2c5e390329825ede973297d09789e63125,EV-3-3,subpdu,PASS
MAC_PHASE08_R18_20260727033902,9781072c1b33bbfba78b4a219b8c514c387edc01d653e66480d56b717299bfb9,TB,ae9fe591ba0963baacf1807b7877ec2c5e390329825ede973297d09789e63125,PKT-3,3,3,103,,9781072c1b33bbfba78b4a219b8c514c387edc01d653e66480d56b717299bfb9,EV-3-4,tb,PASS
MAC_PHASE08_R18_20260727033902,4c5fe376580a0e5f1b268cf6c3a0ef25c5e274119df8d952bbce2b113c51e609,ATTEMPT,9781072c1b33bbfba78b4a219b8c514c387edc01d653e66480d56b717299bfb9,PKT-3,3,3,103,,4c5fe376580a0e5f1b268cf6c3a0ef25c5e274119df8d952bbce2b113c51e609,EV-3-5,attempt,PASS
MAC_PHASE08_R18_20260727033902,d3b758912258c7f0810814cf7f508439b31769327ff2ea31505f34ba2a4c1a57,DELIVERY,4c5fe376580a0e5f1b268cf6c3a0ef25c5e274119df8d952bbce2b113c51e609,PKT-3,3,3,103,,d3b758912258c7f0810814cf7f508439b31769327ff2ea31505f34ba2a4c1a57,EV-3-6,delivery,PASS
MAC_PHASE08_R18_20260727033902,a801240d26ec4038b3448453bfceb120fd5567b3074d2d3cddddaefb812ff182,PACKET,,PKT-4,4,4,104,,a801240d26ec4038b3448453bfceb120fd5567b3074d2d3cddddaefb812ff182,EV-4-1,packet,PASS
