RunID,GrantID,CandidateID,DecodedDCIEventID,UEID,ServingCell,ScheduledCell,Direction,BWPID,PRBSet,SymbolAllocation,MCS,TBSBits,HARQProcess,Codeword,NDIEpoch,RV,Committed,GrantSHA256,Status
MAC_PHASE08_R18_20260727033902,a64960e3479cb3a0896f6cc299d0c24aa0b9c823c76305f9b1cd6dfbd90e0d8c,b5fb6211424bf5903576ab707586c3b957a4ae9b48b145bcb69cbf5c20b69c52,83fc926e06ffcec562680d409828c761a314aaf08e0f5ebe0ac466a9d3e32714,1,0,0,DL,0,0|1|2|3|4|5|6|7|8|9,2|10,5,800,0,0,1,0,true,8dab6d22e2470c5a82967fc83503cf6007e323248fdc4a13abefb2d6e9be23de,PASS
MAC_PHASE08_R18_20260727033902,5dfcaf9c537505af7c3332d9866345c57a96bcf0be25f9245ee48a0c792e52a5,f1c79a2053f4624d14f16724b4758a4b860bc3d5d0513603d075ccdea7c7d651,27187f3e1554abb4bdf0e6bf39cd98c2919d64af99af8986cf974a5dad8d8aab,2,1,1,UL,1,0|1|2|3|4|5|6|7|8|9,2|10,6,800,1,1,1,2,true,ceead501a7f85dfb8f9ad0dd969302142c88368e6c12ed6bec74d578a4dff349,PASS
MAC_PHASE08_R18_20260727033902,457df3e40d0c422b0b09dd2cecec8916e0488a24126d3e9358bdf9ea3e646424,4be4716fc02ca58765428d5f17204ea183b18785448c104cc64971df8c886e67,f4805ebd22b3ebfa1adcc69045ec702565033b44aa90f69cb360a7c6370eb5c4,3,0,0,DL,0,0|1|2|3|4|5|6|7|8|9,2|10,7,800,2,0,1,3,true,91dd29bad7304c70222eb92ce49ae33aa2b878e1c63062b5eadcb98bee2a2b50,PASS
MAC_PHASE08_R18_20260727033902,9cc828a28be80e3ab39adbba2133d7d7596919c59e7996e8190defee1e346714,1f4c5ce7342b0a715bcc573fdfeed6449681bf93bfc21bf7ba0cf0f2021b1a74,092bdb8ec369cfc9989609cd005133186f1bfdb5f59c032a69c101befdd8ff63,4,1,1,UL,1,0|1|2|3|4|5|6|7|8|9,2|10,8,800,3,1,1,1,true,6e091e027fcb1f3cbdd84c04d92d46c3a7107f71bc26d74f6630c755a724eb0f,PASS
MAC_PHASE08_R18_20260727033902,1efb857d1fcc32b93ef54edfe0a777a58c3b5d9037a33c63cacb8ea5a2ea6ff0,f3d14ea180114e3b70e16fed572d51068c6450d69e3bc5f87a86ec974e3cea76,f001784442ffc9ea77ac8163a3db872bb62ed710fc633b690647be3fccfd4df4,5,0,0,DL,0,0|1|2|3|4|5|6|7|8|9,2|10,9,800,4,0,1,0,true,395bbef8743f6fa60a899a3a1b216718a1f7eb2e755aeabb5202bcd897055591,PASS
MAC_PHASE08_R18_20260727033902,011a9884c4a2b002a5f8fab9cb7048fc2d962caa5945ff54b53bc3f6a2eb572e,47dbfaa640ab6fe3efc89a78c10bb1f64be6753fa1ff9d684cbc9bd1e26cbd60,3770e5540524bb477be051e8483daa51d3a911a2617d040f6444dc37200cac7e,6,1,1,UL,1,0|1|2|3|4|5|6|7|8|9,2|10,10,800,5,1,1,2,true,144d73c25b977682afcada1299e72c538245f353573e51f52823a0ca178b35b0,PASS
MAC_PHASE08_R18_20260727033902,8789cddd91ca512aa2e7e50a598b14872fef3fbf2c2ee2118b9e816a02e8900f,dfa41a65482f28e2505f18715c5c4862fd1255f883e396e6bcef7e069153c2e5,7e6200d3c7ad156f2f3f3a3522fb1ff1514c5976a628bd4aad7a9a09c4d4dcff,7,0,0,DL,0,0|1|2|3|4|5|6|7|8|9,2|10,11,800,6,0,1,3,true,3a91d220a323a264d78c48aff287fd5a1de6c98cf628c43bfe5942d749739de8,PASS
MAC_PHASE08_R18_20260727033902,508d6f7a29ef4d6fb46c9be7a311633f92ef56a9a9bd9f32d595003b0489bdc0,e2fda409d08ae8f869c8fd183386666b9f59d8e9ce89c8e7219392de4dcfd0c3,4bc32bd737a4cec09d5ca95fed2b19c39a752cd459674bc98397cc5fe9bd4fa4,8,1,1,UL,1,0|1|2|3|4|5|6|7|8|9,2|10,12,800,7,1,1,1,true,eba3c026f697e2b753cedc8400b4a6541fee1f69a4291131d2926970ffb8d9e9,PASS
MAC_PHASE08_R18_20260727033902,c549aa70086192b830197cb28ad8cbabb7bd1321bbcc7f54e422c840645c4d70,ac9dd032cadc4a2646eeda04c3f81ec77cd3dc5d4551cab99e73b301c8e6e99f,cb61b3b652ec4c92d83ab4b0266e781cbf565e4a1d6596601fd9dcd59f8ea7c0,1,0,0,DL,0,0|1|2|3|4|5|6|7|8|9,2|10,13,800,8,0,1,0,true,c6b6d75692814c3eb77e6941d297b9e125334e3d4bf97c034d197c605b7f0ab6,PASS
MAC_PHASE08_R18_20260727033902,cce03eed2893c1fe098cb949d915f49384b5e73d77ff3ed5111079b5f7eac4f9,41a7069ba9289e9e6486861eef154d6ea744d6044da4d06ba2805c40adaa73f7,47eb99a984f6ac3dd5a16e609538b66da6845f4902fa9c5609ed8bbf2a610534,2,1,1,UL,1,0|1|2|3|4|5|6|7|8|9,2|10,14,800,9,1,1,2,true,59a2a8f6157291f1e80252afca645b2632195853226ad3cde46e84b12fc5236a,PASS
MAC_PHASE08_R18_20260727033902,51823a43d536cc1cbb3e59ce968087ff3634427e410021794eb1ac304249bbb6,0e80f842dd3b873f4d3e73f1ce39b034f97b4db760bd40a0a20dcd5734e49ff7,a3f6387c62dfd24bc9ca55d658ffbc2c93d20b33b0e37705df353df539ce5f82,3,0,0,DL,0,0|1|2|3|4|5|6|7|8|9,2|10,15,800,10,0,1,3,true,048e18382f289414a76713ccd3e5a06f2ece513746f4fb52cb581691214f0132,PASS
MAC_PHASE08_R18_20260727033902,ebde3555e42daf48ef80728f74dcf6b5a5ca1b499df1e06cf6f1994dcccb94ff,6b99fa948e42c0d912aa58dfb4da8f92705c2b1f3ed9ece24ca3c35aa814d3c7,45fdbaa525c9ffb7ed7334c367215a604b036e2e022a142d3f341c4a94d093a3,4,1,1,UL,1,0|1|2|3|4|5|6|7|8|9,2|10,16,800,11,1,1,1,true,270ab1125fa6eb44076c5f2bb62f08b2ee7acbce901d49f1a99d381ee4731b88,PASS
MAC_PHASE08_R18_20260727033902,74a65d8e2f657b23caa82974354b92d2bd753dc694c7763759ce28541cd4f0f9,1409d62e5c8a31de733951b9ccd2b9564af2a1429cc14653945230df78211315,12ad92441622101b75e48188b1400079f949829b847b83e0863c28f8a3e65214,5,0,0,DL,0,0|1|2|3|4|5|6|7|8|9,2|10,17,800,12,0,1,0,true,114ab7a2a5557476cde314db1c21aee7fd340a0bfdf2e2fc94755e502a3f8942,PASS
MAC_PHASE08_R18_20260727033902,3370bba7c2a0437dcbc539a56807b16257465656bcde360941618647551c2e6d,451d3231db16cb7c3ea0f4ba67ec5ae4148496458b138379c763b24b6d48d571,064b170e8962f46e77b5991dae14d67cf3764c62c667da710f134c921ea13d99,6,1,1,UL,1,0|1|2|3|4|5|6|7|8|9,2|10,18,800,13,1,1,2,true,2cc9f7070bf2350cf634f25a19fdff0b61e694226b4be05bf5e3e6c683eee7db,PASS
MAC_PHASE08_R18_20260727033902,5c7976f2f999ea20a3b301b76a5229e44eba287fdedb845b37c0f82cffeae46d,2b758f3620e6a592d43fc82a5781263454abdfe617e927a85d76a9937b6cccfd,c2cf465fc1d006e830ec7e3578a6b3bbcd76f6cac8586275f06454be4c51033b,7,0,0,DL,0,0|1|2|3|4|5|6|7|8|9,2|10,19,800,14,0,1,3,true,9641798885d4f06986a2c3ff0f1bdadfe8249ca4767ee06accc63a45ad5d4850,PASS
