FamilyID,CaseID,CFOError_Hz,TimingError_samples,SCODrift_samples,FalseLock,Status
F01,F01-P01-B,0,0,0,0,PASS
F01,F01-P01-T,3.3328946789874,0.033328946789874,0.0033328946789874,0,PASS
F01,F01-P02-B,0,0,0,0,PASS
F01,F01-P02-T,3.3428106184481,0.033428106184481,0.0033428106184481,0,PASS
F01,F01-P03-B,0,0,0,0,PASS
F01,F01-P03-T,3.34586008984378,0.0334586008984378,0.00334586008984378,0,PASS
F01,F01-P04-B,0,0,0,0,PASS
F01,F01-P04-T,3.36347130709709,0.0336347130709709,0.00336347130709709,0,PASS
F01,F01-P05-B,0,0,0,0,PASS
F01,F01-P05-T,3.3205353534875,0.033205353534875,0.0033205353534875,0,PASS
F01,F01-P06-B,0,0,0,0,PASS
F01,F01-P06-T,3.30110270309364,0.0330110270309364,0.00330110270309364,0,PASS
F02,F02-P01-B,0,0,0,0,PASS
F02,F02-P01-T,4.24164528179883,0.0424164528179883,0.00424164528179883,0,PASS
F02,F02-P02-B,0,0,0,0,PASS
F02,F02-P02-T,4.25426242735646,0.0425426242735646,0.00425426242735646,0,PASS
F02,F02-P03-B,0,0,0,0,PASS
F02,F02-P03-T,4.25814473976298,0.0425814473976298,0.00425814473976298,0,PASS
F02,F02-P04-B,0,0,0,0,PASS
F02,F02-P04-T,4.28055311176393,0.0428055311176393,0.00428055311176393,0,PASS
F02,F02-P05-B,0,0,0,0,PASS
F02,F02-P05-T,4.22592013776546,0.0422592013776546,0.00422592013776546,0,PASS
F02,F02-P06-B,0,0,0,0,PASS
F02,F02-P06-T,4.20118753870218,0.0420118753870218,0.00420118753870218,0,PASS
F03,F03-P01-B,0,0,0,0,PASS
F03,F03-P01-T,5.15023693746877,0.0515023693746877,0.00515023693746877,0,PASS
F03,F03-P02-B,0,0,0,0,PASS
F03,F03-P02-T,5.16555302751074,0.0516555302751074,0.00516555302751074,0,PASS
F03,F03-P03-B,0,0,0,0,PASS
F03,F03-P03-T,5.1702690212923,0.051702690212923,0.0051702690212923,0,PASS
F03,F03-P04-B,0,0,0,0,PASS
F03,F03-P04-T,5.19747029595401,0.0519747029595401,0.00519747029595401,0,PASS
F03,F03-P05-B,0,0,0,0,PASS
F03,F03-P05-T,5.13114950807207,0.0513114950807207,0.00513114950807207,0,PASS
F03,F03-P06-B,0,0,0,0,PASS
F03,F03-P06-T,5.10111686379358,0.0510111686379358,0.00510111686379358,0,PASS
F04,F04-P01-B,0,0,0,0,PASS
F04,F04-P01-T,6.05863560455203,0.0605863560455203,0.00605863560455203,0,PASS
F04,F04-P02-B,0,0,0,0,PASS
F04,F04-P02-T,6.07664789344029,0.0607664789344029,0.00607664789344029,0,PASS
F04,F04-P03-B,0,0,0,0,PASS
F04,F04-P03-T,6.08219858894357,0.0608219858894357,0.00608219858894357,0,PASS
F04,F04-P04-B,0,0,0,0,PASS
F04,F04-P04-T,6.11418760358617,0.0611418760358617,0.00611418760358617,0,PASS
F04,F04-P05-B,0,0,0,0,PASS
F04,F04-P05-T,6.03619017937,0.0603619017937,0.00603619017937,0,PASS
F04,F04-P06-B,0,0,0,0,PASS
F04,F04-P06-T,6.00085737296482,0.0600085737296482,0.00600085737296482,0,PASS
F05,F05-P01-B,0,0,0,0,PASS
F05,F05-P01-T,6.9668072524371,0.069668072524371,0.0069668072524371,0,PASS
F05,F05-P02-B,0,0,0,0,PASS
F05,F05-P02-T,6.98751251085981,0.0698751251085981,0.00698751251085981,0,PASS
F05,F05-P03-B,0,0,0,0,PASS
F05,F05-P03-T,6.99389910835857,0.0699389910835857,0.00699389910835857,0,PASS
F05,F05-P04-B,0,0,0,0,PASS
F05,F05-P04-T,7.03066979003932,0.0703066979003932,0.00703066979003932,0,PASS
F05,F05-P05-B,0,0,0,0,PASS
F05,F05-P05-T,6.94100887704913,0.0694100887704913,0.00694100887704913,0,PASS
F05,F05-P06-B,0,0,0,0,PASS
F05,F05-P06-T,6.90037577142749,0.0690037577142749,0.00690037577142749,0,PASS
F06,F06-P01-B,0,0,0,0,PASS
F06,F06-P01-T,7.87471786325677,0.0787471786325677,0.00787471786325677,0,PASS
F06,F06-P02-B,0,0,0,0,PASS
F06,F06-P02-T,7.89811237864214,0.0789811237864214,0.00789811237864214,0,PASS
F06,F06-P03-B,0,0,0,0,PASS
F06,F06-P03-T,7.90533625827189,0.0790533625827189,0.00790533625827189,0,PASS
F06,F06-P04-B,0,0,0,0,PASS
F06,F06-P04-T,7.94688162417355,0.0794688162417355,0.00794688162417355,0,PASS
F06,F06-P05-B,0,0,0,0,PASS
F06,F06-P05-T,7.84557233876556,0.0784557233876556,0.00784557233876556,0,PASS
F06,F06-P06-B,0,0,0,0,PASS
F06,F06-P06-T,7.79963877687979,0.0779963877687979,0.00779963877687979,0,PASS
F07,F07-P01-B,0,0,0,0,PASS
F07,F07-P01-T,8.78233343379825,0.0878233343379825,0.00878233343379825,0,PASS
F07,F07-P02-B,0,0,0,0,PASS
F07,F07-P02-T,8.80841301079024,0.0880841301079024,0.00880841301079024,0,PASS
F07,F07-P03-B,0,0,0,0,PASS
F07,F07-P03-T,8.81647573247334,0.0881647573247334,0.00881647573247334,0,PASS
F07,F07-P04-B,0,0,0,0,PASS
F07,F07-P04-T,8.86278789035075,0.0886278789035075,0.00886278789035075,0,PASS
F07,F07-P05-B,0,0,0,0,PASS
F07,F07-P05-T,8.74984731628013,0.0874984731628013,0.00874984731628013,0,PASS
F07,F07-P06-B,0,0,0,0,PASS
F07,F07-P06-T,8.69861312137804,0.0869861312137804,0.00869861312137804,0,PASS
F08,F08-P01-B,0,0,0,0,PASS
F08,F08-P01-T,9.68961997741254,0.0968961997741254,0.00968961997741254,0,PASS
F08,F08-P02-B,0,0,0,0,PASS
F08,F08-P02-T,9.71837993840866,0.0971837993840866,0.00971837993840866,0,PASS
F08,F08-P03-B,0,0,0,0,PASS
F08,F08-P03-T,9.72728324176949,0.097272832417695,0.00972728324176949,0,PASS
F08,F08-P04-B,0,0,0,0,PASS
F08,F08-P04-T,9.77835339045432,0.0977835339045432,0.00977835339045432,0,PASS
F08,F08-P05-B,0,0,0,0,PASS
F08,F08-P05-T,9.65380057729618,0.0965380057729618,0.00965380057729618,0,PASS
F08,F08-P06-B,0,0,0,0,PASS
F08,F08-P06-T,9.59726555320756,0.0959726555320756,0.00959726555320756,0,PASS
F09,F09-P01-B,0,0,0,0,PASS
F09,F09-P01-T,9.54856559882285,0.0954856559882285,0.00954856559882285,0,PASS
F09,F09-P02-B,0,0,0,0,PASS
F09,F09-P02-T,9.45878939999375,0.0945878939999375,0.00945878939999375,0,PASS
F09,F09-P03-B,0,0,0,0,PASS
F09,F09-P03-T,9.5661554975684,0.095661554975684,0.0095661554975684,0,PASS
F09,F09-P04-B,0,0,0,0,PASS
F09,F09-P04-T,9.33928702843649,0.0933928702843649,0.00933928702843649,0,PASS
