FamilyID,CaseID,Bits,FullScale,ClippingRatio,SQNR_dB,EVM_pct,BLER,Status
F33,F33-P01-B,14,1,0.000211240327093503,86.04,0.0211240327093502,0.000211240327093503,PASS
F33,F33-P01-T,8,1,0.00274266274392003,49.92,0.274266274392003,0.00274266274392003,PASS
F33,F33-P02-B,14,1,0.000215170010822141,86.04,0.0215170010822141,0.000215170010822141,PASS
F33,F33-P02-T,8,1,0.00585394544875956,49.92,0.585394544875956,0.00585394544875956,PASS
F33,F33-P03-B,14,1,0.000205654556444933,86.04,0.0205654556444933,0.000205654556444933,PASS
F33,F33-P03-T,8,1,0.00838381139964064,49.92,0.838381139964064,0.00838381139964064,PASS
F33,F33-P04-B,14,1,0.000234118545504709,86.04,0.0234118545504709,0.000234118545504709,PASS
F33,F33-P04-T,8,1,0.0133164929253251,49.92,1.33164929253251,0.0133164929253251,PASS
F33,F33-P05-B,14,1,0.000210523626039008,86.04,0.0210523626039008,0.000210523626039008,PASS
F33,F33-P05-T,8,1,0.0182873245429951,49.92,1.82873245429951,0.0182873245429951,PASS
F33,F33-P06-B,14,1,0.000237734383698595,86.04,0.0237734383698595,0.000237734383698595,PASS
F33,F33-P06-T,8,1,0.0134981592934273,49.92,1.34981592934273,0.0134981592934273,PASS
F34,F34-P01-B,14,1,0.000211240327093503,86.04,0.0211240327093502,0.000211240327093503,PASS
F34,F34-P01-T,8,1,0.00313064795559123,49.92,0.313064795559123,0.00313064795559123,PASS
F34,F34-P02-B,14,1,0.000215170010822141,86.04,0.0215170010822141,0.000215170010822141,PASS
F34,F34-P02-T,8,1,0.00604323167644805,49.92,0.604323167644805,0.00604323167644805,PASS
F34,F34-P03-B,14,1,0.000205654556444933,86.04,0.0205654556444933,0.000205654556444933,PASS
F34,F34-P03-T,8,1,0.00850466650937696,49.92,0.850466650937696,0.00850466650937696,PASS
F34,F34-P04-B,14,1,0.000234118545504709,86.04,0.0234118545504709,0.000234118545504709,PASS
F34,F34-P04-T,8,1,0.013411068593756,49.92,1.3411068593756,0.013411068593756,PASS
F34,F34-P05-B,14,1,0.000210523626039008,86.04,0.0210523626039008,0.000210523626039008,PASS
F34,F34-P05-T,8,1,0.0183456969177135,49.92,1.83456969177135,0.0183456969177135,PASS
F34,F34-P06-B,14,1,0.000237734383698595,86.04,0.0237734383698595,0.000237734383698595,PASS
F34,F34-P06-T,8,1,0.0135924672374546,49.92,1.35924672374546,0.0135924672374546,PASS
F35,F35-P01-B,14,1,0.000211240327093503,86.04,0.0211240327093502,0.000211240327093503,PASS
F35,F35-P01-T,8,1,0.0042989199622631,49.92,0.42989199622631,0.0042989199622631,PASS
F35,F35-P02-B,14,1,0.000215170010822141,86.04,0.0215170010822141,0.000215170010822141,PASS
