run_id,chart_name,chart_mode,x_label,y_label,point_index,x_value,y_value,source_table_logical_path,source_row_count,materialization_status,lineage_note
1,symbol decision error histogram,bar,ReferenceSymbolReal,Count,1,-0.9721111047611759,81,analytics/csv/constellation_analytics.csv,5000,derived_chart_dataset,Canonical chart CSV derived from the selected run's persisted source table. The full raw source table remains stored separately.
1,symbol decision error histogram,bar,ReferenceSymbolReal,Count,2,-0.756086414814248,1529,analytics/csv/constellation_analytics.csv,5000,derived_chart_dataset,Canonical chart CSV derived from the selected run's persisted source table. The full raw source table remains stored separately.
1,symbol decision error histogram,bar,ReferenceSymbolReal,Count,3,-0.54006172486732,203,analytics/csv/constellation_analytics.csv,5000,derived_chart_dataset,Canonical chart CSV derived from the selected run's persisted source table. The full raw source table remains stored separately.
1,symbol decision error histogram,bar,ReferenceSymbolReal,Count,4,-0.32403703492039204,464,analytics/csv/constellation_analytics.csv,5000,derived_chart_dataset,Canonical chart CSV derived from the selected run's persisted source table. The full raw source table remains stored separately.
1,symbol decision error histogram,bar,ReferenceSymbolReal,Count,5,-0.10801234497346401,184,analytics/csv/constellation_analytics.csv,5000,derived_chart_dataset,Canonical chart CSV derived from the selected run's persisted source table. The full raw source table remains stored separately.
1,symbol decision error histogram,bar,ReferenceSymbolReal,Count,6,0.10801234497346401,203,analytics/csv/constellation_analytics.csv,5000,derived_chart_dataset,Canonical chart CSV derived from the selected run's persisted source table. The full raw source table remains stored separately.
1,symbol decision error histogram,bar,ReferenceSymbolReal,Count,7,0.3240370349203918,525,analytics/csv/constellation_analytics.csv,5000,derived_chart_dataset,Canonical chart CSV derived from the selected run's persisted source table. The full raw source table remains stored separately.
1,symbol decision error histogram,bar,ReferenceSymbolReal,Count,8,0.5400617248673198,216,analytics/csv/constellation_analytics.csv,5000,derived_chart_dataset,Canonical chart CSV derived from the selected run's persisted source table. The full raw source table remains stored separately.
1,symbol decision error histogram,bar,ReferenceSymbolReal,Count,9,0.7560864148142479,1512,analytics/csv/constellation_analytics.csv,5000,derived_chart_dataset,Canonical chart CSV derived from the selected run's persisted source table. The full raw source table remains stored separately.
1,symbol decision error histogram,bar,ReferenceSymbolReal,Count,10,0.9721111047611759,83,analytics/csv/constellation_analytics.csv,5000,derived_chart_dataset,Canonical chart CSV derived from the selected run's persisted source table. The full raw source table remains stored separately.
