FigureId,TDocFigureNumber,Title,EvidenceClass,CampaignIds,SourceCsv,PNGPath,VectorPath,Mandatory,PublicationEligibility,Notes
TFIG-01,1,Scope and structure of this contribution. Conceptual scope diagram; no performance result.,CONCEPTUAL_DIAGRAM,C01,concept_scope_nodes.csv;concept_scope_edges.csv,figures/tdoc/tdoc_fig_01.png,figures/tdoc/tdoc_fig_01.pdf,YES,YES after audit; quick sanity remains explicitly labelled,Exact caption text from updated TDoc.
TFIG-02,2,Common evaluation workflow for candidate uplink mechanisms. Conceptual evaluation workflow; no performance result.,CONCEPTUAL_DIAGRAM,C01,concept_evaluation_nodes.csv;concept_evaluation_edges.csv,figures/tdoc/tdoc_fig_02.png,figures/tdoc/tdoc_fig_02.pdf,YES,YES after audit; quick sanity remains explicitly labelled,Exact caption text from updated TDoc.
TFIG-03,3,Proposed Scheme-2 procedure with PUSCH-DMRS validation and fallback. Conceptual signaling/procedure diagram; field placement remains subject to the relevant signaling agenda.,CONCEPTUAL_DIAGRAM,C01,scheme2_procedure_nodes.csv;scheme2_procedure_edges.csv,figures/tdoc/tdoc_fig_03.png,figures/tdoc/tdoc_fig_03.pdf,YES,YES after audit; quick sanity remains explicitly labelled,Exact caption text from updated TDoc.
TFIG-04,4,Reduction from the DL channel matrix to a UE-transmit-subspace report. Conceptual dimension-reduction diagram; no performance result.,CONCEPTUAL_DIAGRAM,C01,scheme2_dimension_reduction.csv,figures/tdoc/tdoc_fig_04.png,figures/tdoc/tdoc_fig_04.pdf,YES,YES after audit; quick sanity remains explicitly labelled,Exact caption text from updated TDoc.
TFIG-05,5,Illustrative sensitivity to UE-side reciprocity phase mismatch. Quick sanity model: same 4Tx rank-1 model with independent UE-side per-port phase mismatch; not 3GPP-EVM- or FRC-calibrated.,QUICK_SANITY_MODEL,"C01,C03",scheme2_quick_mismatch.csv,figures/tdoc/tdoc_fig_05.png,figures/tdoc/tdoc_fig_05.pdf,YES,YES after audit; quick sanity remains explicitly labelled,Exact caption text from updated TDoc.
TFIG-06,6,Illustrative Scheme-2 report-age sensitivity. Quick sanity model: simplified temporal-correlation/age model with a classical 4Rx receiver; not 3GPP-EVM- or FRC-calibrated.,QUICK_SANITY_MODEL,"C01,C03",scheme2_quick_age.csv,figures/tdoc/tdoc_fig_06.png,figures/tdoc/tdoc_fig_06.pdf,YES,YES after audit; quick sanity remains explicitly labelled,Exact caption text from updated TDoc.
TFIG-07,7,Wideband anchor with sparse differential frequency-group refinement. Conceptual sparse-refinement architecture; no performance result.,CONCEPTUAL_DIAGRAM,"C01,C05",fsp_sparse_architecture.csv,figures/tdoc/tdoc_fig_07.png,figures/tdoc/tdoc_fig_07.pdf,YES,YES after audit; quick sanity remains explicitly labelled,Exact caption text from updated TDoc.
TFIG-08,8,Frequency-group association before and after hopping/interleaving. Conceptual mapping diagram; no performance result.,CONCEPTUAL_DIAGRAM,"C01,C07",fsp_mapping_example.csv,figures/tdoc/tdoc_fig_08.png,figures/tdoc/tdoc_fig_08.pdf,YES,YES after audit; quick sanity remains explicitly labelled,Exact caption text from updated TDoc.
TFIG-09,9,"Illustrative precoder-indication bits for sparse refinement. Analytical bit count for G=12, a 10-bit anchor and 4-bit differential indices; K is known/configured separately; no performance result.",ANALYTICAL_DERIVATION,"C01,C05",fsp_indication_bits.csv,figures/tdoc/tdoc_fig_09.png,figures/tdoc/tdoc_fig_09.pdf,YES,YES after audit; quick sanity remains explicitly labelled,Exact caption text from updated TDoc.
TFIG-10,10,Candidate codeword-to-layer mapping families and their principal trade-offs. Conceptual mapping comparison; no performance result.,CONCEPTUAL_DIAGRAM,"C01,C08",cw_layer_mapping_layout.csv,figures/tdoc/tdoc_fig_10.png,figures/tdoc/tdoc_fig_10.pdf,YES,YES after audit; quick sanity remains explicitly labelled,Exact caption text from updated TDoc.
TFIG-11,11,UCI mapping alternatives for multi-codeword PUSCH. Conceptual mapping diagram; no format selection is implied.,CONCEPTUAL_DIAGRAM,"C01,C10",uci_multicw_mapping_layout.csv,figures/tdoc/tdoc_fig_11.png,figures/tdoc/tdoc_fig_11.pdf,YES,YES after audit; quick sanity remains explicitly labelled,Exact caption text from updated TDoc.
TFIG-12,12,Generic power-normalization trade-off for DMRS boosting. Analytical fixed-power illustration; not a measured link result.,ANALYTICAL_DERIVATION,"C01,C11",dmrs_fixed_power_tradeoff.csv,figures/tdoc/tdoc_fig_12.png,figures/tdoc/tdoc_fig_12.pdf,YES,YES after audit; quick sanity remains explicitly labelled,Exact caption text from updated TDoc.
TFIG-13,13,Power-headroom reference alternatives for boosted and multi-slot PUSCH. Conceptual power-reference diagram; no RF result is asserted.,CONCEPTUAL_DIAGRAM,"C01,C12",phr_reference_layout.csv,figures/tdoc/tdoc_fig_13.png,figures/tdoc/tdoc_fig_13.pdf,YES,YES after audit; quick sanity remains explicitly labelled,Exact caption text from updated TDoc.
TFIG-14,14,Candidate processing semantics for PUSCH transmission across multiple slots. Conceptual processing-model diagram; no performance result.,CONCEPTUAL_DIAGRAM,"C01,C16",multislot_processing_layout.csv,figures/tdoc/tdoc_fig_14.png,figures/tdoc/tdoc_fig_14.pdf,YES,YES after audit; quick sanity remains explicitly labelled,Exact caption text from updated TDoc.
TFIG-15,15,Code-block-aligned and bit-aligned processing-segment mapping. Conceptual mapping diagram; no BLER or latency result is asserted.,CONCEPTUAL_DIAGRAM,"C01,C17",cb_segment_mapping_layout.csv,figures/tdoc/tdoc_fig_15.png,figures/tdoc/tdoc_fig_15.pdf,YES,YES after audit; quick sanity remains explicitly labelled,Exact caption text from updated TDoc.
TFIG-16,16,Conceptual segment-aware PT-RS phase-tracking relationship. Conceptual illustration only; no measured or 3GPP-conformance-calibrated performance result.,CONCEPTUAL_DIAGRAM,"C01,C18",ptrs_segment_layout.csv,figures/tdoc/tdoc_fig_16.png,figures/tdoc/tdoc_fig_16.pdf,YES,YES after audit; quick sanity remains explicitly labelled,Exact caption text from updated TDoc.
TFIG-17,17,TB-continuous and segment-dependent scrambling relationships. Conceptual scrambling-state diagram; no measured interference or BLER result.,CONCEPTUAL_DIAGRAM,"C01,C19",scrambling_state_layout.csv,figures/tdoc/tdoc_fig_17.png,figures/tdoc/tdoc_fig_17.pdf,YES,YES after audit; quick sanity remains explicitly labelled,Exact caption text from updated TDoc.
TFIG-18,18,Two-family comparison framework for a UCI-dedicated physical channel. Conceptual two-family UCI framework; no format selection is implied.,CONCEPTUAL_DIAGRAM,"C01,C20",uci_two_family_layout.csv,figures/tdoc/tdoc_fig_18.png,figures/tdoc/tdoc_fig_18.pdf,YES,YES after audit; quick sanity remains explicitly labelled,Exact caption text from updated TDoc.
TFIG-19,19,Growth of direct sequence-detection hypotheses with UCI payload. Analytical brute-force hypothesis count; structured detection can have lower complexity.,ANALYTICAL_DERIVATION,"C01,C20",uci_hypothesis_count.csv,figures/tdoc/tdoc_fig_19.png,figures/tdoc/tdoc_fig_19.pdf,YES,YES after audit; quick sanity remains explicitly labelled,Exact caption text from updated TDoc.
TFIG-20,20,Conceptual MRSS uplink resource-sharing comparison. Conceptual illustration only; no overhead or performance value is asserted.,CONCEPTUAL_DIAGRAM,"C01,C22",mrss_resource_layout.csv,figures/tdoc/tdoc_fig_20.png,figures/tdoc/tdoc_fig_20.pdf,YES,YES after audit; quick sanity remains explicitly labelled,Exact caption text from updated TDoc.
TFIG-21,21,Conceptual active-port subset selection and optional bounded position perturbation. Conceptual illustration only; the perturbation bound is not proposed as a numerical value.,CONCEPTUAL_DIAGRAM,"C01,C23",antenna_subset_layout.csv,figures/tdoc/tdoc_fig_21.png,figures/tdoc/tdoc_fig_21.pdf,YES,YES after audit; quick sanity remains explicitly labelled,Exact caption text from updated TDoc.
TFIG-22,22,Network-assisted uplink antenna-set selection. Conceptual procedure; signaling placement remains FFS.,CONCEPTUAL_DIAGRAM,"C01,C24",antenna_selection_procedure.csv,figures/tdoc/tdoc_fig_22.png,figures/tdoc/tdoc_fig_22.pdf,YES,YES after audit; quick sanity remains explicitly labelled,Exact caption text from updated TDoc.
RFIG-01,,"Scheme-2 BLER versus SNR for compact, full-report, Scheme-1, SRS-codebook and ideal-reciprocity baselines",CALIBRATED_LLS,"C02,C03",scheme2_link_results.csv,figures/results/rfig_01.png,figures/results/rfig_01.pdf,YES for applicable campaign; BLOCKED allowed only with explicit dependency,Only when calibration/SLS gate passes,Measured companion result; do not overwrite conceptual TDoc figures.
RFIG-02,,Scheme-2 first-PUSCH BLER versus SNR,CALIBRATED_LLS,"C03,C04",scheme2_first_pusch.csv,figures/results/rfig_02.png,figures/results/rfig_02.pdf,YES for applicable campaign; BLOCKED allowed only with explicit dependency,Only when calibration/SLS gate passes,Measured companion result; do not overwrite conceptual TDoc figures.
RFIG-03,,Scheme-2 net throughput versus report age and speed,CALIBRATED_LLS,C03,scheme2_age_results.csv,figures/results/rfig_03.png,figures/results/rfig_03.pdf,YES for applicable campaign; BLOCKED allowed only with explicit dependency,Only when calibration/SLS gate passes,Measured companion result; do not overwrite conceptual TDoc figures.
RFIG-04,,Scheme-2 fallback probability versus UE calibration mismatch,CALIBRATED_LLS,"C03,C04",scheme2_fallback_results.csv,figures/results/rfig_04.png,figures/results/rfig_04.pdf,YES for applicable campaign; BLOCKED allowed only with explicit dependency,Only when calibration/SLS gate passes,Measured companion result; do not overwrite conceptual TDoc figures.
RFIG-05,,Scheme-2 report bits and SRS resources versus achieved goodput,CALIBRATED_LLS,"C02,C04",scheme2_overhead_results.csv,figures/results/rfig_05.png,figures/results/rfig_05.pdf,YES for applicable campaign; BLOCKED allowed only with explicit dependency,Only when calibration/SLS gate passes,Measured companion result; do not overwrite conceptual TDoc figures.
RFIG-06,,Normalized subspace gain versus report quantization bits,CALIBRATED_LLS,C02,scheme2_quantization_results.csv,figures/results/rfig_06.png,figures/results/rfig_06.pdf,YES for applicable campaign; BLOCKED allowed only with explicit dependency,Only when calibration/SLS gate passes,Measured companion result; do not overwrite conceptual TDoc figures.
RFIG-07,,Scheme-2 performance heat map versus amplitude and phase mismatch,CALIBRATED_LLS,C03,scheme2_mismatch_heatmap.csv,figures/results/rfig_07.png,figures/results/rfig_07.pdf,YES for applicable campaign; BLOCKED allowed only with explicit dependency,Only when calibration/SLS gate passes,Measured companion result; do not overwrite conceptual TDoc figures.
RFIG-08,,Scheme-2 performance heat map versus report age and mobility,CALIBRATED_LLS,C03,scheme2_age_speed_heatmap.csv,figures/results/rfig_08.png,figures/results/rfig_08.pdf,YES for applicable campaign; BLOCKED allowed only with explicit dependency,Only when calibration/SLS gate passes,Measured companion result; do not overwrite conceptual TDoc figures.
RFIG-09,,"FSP BLER versus SNR for wideband, full and sparse refinement",CALIBRATED_LLS,"C05,C06",fsp_link_results.csv,figures/results/rfig_09.png,figures/results/rfig_09.pdf,YES for applicable campaign; BLOCKED allowed only with explicit dependency,Only when calibration/SLS gate passes,Measured companion result; do not overwrite conceptual TDoc figures.
RFIG-10,,FSP raw and net throughput versus number of refined groups K,CALIBRATED_LLS,"C05,C06",fsp_k_results.csv,figures/results/rfig_10.png,figures/results/rfig_10.pdf,YES for applicable campaign; BLOCKED allowed only with explicit dependency,Only when calibration/SLS gate passes,Measured companion result; do not overwrite conceptual TDoc figures.
