ProposalNumber,ProposalText,CampaignIds,RequiredEvidence,CoverageRequirement,StatusBeforeRun
1,"For DL/UL-reciprocity-based PUSCH Scheme 2, study a UE report containing at least a candidate UL rank, a UE-transmit-subspace or receive-covariance indication derived from CSI-RS, corresponding strength information, and optional validity/uncertainty information. Compare the compact report with full effective-channel-report and SRS-based baselines in performance, report/SRS overhead, report age, calibration sensitivity and SU/MU applicability.","C02,C03",CALIBRATED_LLS,At least one terminal campaign result and proposal-specific summary row,PLANNED
2,"For Scheme-2 evaluation, compare the compact transmit-subspace/receive-covariance report against a full effective-channel report, Scheme 1 with precoded SRS, SRS-based codebook PUSCH and an ideal-reciprocity upper bound using common channel drops. Report feedback bits, CSI-RS/SRS overhead, report age, calibration-error assumptions, first-transmission BLER, net throughput and fallback rate.","C02,C03",CALIBRATED_LLS,At least one terminal campaign result and proposal-specific summary row,PLANNED
3,"For Scheme-2 UL link adaptation, study a conservative first-PUSCH MCS based on the DL-derived report, followed by PUSCH-DMRS-based quality validation and an interoperable procedure to continue Scheme 2, request a richer report, trigger SRS, or fall back to codebook/open-loop transmission when the prediction is not sufficiently reliable.",C04,CALIBRATED_LLS,At least one terminal campaign result and proposal-specific summary row,PLANNED
4,"For closed-loop frequency-selective PUSCH precoding, study a wideband anchor with differential refinement for at most K selected frequency groups, where non-selected groups inherit the anchor. Evaluate it as a two-stage or hybrid UL-precoder-indication method using wideband precoding as the baseline.","C05,C06",CALIBRATED_LLS,At least one terminal campaign result and proposal-specific summary row,PLANNED
5,"For FSP operation with frequency hopping or frequency-domain interleaving, study whether the features are mutually exclusive or whether refined groups are associated with physical RB groups after the applied mapping. Compare FSP, hopping and interleaving as alternative frequency-diversity mechanisms using matched resources, delay spreads, allocation sizes and SRS ages.",C07,CALIBRATED_LLS,At least one terminal campaign result and proposal-specific summary row,PLANNED
6,"For FSP, study a two-timescale precoder indication in which the wideband anchor is updated semi-persistently and bounded refinements are indicated with the PUSCH scheduling information. Define when refinements become invalid following an anchor, allocation, group-partition or mapping change, and report port- and frequency-domain power splitting, per-branch PAPR/CM, MPR and net throughput.","C05,C06,C07",CALIBRATED_LLS,At least one terminal campaign result and proposal-specific summary row,PLANNED
7,"For the first-stage codeword-to-layer comparison, use the NR-like mapping as baseline and compare one-codeword and two-codeword alternatives under equal layer power, the same modulation order within a codeword, common precoding and rank selection, and the same total PUSCH power and MPR assumptions.",C08,CALIBRATED_LLS,At least one terminal campaign result and proposal-specific summary row,PLANNED
8,"Evaluate optional support of both one- and two-codeword PUSCH mappings as a function of rank, TB size and layer-quality imbalance, including HARQ and DCI overhead, retransmission cost, receiver and decoder complexity, and processing delay; the rank threshold and layer partition remain FFS pending results.",C08,CALIBRATED_LLS,At least one terminal campaign result and proposal-specific summary row,PLANNED
9,"Include a one-codeword, layer-imbalance-aware MCS and code-rate candidate in the codeword-to-layer mapping study. Compare it against NR-like, one-codeword-all-layer and two-codeword mappings using the same rank, precoder, total power, target BLER and receiver assumptions.",C09,CALIBRATED_LLS,At least one terminal campaign result and proposal-specific summary row,PLANNED
10,"For UCI multiplexing on multi-codeword PUSCH, study designated-codeword, reliability-selected-codeword and split-UCI alternatives. Define the beta-offset reference, UCI RE mapping, retransmission behavior and required indication, and evaluate UCI reliability and data-goodput impact under the agreed UCI and PUSCH metrics.",C10,CALIBRATED_LLS,At least one terminal campaign result and proposal-specific summary row,PLANNED
11,"For PUSCH-DMRS power-boosting evaluation, maintain the same total PUSCH transmit energy between compared schemes unless an available power-headroom assumption is explicitly reported. Report data and DMRS EPRE, DMRS/muted/data RE counts, CDM groups, per-port normalization, PAPR/CM, PSD, MPR, MU-MIMO assumptions, channel-estimation MSE, BLER and net throughput.",C11,CALIBRATED_LLS,At least one terminal campaign result and proposal-specific summary row,PLANNED
12,"For boosted or multi-slot PUSCH, study per-segment, first-segment-plus-trigger and worst-case-allocation power-headroom references and report the limiting symbol and port, clipping probability, power-headroom error and overhead.","C12,C19",CALIBRATED_LLS,At least one terminal campaign result and proposal-specific summary row,PLANNED
13,"Study common PDSCH/PUSCH and CP-OFDM/DFT-s-OFDM DMRS parameterization where beneficial, while allowing waveform- or link-direction-specific RE mappings when required by port count, PAPR, channel estimation or multiplexing.","C11,C13,C21",CALIBRATED_LLS + ANALYTICAL_DERIVATION,At least one terminal campaign result and proposal-specific summary row,PLANNED
14,"For PUSCH-DMRS sequence study, compare applicable NR low-PAPR, Zadoff-Chu and computer-generated sequence families using sequence availability, PAPR/CM, auto/cross-correlation under timing/frequency offsets, MU-MIMO/channel-estimation performance, and specification representation and generation complexity.",C13,CALIBRATED_LLS + ANALYTICAL_DERIVATION,At least one terminal campaign result and proposal-specific summary row,PLANNED
15,"For receiver-assisted DMRS-overhead-reduction evaluation, require both (i) a realistic non-AI receiver using the identical reduced-overhead DMRS pattern and (ii) a nominal-density non-AI baseline, in addition to the RAN1#125 model-input/output/label, complexity and generalization reports.",C14,CALIBRATED_LLS (BLOCKED unless real receiver model exists),At least one terminal campaign result and proposal-specific summary row,PLANNED
16,"For maximum orthogonal PUSCH-DMRS port down-selection, provide SLS evidence including port utilization, rank and UE distribution, DMRS overhead, collision/multiplexing assumptions, mean and cell-edge throughput, and aNB receiver/channel-estimation complexity.",C15,MULTICELL_SLS,At least one terminal campaign result and proposal-specific summary row,PLANNED
17,"For PUSCH transmission across more than one slot, compare independent-occasion processing, one end-to-end multi-slot processing unit, and segmented single-TB processing, reporting DMRS/channel-estimation continuity, rate matching, receiver checkpoints, buffer requirement and HARQ-decision timing. Capability and numerical timeline values remain under agenda item 10.5.4.3.",C16,CALIBRATED_LLS,At least one terminal campaign result and proposal-specific summary row,PLANNED
18,"For segmented single-TB PUSCH, compare CB-aligned and bit-aligned code-block-to-segment mappings. Report rate-matching rules, residual-segment handling, earliest decoder start, peak coded-bit/LLR buffer, BLER, early-termination behavior and final HARQ-decision time for 2-, 4- and 8-slot durations.",C17,CALIBRATED_LLS,At least one terminal campaign result and proposal-specific summary row,PLANNED
19,"For multi-slot PUSCH, study segment-aware PT-RS in which each processing segment has an absolute phase anchor and subsequent PT-RS tracking occasions, with cross-slot or cross-segment continuation only when phase continuity is valid. Compare against no-PT-RS and slot-local PT-RS at matched total reference-signal overhead.",C18,CALIBRATED_LLS,At least one terminal campaign result and proposal-specific summary row,PLANNED
20,"For multi-slot PUSCH, study rate matching and TBS determination using a deterministic usable-resource set. Compare allocated-RE puncturing, usable-RE TBS and a bounded processing-unit rule, reporting effective code rate, BLER/goodput, buffer, processing time and interaction with TDD gaps, SRS, MRSS protection and reference signals.",C19,CALIBRATED_LLS,At least one terminal campaign result and proposal-specific summary row,PLANNED
