TrialID,DecodedDCIEventID,Format,RNTI,CRCResult,BWPID,PRBStart,PRBCount,StartSymbol,NumSymbols,MCS,RV,HARQProcess,AssignmentSHA256,ConfiguredGrantUsed,Status
SIB1-DCI-001,RA-SI-DCI-3724d707a3d1f41e694d4827ac3c297722303110c17ffa6500b561efa742129c-1,1_0,65535,1,0,0,12,2,12,0,0,0,b1e7e9b9cad3fac9b99a617e670785dad023425e5fbf1d24dc1971a5457bd1e8,0,PASS
SIB1-DCI-002,RA-SI-DCI-3724d707a3d1f41e694d4827ac3c297722303110c17ffa6500b561efa742129c-2,1_0,65535,1,0,1,13,2,12,1,1,0,108fbf0d18f9f65161e5c40086b796ef08b8e02f930cc086a41c458b2b6119a8,0,PASS
SIB1-DCI-003,RA-SI-DCI-3724d707a3d1f41e694d4827ac3c297722303110c17ffa6500b561efa742129c-3,1_0,65535,1,0,2,14,2,12,2,2,0,e608992a1facc91b8e5d87f46822ba5d770c2d46f9727dc70fbc546fc739ccce,0,PASS
SIB1-DCI-004,RA-SI-DCI-3724d707a3d1f41e694d4827ac3c297722303110c17ffa6500b561efa742129c-4,1_0,65535,1,0,3,15,2,12,3,3,0,5d2f92512e255863e8e68c01d7a8ac4994346381444a5fee07e75ed036ef29d2,0,PASS
SIB1-DCI-005,RA-SI-DCI-3724d707a3d1f41e694d4827ac3c297722303110c17ffa6500b561efa742129c-5,1_0,65535,1,0,4,16,2,12,4,0,0,38e13bbbd5c6f17f71062d3ff3b5b208aeca41c29cf93ea38f4b4689df1b0da2,0,PASS
SIB1-DCI-006,RA-SI-DCI-3724d707a3d1f41e694d4827ac3c297722303110c17ffa6500b561efa742129c-6,1_0,65535,1,0,5,17,2,12,5,1,0,7674d86a5223b38c724247ddbb13dc8fc2d9e7fb56ce65d8ec6d9f677b2490dd,0,PASS
SIB1-DCI-007,RA-SI-DCI-3724d707a3d1f41e694d4827ac3c297722303110c17ffa6500b561efa742129c-7,1_0,65535,1,0,6,18,2,12,6,2,0,4182058aebb160a6c08ce5f64ef1a6fa18cf07dabd06edd934446372275a4e6a,0,PASS
SIB1-DCI-008,RA-SI-DCI-3724d707a3d1f41e694d4827ac3c297722303110c17ffa6500b561efa742129c-8,1_0,65535,1,0,7,19,2,12,7,3,0,3e9dbd0c3b8cbb8b24198c8433a77781b3ee24626754a9ac63ddeac5b7441917,0,PASS
SIB1-DCI-009,RA-SI-DCI-3724d707a3d1f41e694d4827ac3c297722303110c17ffa6500b561efa742129c-9,1_0,65535,1,0,8,20,2,12,8,0,0,23e69a8b1f4fe959f1a6b8b59eb6fe1c766c6aae799c240297f3b982ba01c1aa,0,PASS
SIB1-DCI-010,RA-SI-DCI-3724d707a3d1f41e694d4827ac3c297722303110c17ffa6500b561efa742129c-10,1_0,65535,1,0,9,21,2,12,9,1,0,ffbb834f2ecbb784ee9f6bf9e804ed59ef8dd7b3fbe5b14387cab5830e76df2c,0,PASS
SIB1-DCI-011,RA-SI-DCI-3724d707a3d1f41e694d4827ac3c297722303110c17ffa6500b561efa742129c-11,1_0,65535,1,0,10,22,2,12,0,2,0,7418a470047e43e25cd1ef105c551ac22e9d5115ca2571efce7a33c10ff80b51,0,PASS
SIB1-DCI-012,RA-SI-DCI-3724d707a3d1f41e694d4827ac3c297722303110c17ffa6500b561efa742129c-12,1_0,65535,1,0,11,23,2,12,1,3,0,9be0897e5c6342adc04fd873d6158f99223bcbc0e0983419e1a90e9e256465fb,0,PASS
SIB1-DCI-013,RA-SI-DCI-3724d707a3d1f41e694d4827ac3c297722303110c17ffa6500b561efa742129c-13,1_0,65535,1,0,12,24,2,12,2,0,0,58e8eec6312cdc13819ff01c173243e109fa4081af4b01f9d60c0ff59c57fa73,0,PASS
