"field","value","notes"
"branch","fix/phase5-connected-pucch-harq-data","created for Phase 5 connected-mode baseline work"
"parent_commit","6efc0155d4c0ea250e1c14eb6e0cc5b86146366f","branch start commit"
"phase1_commit","fa551bb","best-known commit from local git log: Add Phase 1 runtime evidence infrastructure"
"phase2_commit","76919b9","best-known local branch tip: fix/phase2-true-ssb-pbch-mib"
"phase3_commit","13a371c","best-known local branch tip: fix/phase3-true-coreset0-pdcch-sib1"
"phase4_commit","6efc0155d4c0ea250e1c14eb6e0cc5b86146366f","current Phase 4 branch tip"
"matlab_release","24.1.0.3050227 (R2024a) Update 8","queried with matlab -batch version"
"toolbox_versions","MATLAB 24.1; 5G Toolbox 24.1; 6G Exploration Library for 5G Toolbox 24.1.0; MATLAB Coder 24.1; MATLAB Test 24.1","queried before Phase 5 edits"
"asn1_source_hash","pending_rrcsetupcomplete_asn1_source","repository currently has SIB1 ASN.1 helpers only for this scope"
"generated_code_hash","pending_phase5_generated_code","no Phase 5 generated ASN.1 code is committed in this scaffold"
"scenario_hash","9ACBC34029931949C2D0E14C369F0431C7644003DC665D4F69667170008AF27D","SHA256 of simulator/configs/scenarios/lls_mobile_2ue_100kmh_1sector_full_capture.yaml"
"resolved_config_hash","pending_phase5_resolved_run","requires a fresh Phase 5 runtime result directory"
"source_tree_hash","621e0b8c966c4a33bb02af26f79543567f9cfae4","git ls-tree -r HEAD --full-tree | git hash-object --stdin before edits"
"runner_command","matlab -batch ""setup6GRSimToolkit('Verbose',false); testAll""","required repository regression command"
"git_status_before_modification","clean","git status --short --branch showed only the branch header"
"dirty_diff_before_modification","empty","git diff --stat had no output"
