run_id,block_name,required_flag,policy_state,status,observed_rows,source_artifact,placeholder_rows,fallback_rows
1,pdcch,1,required,generated,246,air_interface/csv/pdcch_trials.csv,0,0
1,ssb_pbch,1,required,generated,50,air_interface/csv/pbch_trials.csv,0,0
1,prach,1,required,generated,50,air_interface/csv/prach_trials.csv,0,0
1,pdsch,1,required,generated,150,air_interface/csv/dl_pdsch_trials.csv,0,0
1,pusch,1,required,generated,96,air_interface/csv/ul_pusch_trials.csv,0,0
1,pucch,1,required,missing,0,air_interface/csv/pucch_trials.csv,0,0
1,srs,1,required,generated,37,air_interface/csv/srs_trials.csv,0,0
1,trs,1,required,generated,15,air_interface/csv/trs_trials.csv,0,0
1,beamforming,1,required,generated,246,beamforming/csv/probe_beam_mimo.csv,0,0
1,energy,1,required,generated,16,rf/csv/probe_rf_energy.csv,0,0
1,ai_enabled,0,policy_disabled,policy_disabled,0,feature_policy,0,0
1,cell_free_enabled,0,policy_disabled,policy_disabled,0,feature_policy,0,0
1,localization_enabled,0,policy_disabled,policy_disabled,0,feature_policy,0,0
1,ntn_enabled,0,policy_disabled,policy_disabled,0,feature_policy,0,0
1,ris_enabled,0,policy_disabled,policy_disabled,0,feature_policy,0,0
1,sensing_enabled,0,policy_disabled,policy_disabled,0,feature_policy,0,0
1,sub_thz_enabled,0,policy_disabled,policy_disabled,0,feature_policy,0,0
