Step,UEIndex,RNTI,ServingCell,Frame,Slot,Time_s,Direction,StageName,EventName,LifecycleState,StageStatus,SourceArtifact,SourceRow,ValueSource,ValueRole,ValueStatus,ValueDefinition,SlotDuration_s,ProcedureStartSlot,ProcedureEndSlot,ProcedureDelay_ms,AccessDelay_ms,CompleteFlag,PlaceholderFlag,FallbackFlag,UnavailableReason,Notes
1,1,1,5,1,1,0,DL,PBCH,SSB_DETECTED,SSB_DETECTED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_cell_search_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,SSB detection observed in the coupled PBCH/cell-search runtime gate.
2,1,1,5,1,1,0,DL,PBCH,PBCH_DECODED,PBCH_DECODED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_decode_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,PBCH decode observed in the coupled PBCH/cell-search runtime gate.
3,2,2,3,1,1,0,DL,PBCH,SSB_DETECTED,SSB_DETECTED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_cell_search_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,SSB detection observed in the coupled PBCH/cell-search runtime gate.
4,2,2,3,1,1,0,DL,PBCH,PBCH_DECODED,PBCH_DECODED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_decode_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,PBCH decode observed in the coupled PBCH/cell-search runtime gate.
5,3,3,1,1,1,0,DL,PBCH,SSB_DETECTED,SSB_DETECTED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_cell_search_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,SSB detection observed in the coupled PBCH/cell-search runtime gate.
6,3,3,1,1,1,0,DL,PBCH,PBCH_DECODED,PBCH_DECODED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_decode_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,PBCH decode observed in the coupled PBCH/cell-search runtime gate.
7,4,4,2,1,1,0,DL,PBCH,SSB_DETECTED,SSB_DETECTED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_cell_search_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,SSB detection observed in the coupled PBCH/cell-search runtime gate.
8,4,4,2,1,1,0,DL,PBCH,PBCH_DECODED,PBCH_DECODED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_decode_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,PBCH decode observed in the coupled PBCH/cell-search runtime gate.
9,5,5,5,1,1,0,DL,PBCH,SSB_DETECTED,SSB_DETECTED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_cell_search_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,SSB detection observed in the coupled PBCH/cell-search runtime gate.
10,5,5,5,1,1,0,DL,PBCH,PBCH_DECODED,PBCH_DECODED,PASS,control/csv/pbch_trials.csv,not_applicable,slot_coupled_pbch_decode_observation,measured_runtime_procedure_event,available_runtime_observation,initial-access event timestamp recorded from the slot-coupled runtime evidence path,0.0005,not_applicable,not_applicable,not_applicable,not_applicable,0,0,0,none,PBCH decode observed in the coupled PBCH/cell-search runtime gate.
