ScenarioID,ConfigHash,RunTag,RunnerProfile,Category,ParameterName,ConfiguredValue,ResolvedRuntimeValue,ResolvedMATLABPath,RuntimeConsumer,BrowserExposed,YAMLExposed,RuntimeDerived,HiddenFallbackRemoved,OwnershipClass,SourceOfTruth,CanonicalArtifact,Definition
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","waveform_bundle","topology","deployment_topology.layout_type","hexagonal_macro","hex_grid","@deployment_layout_type","buildInternalConfig.localApplyDeploymentTopology -> cfg.scenario.geometry.deployment",1,1,0,1,"browser_exposed","browser_or_yaml_deployment_topology.layout_type","reports/csv/deployment_layout_reference.csv","Layout type is resolved into runtime deployment geometry before the coupled-truth runner instantiates sites."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","waveform_bundle","topology","deployment_topology.inter_site_distance","600","600","scenario.layout.interSiteDistance_m","buildInternalConfig.localApplyDeploymentTopology -> cfg.scenario.layout.interSiteDistance_m",1,1,0,1,"browser_exposed","browser_or_yaml_deployment_topology.inter_site_distance","reports/csv/deployment_layout_reference.csv","Inter-site distance drives runtime geometry and the deployment layout reference artifact."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","waveform_bundle","topology","deployment_topology.num_sites","5","5","scenario.layout.nSites","buildInternalConfig.localApplyDeploymentTopology -> cfg.scenario.layout.nSites",1,1,0,1,"browser_exposed","browser_or_yaml_deployment_topology.num_sites","reports/csv/deployment_layout_reference.csv","Requested site count is resolved into the active runtime layout."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","waveform_bundle","topology","deployment_topology.num_cells","5","5","@deployment_num_cells","buildInternalConfig.localApplyDeploymentTopology -> runtime cell layout sizing",1,1,0,1,"browser_exposed","browser_or_yaml_deployment_topology.num_cells","reports/csv/deployment_layout_reference.csv","Requested cell count controls runtime layout sizing and deployment exports."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","waveform_bundle","topology","deployment_topology.num_ues","50","50","scenario.ue.nUE","buildInternalConfig -> cfg.scenario.ue.nUE",1,1,0,1,"browser_exposed","browser_or_yaml_users.n_users_or_deployment_topology.num_ues","reports/csv/deployment_layout_reference.csv","Requested UE count becomes the active runtime UE population."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","waveform_bundle","topology","deployment_topology.num_trps","5","5","@deployment_num_trps","buildInternalConfig -> runtime TRP count / beam-management topology",1,1,0,1,"browser_exposed","browser_or_yaml_deployment_topology.num_trps","reports/csv/deployment_layout_reference.csv","Requested TRP count remains visible in deployment reference and grant/runtime behavior."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","waveform_bundle","radio_timing","frequency.center_frequency_hz","4000000000","4000000000","channel.fc_Hz","buildInternalConfig -> cfg.channel.fc_Hz",0,1,0,1,"yaml_only","yaml_frequency.center_frequency_hz","reports/csv/config_roundtrip_verification.csv","Carrier center frequency is YAML-owned and drives Doppler, pathloss, and waveform interpretation."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","waveform_bundle","radio_timing","frequency.bandwidth_hz","100000000","100000000","channel.bandwidth_Hz","buildInternalConfig -> cfg.channel.bandwidth_Hz",0,1,0,1,"yaml_only","yaml_frequency.bandwidth_hz","reports/csv/config_roundtrip_verification.csv","Channel bandwidth is YAML-owned and resolves into the runtime carrier bandwidth."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","waveform_bundle","radio_timing","frequency.n_size_grid","273","273","phy.numerology.configuredGridNumRBs","buildInternalConfig -> cfg.phy.numerology.configuredGridNumRBs",0,1,0,1,"yaml_only","yaml_frequency.n_size_grid","reports/csv/runtime_operating_mode.csv","Configured NRB count is YAML-owned and exported into runtime numerology artifacts."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","webgui_rel20_4ghz_100mhz_5gnb_50ue_10slot_20260417_170900","waveform_bundle","radio_timing","frame.scs_khz","30","30","phy.carrier.SubcarrierSpacing_kHz","buildInternalConfig -> cfg.phy.carrier.SubcarrierSpacing_kHz",0,1,0,1,"yaml_only","yaml_frame.scs_khz","reports/csv/runtime_operating_mode.csv","Subcarrier spacing is YAML-owned and drives the active numerology chain."
