ScenarioID,ConfigHash,RunnerProfile,Category,ParameterName,BrowserExposed,YAMLExposed,RuntimeDerived,HiddenFallbackRemoved,OwnershipClass,SourceOfTruth,CanonicalArtifact,RuntimeConsumer,Definition
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","waveform_bundle","topology","deployment_topology.layout_type",1,1,0,1,"browser_exposed","browser_or_yaml_deployment_topology.layout_type","reports/csv/deployment_layout_reference.csv","buildInternalConfig.localApplyDeploymentTopology -> cfg.scenario.geometry.deployment","Layout type is resolved into runtime deployment geometry before the coupled-truth runner instantiates sites."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","waveform_bundle","topology","deployment_topology.inter_site_distance",1,1,0,1,"browser_exposed","browser_or_yaml_deployment_topology.inter_site_distance","reports/csv/deployment_layout_reference.csv","buildInternalConfig.localApplyDeploymentTopology -> cfg.scenario.layout.interSiteDistance_m","Inter-site distance drives runtime geometry and the deployment layout reference artifact."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","waveform_bundle","topology","deployment_topology.num_sites",1,1,0,1,"browser_exposed","browser_or_yaml_deployment_topology.num_sites","reports/csv/deployment_layout_reference.csv","buildInternalConfig.localApplyDeploymentTopology -> cfg.scenario.layout.nSites","Requested site count is resolved into the active runtime layout."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","waveform_bundle","topology","deployment_topology.num_cells",1,1,0,1,"browser_exposed","browser_or_yaml_deployment_topology.num_cells","reports/csv/deployment_layout_reference.csv","buildInternalConfig.localApplyDeploymentTopology -> runtime cell layout sizing","Requested cell count controls runtime layout sizing and deployment exports."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","waveform_bundle","topology","deployment_topology.num_ues",1,1,0,1,"browser_exposed","browser_or_yaml_users.n_users_or_deployment_topology.num_ues","reports/csv/deployment_layout_reference.csv","buildInternalConfig -> cfg.scenario.ue.nUE","Requested UE count becomes the active runtime UE population."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","waveform_bundle","topology","deployment_topology.num_trps",1,1,0,1,"browser_exposed","browser_or_yaml_deployment_topology.num_trps","reports/csv/deployment_layout_reference.csv","buildInternalConfig -> runtime TRP count / beam-management topology","Requested TRP count remains visible in deployment reference and grant/runtime behavior."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","waveform_bundle","radio_timing","frequency.center_frequency_hz",0,1,0,1,"yaml_only","yaml_frequency.center_frequency_hz","reports/csv/config_roundtrip_verification.csv","buildInternalConfig -> cfg.channel.fc_Hz","Carrier center frequency is YAML-owned and drives Doppler, pathloss, and waveform interpretation."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","waveform_bundle","radio_timing","frequency.bandwidth_hz",0,1,0,1,"yaml_only","yaml_frequency.bandwidth_hz","reports/csv/config_roundtrip_verification.csv","buildInternalConfig -> cfg.channel.bandwidth_Hz","Channel bandwidth is YAML-owned and resolves into the runtime carrier bandwidth."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","waveform_bundle","radio_timing","frequency.n_size_grid",0,1,0,1,"yaml_only","yaml_frequency.n_size_grid","reports/csv/runtime_operating_mode.csv","buildInternalConfig -> cfg.phy.numerology.configuredGridNumRBs","Configured NRB count is YAML-owned and exported into runtime numerology artifacts."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","waveform_bundle","radio_timing","frame.scs_khz",0,1,0,1,"yaml_only","yaml_frame.scs_khz","reports/csv/runtime_operating_mode.csv","buildInternalConfig -> cfg.phy.carrier.SubcarrierSpacing_kHz","Subcarrier spacing is YAML-owned and drives the active numerology chain."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","waveform_bundle","radio_timing","frequency.duplex_mode",0,1,0,1,"yaml_only","yaml_frequency.duplex_mode","reports/csv/config_roundtrip_verification.csv","buildInternalConfig -> cfg.phy.duplex.mode","Duplex mode is YAML-owned and resolves into runtime duplex semantics."
"lls_3gpp_rel20_anchor_4ghz_100mhz_waveform_honest_5gnb_50ue_10slot","a1a414876cde1a5883e2a2ab610e6603ef434ebb5b0a934bfcb8df1260a73d7c","waveform_bundle","radio_timing","frame.cp_type",0,1,0,1,"yaml_only","yaml_frame.cp_type","reports/csv/config_roundtrip_verification.csv","buildInternalConfig -> cfg.phy.carrier.CyclicPrefix","Cyclic-prefix selection is YAML-owned and reaches the runtime carrier object."
