run_id,direction,ue_id,frame,slot,source_artifact,decoder_iterations,crc_pass,codeblock_bler,cbg_bler
1,DL,3,7,7,air_interface/csv/dl_pdsch_trials.csv,2,1,1,1
1,DL,5,7,7,air_interface/csv/dl_pdsch_trials.csv,2,1,1,1
1,DL,7,7,7,air_interface/csv/dl_pdsch_trials.csv,2,1,1,1
1,DL,9,7,7,air_interface/csv/dl_pdsch_trials.csv,2,1,1,1
1,DL,14,7,7,air_interface/csv/dl_pdsch_trials.csv,3,1,1,1
1,DL,19,7,7,air_interface/csv/dl_pdsch_trials.csv,2,1,1,1
1,DL,26,7,7,air_interface/csv/dl_pdsch_trials.csv,2,1,1,1
1,DL,27,7,7,air_interface/csv/dl_pdsch_trials.csv,2,1,1,1
1,DL,43,7,7,air_interface/csv/dl_pdsch_trials.csv,2,1,1,1
1,DL,47,7,7,air_interface/csv/dl_pdsch_trials.csv,2,1,1,1
1,DL,4,7,7,air_interface/csv/dl_pdsch_trials.csv,2,1,1,1
1,DL,6,7,7,air_interface/csv/dl_pdsch_trials.csv,2,1,1,1
1,DL,10,7,7,air_interface/csv/dl_pdsch_trials.csv,2,1,1,1
1,DL,29,7,7,air_interface/csv/dl_pdsch_trials.csv,2,1,1,1
1,DL,35,7,7,air_interface/csv/dl_pdsch_trials.csv,2,1,1,1
1,DL,41,7,7,air_interface/csv/dl_pdsch_trials.csv,2,1,1,1
1,DL,45,7,7,air_interface/csv/dl_pdsch_trials.csv,1,1,1,1
1,DL,50,7,7,air_interface/csv/dl_pdsch_trials.csv,2,1,1,1
1,DL,2,7,7,air_interface/csv/dl_pdsch_trials.csv,1,1,1,1
1,DL,12,7,7,air_interface/csv/dl_pdsch_trials.csv,2,1,1,1
1,DL,13,7,7,air_interface/csv/dl_pdsch_trials.csv,2,1,1,1
1,DL,15,7,7,air_interface/csv/dl_pdsch_trials.csv,2,1,1,1
1,DL,16,7,7,air_interface/csv/dl_pdsch_trials.csv,2,1,1,1
1,DL,18,7,7,air_interface/csv/dl_pdsch_trials.csv,3,1,1,1
1,DL,23,7,7,air_interface/csv/dl_pdsch_trials.csv,2,1,1,1
1,DL,24,7,7,air_interface/csv/dl_pdsch_trials.csv,3,1,1,1
1,DL,33,7,7,air_interface/csv/dl_pdsch_trials.csv,2,1,1,1
1,DL,34,7,7,air_interface/csv/dl_pdsch_trials.csv,2,1,1,1
1,DL,20,7,7,air_interface/csv/dl_pdsch_trials.csv,1,1,1,1
1,DL,22,7,7,air_interface/csv/dl_pdsch_trials.csv,1,1,1,1
1,DL,32,7,7,air_interface/csv/dl_pdsch_trials.csv,2,1,1,1
1,DL,37,7,7,air_interface/csv/dl_pdsch_trials.csv,2,1,1,1
1,DL,38,7,7,air_interface/csv/dl_pdsch_trials.csv,2,1,1,1
1,DL,40,7,7,air_interface/csv/dl_pdsch_trials.csv,2,1,1,1
