FamilyID,PairID,BSRIndexError,DemandErrorBytes,PHIndexError,PCMAXIndexError,SRLatencyEffect_ms,ControlOverheadBytes,Status,ExecutionBackend,ApproximationMode,EvidenceClass
F01,F01-P01,0,0,0,0,-2331.8059,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01,F01-P02,0,0,0,0,-1.9366,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01,F01-P03,0,0,0,0,-41.3846,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01,F01-P04,0,0,0,0,-1.1,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01,F01-P05,0,0,0,0,-1.1,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01,F01-P06,0,0,0,0,-1.1,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02,F02-P01,0,0,0,0,0.3,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02,F02-P02,0,0,0,0,0.3,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02,F02-P03,0,0,0,0,0.3,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02,F02-P04,0,0,0,0,0.3,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02,F02-P05,0,0,0,0,0.3,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02,F02-P06,0,0,0,0,0.3,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03,F03-P01,0,0,0,0,0.6,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03,F03-P02,0,0,0,0,0.6,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03,F03-P03,0,0,0,0,0.2439,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03,F03-P04,0,0,0,0,0.4865,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03,F03-P05,0,0,0,0,-0.3301,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03,F03-P06,0,0,0,0,0.6161,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F04,F04-P01,0,0,0,0,0.005,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F04,F04-P02,0,0,0,0,0.1441,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
