FamilyID,PairID,UEID,ThroughputEffectMbps,LatencyEffect_ms,DeadlineMissEffect,FairnessEffect,StarvationEffectSlots,Status,ExecutionBackend,ApproximationMode,EvidenceClass
F01,F01-P01,1,-0.088,-2331.8059,0,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01,F01-P02,2,-0.088,-1.9366,0,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01,F01-P03,3,-0.088,-41.3846,0,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01,F01-P04,4,-0.088,-1.1,0,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01,F01-P05,5,-0.088,-1.1,0,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01,F01-P06,6,-0.088,-1.1,0,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02,F02-P01,7,0.024,0.3,0,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02,F02-P02,8,0.024,0.3,0,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02,F02-P03,1,0.024,0.3,0,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02,F02-P04,2,0.024,0.3,0,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02,F02-P05,3,0.024,0.3,0,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02,F02-P06,4,0.024,0.3,0,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03,F03-P01,5,0.048,0.6,0,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03,F03-P02,6,0.048,0.6,0,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03,F03-P03,7,0.048,0.2439,0,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03,F03-P04,8,0.048,0.4865,0,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03,F03-P05,1,0.048,-0.3301,0,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03,F03-P06,2,0.048,0.6161,0,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F04,F04-P01,3,-0.008,0.005,0,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F04,F04-P02,4,-0.008,0.1441,0,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F04,F04-P03,5,-0.008,0.0483,0,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F04,F04-P04,6,-0.008,0.2467,0,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F04,F04-P05,7,-0.008,0.35,0,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F04,F04-P06,8,-0.008,0.0148,0,0,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
