FamilyID,PairID,BaselineRuntime_ms,TreatmentRuntime_ms,RuntimeEffect_ms,BaselineMemoryMB,TreatmentMemoryMB,MemoryEffectMB,Status,ExecutionBackend,ApproximationMode,EvidenceClass
F01,F01-P01,2358.2309,26.425,-2331.8059,64.1,64.1,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01,F01-P02,14.4738,12.5372,-1.9366,64.2,64.2,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01,F01-P03,43.8495,2.4649,-41.3846,64.3,64.3,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01,F01-P04,1.9385,1.4956,-0.4429,64.4,64.4,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01,F01-P05,1.7744,1.6069,-0.1675,64.5,64.5,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01,F01-P06,1.3433,1.246,-0.0973,64.6,64.6,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02,F02-P01,1.229,1.2269,-0.0021,64.7,64.7,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02,F02-P02,1.5003,1.3063,-0.194,64.8,64.8,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02,F02-P03,1.1863,1.1717,-0.0146,64.9,64.9,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02,F02-P04,1.1565,1.4085,0.252,65,65,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02,F02-P05,1.2009,1.2087,0.0078,65.1,65.1,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02,F02-P06,1.1657,1.1968,0.0311,65.2,65.2,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03,F03-P01,1.5468,1.2778,-0.269,65.3,65.3,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03,F03-P02,1.2542,1.204,-0.0502,65.4,65.4,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03,F03-P03,1.9561,1.5408,-0.4153,65.5,65.5,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03,F03-P04,1.7135,1.6831,-0.0304,65.6,65.6,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03,F03-P05,2.5301,1.6155,-0.9146,65.7,65.7,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03,F03-P06,1.6029,2.219,0.6161,65.8,65.8,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F04,F04-P01,2.1374,2.1424,0.005,65.9,65.9,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F04,F04-P02,1.5789,1.723,0.1441,66,66,0,PASS,analytical_component_evaluation,component_proxy,study_not_truth
