FamilyID,PairID,K1EffectSlots,K2EffectSlots,IllegalGrantCount,FeedbackMissCount,LatencyEffect_ms,Status,ExecutionBackend,ApproximationMode,EvidenceClass
F01,F01-P01,-2331.8059,-2331.8059,0,0,-2331.8059,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01,F01-P02,-1.9366,-1.9366,0,0,-1.9366,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01,F01-P03,-41.3846,-41.3846,0,0,-41.3846,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01,F01-P04,-1.1,-1.1,0,0,-1.1,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01,F01-P05,-1.1,-1.1,0,0,-1.1,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F01,F01-P06,-1.1,-1.1,0,0,-1.1,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02,F02-P01,0.3,0.3,0,0,0.3,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02,F02-P02,0.3,0.3,0,0,0.3,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02,F02-P03,0.3,0.3,0,0,0.3,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02,F02-P04,0.3,0.3,0,0,0.3,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02,F02-P05,0.3,0.3,0,0,0.3,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F02,F02-P06,0.3,0.3,0,0,0.3,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03,F03-P01,0.6,0.6,0,0,0.6,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03,F03-P02,0.6,0.6,0,0,0.6,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03,F03-P03,0.2439,0.2439,0,0,0.2439,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03,F03-P04,0.4865,0.4865,0,0,0.4865,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03,F03-P05,-0.3301,-0.3301,0,0,-0.3301,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F03,F03-P06,0.6161,0.6161,0,0,0.6161,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F04,F04-P01,0.005,0.005,0,0,0.005,PASS,analytical_component_evaluation,component_proxy,study_not_truth
F04,F04-P02,0.1441,0.1441,0,0,0.1441,PASS,analytical_component_evaluation,component_proxy,study_not_truth
