RunID,EntityID,UEID,BearerID,Mode,SNBits,ConfigurationEpoch,State,Status
"PROTOCOL-20260727-071456","1","1","1","1","1","1","1","PASS"
"PROTOCOL-20260727-071456","2","2","2","2","2","2","2","PASS"
"PROTOCOL-20260727-071456","3","3","3","3","3","3","3","PASS"
"PROTOCOL-20260727-071456","4","4","4","4","4","4","4","PASS"
"PROTOCOL-20260727-071456","5","5","5","5","5","5","5","PASS"
"PROTOCOL-20260727-071456","6","6","6","6","6","6","6","PASS"
"PROTOCOL-20260727-071456","7","7","7","7","7","7","7","PASS"
"PROTOCOL-20260727-071456","8","8","8","8","8","8","8","PASS"
"PROTOCOL-20260727-071456","9","9","9","9","9","9","9","PASS"
"PROTOCOL-20260727-071456","10","10","10","10","10","10","10","PASS"
"PROTOCOL-20260727-071456","11","11","11","11","11","11","11","PASS"
"PROTOCOL-20260727-071456","12","12","12","12","12","12","12","PASS"
"PROTOCOL-20260727-071456","13","13","13","13","13","13","13","PASS"
"PROTOCOL-20260727-071456","14","14","14","14","14","14","14","PASS"
"PROTOCOL-20260727-071456","15","15","15","15","15","15","15","PASS"
