RunID,EventSequence,EntityID,FromState,Event,ToState,TX_NEXT,TX_NEXT_ACK,RX_NEXT,TimerName,TimerAction,Status
"PROTOCOL-20260727-071456","1","1","IDLE","TX_POLL","POLL_WAIT","1","1","1","1","START_t_PollRetransmit","PASS"
"PROTOCOL-20260727-071456","2","2","POLL_WAIT","STATUS_ACK","IDLE","2","2","2","2","STOP_t_PollRetransmit","PASS"
"PROTOCOL-20260727-071456","3","3","POLL_WAIT","t_PollRetransmit_EXPIRE","RETX_PENDING","3","3","3","3","POLL_RETX","PASS"
"PROTOCOL-20260727-071456","4","4","RX_STABLE","GAP_DETECTED","REASSEMBLY_WAIT","4","4","4","4","START_t_Reassembly","PASS"
"PROTOCOL-20260727-071456","5","5","REASSEMBLY_WAIT","GAP_FILLED","RX_STABLE","5","5","5","5","STOP_t_Reassembly","PASS"
"PROTOCOL-20260727-071456","6","6","REASSEMBLY_WAIT","t_Reassembly_EXPIRE","STATUS_PENDING","6","6","6","6","ADVANCE_AND_STATUS","PASS"
"PROTOCOL-20260727-071456","7","7","STATUS_PENDING","STATUS_SENT","STATUS_PROHIBITED","7","7","7","7","START_t_StatusProhibit","PASS"
"PROTOCOL-20260727-071456","8","8","STATUS_PROHIBITED","t_StatusProhibit_EXPIRE","RX_STABLE","8","8","8","8","STATUS_ALLOWED","PASS"
"PROTOCOL-20260727-071456","9","9","ACTIVE","RRC_REESTABLISH","RESETTING","9","9","9","9","FLUSH_REESTABLISH","PASS"
"PROTOCOL-20260727-071456","10","10","RESETTING","RESET_COMPLETE","ACTIVE","10","10","10","10","NEW_EPOCH","PASS"
"PROTOCOL-20260727-071456","11","11","IDLE","TX_POLL","POLL_WAIT","11","11","11","11","START_t_PollRetransmit","PASS"
"PROTOCOL-20260727-071456","12","12","POLL_WAIT","STATUS_ACK","IDLE","12","12","12","12","STOP_t_PollRetransmit","PASS"
"PROTOCOL-20260727-071456","13","13","POLL_WAIT","t_PollRetransmit_EXPIRE","RETX_PENDING","13","13","13","13","POLL_RETX","PASS"
"PROTOCOL-20260727-071456","14","14","RX_STABLE","GAP_DETECTED","REASSEMBLY_WAIT","14","14","14","14","START_t_Reassembly","PASS"
