RunID,EventSequence,UEID,BoundaryDirection,MessageClass,ExternalTransactionID,ExternalResult,RRCStateChangeAllowed,Status
"PROTOCOL-20260727-071456","1","1","1","1","1","1","1","PASS"
"PROTOCOL-20260727-071456","2","2","2","2","2","2","2","PASS"
"PROTOCOL-20260727-071456","3","3","3","3","3","3","3","PASS"
"PROTOCOL-20260727-071456","4","4","4","4","4","4","4","PASS"
"PROTOCOL-20260727-071456","5","5","5","5","5","5","5","PASS"
"PROTOCOL-20260727-071456","6","6","6","6","6","6","6","PASS"
"PROTOCOL-20260727-071456","7","7","7","7","7","7","7","PASS"
"PROTOCOL-20260727-071456","8","8","8","8","8","8","8","PASS"
"PROTOCOL-20260727-071456","9","9","9","9","9","9","9","PASS"
"PROTOCOL-20260727-071456","10","10","10","10","10","10","10","PASS"
"PROTOCOL-20260727-071456","11","11","11","11","11","11","11","PASS"
"PROTOCOL-20260727-071456","12","12","12","12","12","12","12","PASS"
"PROTOCOL-20260727-071456","13","13","13","13","13","13","13","PASS"
"PROTOCOL-20260727-071456","14","14","14","14","14","14","14","PASS"
"PROTOCOL-20260727-071456","15","15","15","15","15","15","15","PASS"
"PROTOCOL-20260727-071456","16","16","16","16","16","16","16","PASS"
"PROTOCOL-20260727-071456","17","17","17","17","17","17","17","PASS"
"PROTOCOL-20260727-071456","18","18","18","18","18","18","18","PASS"
"PROTOCOL-20260727-071456","19","19","19","19","19","19","19","PASS"
"PROTOCOL-20260727-071456","20","20","20","20","20","20","20","PASS"
"PROTOCOL-20260727-071456","21","21","21","21","21","21","21","PASS"
"PROTOCOL-20260727-071456","22","22","22","22","22","22","22","PASS"
"PROTOCOL-20260727-071456","23","23","23","23","23","23","23","PASS"
"PROTOCOL-20260727-071456","24","24","24","24","24","24","24","PASS"
"PROTOCOL-20260727-071456","25","25","25","25","25","25","25","PASS"
"PROTOCOL-20260727-071456","26","26","26","26","26","26","26","PASS"
"PROTOCOL-20260727-071456","27","27","27","27","27","27","27","PASS"
"PROTOCOL-20260727-071456","28","28","28","28","28","28","28","PASS"
"PROTOCOL-20260727-071456","29","29","29","29","29","29","29","PASS"
"PROTOCOL-20260727-071456","30","30","30","30","30","30","30","PASS"
"PROTOCOL-20260727-071456","31","31","31","31","31","31","31","PASS"
"PROTOCOL-20260727-071456","32","32","32","32","32","32","32","PASS"
"PROTOCOL-20260727-071456","33","33","33","33","33","33","33","PASS"
"PROTOCOL-20260727-071456","34","34","34","34","34","34","34","PASS"
"PROTOCOL-20260727-071456","35","35","35","35","35","35","35","PASS"
"PROTOCOL-20260727-071456","36","36","36","36","36","36","36","PASS"
"PROTOCOL-20260727-071456","37","37","37","37","37","37","37","PASS"
"PROTOCOL-20260727-071456","38","38","38","38","38","38","38","PASS"
"PROTOCOL-20260727-071456","39","39","39","39","39","39","39","PASS"
"PROTOCOL-20260727-071456","40","40","40","40","40","40","40","PASS"
"PROTOCOL-20260727-071456","41","41","41","41","41","41","41","PASS"
"PROTOCOL-20260727-071456","42","42","42","42","42","42","42","PASS"
"PROTOCOL-20260727-071456","43","43","43","43","43","43","43","PASS"
"PROTOCOL-20260727-071456","44","44","44","44","44","44","44","PASS"
"PROTOCOL-20260727-071456","45","45","45","45","45","45","45","PASS"
"PROTOCOL-20260727-071456","46","46","46","46","46","46","46","PASS"
"PROTOCOL-20260727-071456","47","47","47","47","47","47","47","PASS"
"PROTOCOL-20260727-071456","48","48","48","48","48","48","48","PASS"
"PROTOCOL-20260727-071456","49","49","49","49","49","49","49","PASS"
"PROTOCOL-20260727-071456","50","50","50","50","50","50","50","PASS"
"PROTOCOL-20260727-071456","51","51","51","51","51","51","51","PASS"
"PROTOCOL-20260727-071456","52","52","52","52","52","52","52","PASS"
"PROTOCOL-20260727-071456","53","53","53","53","53","53","53","PASS"
