RunID,StatusPDUId,SNBits,ACK_SN,NACKCount,SegmentNACKCount,NACKRangeCount,EncodedHex,DecodedSHA256,MismatchCount,Status
"PROTOCOL-20260727-071456","1","12","18","0","1","1","1","5e4826cf48e961a7790a624917f387cf7edd896af56714a5cc86c3fa44924ee4","0","PASS"
"PROTOCOL-20260727-071456","2","12","19","1","2","2","2","f7a48f688ee39f53a60fa10b5c5afd751245dd53608df20e996e8763e16bd7a4","0","PASS"
"PROTOCOL-20260727-071456","3","12","20","1","3","3","3","1ccd19a3f3ef1737b12a3d36a98d44541dd7d29cb4ff98c29b58957ab39aaa14","0","PASS"
"PROTOCOL-20260727-071456","4","12","21","1","4","4","4","5ea45f2dc317900761b85ca1ca4cc670494e2c18e76e1b6e6a17c550bdb691ad","0","PASS"
"PROTOCOL-20260727-071456","5","12","22","1","5","5","5","0f8b38e4150acba304d630aa637291109d65856a97c3ac176a3c363c65aa2090","0","PASS"
"PROTOCOL-20260727-071456","6","12","23","2","6","6","6","bb1db71de3250805cfcc6b201cb8cad9f46b163314e8b29fc01498df5cf35714","0","PASS"
"PROTOCOL-20260727-071456","7","12","24","2","7","7","7","8e958f877f8c97005e86e296a47743425ebadaca7b814bd25d8d12007cfd3a63","0","PASS"
"PROTOCOL-20260727-071456","8","12","25","2","8","8","8","fb4aeaaff174d0ce3df798720594257bde921c4d841e43cfb02d354126c06fdc","0","PASS"
"PROTOCOL-20260727-071456","9","12","26","2","9","9","9","8356aaaaa7b22a17170ec5c2eb9ac2156ed4edb745a39a1cc9c7b96c8947698a","0","PASS"
"PROTOCOL-20260727-071456","10","12","27","4","10","10","10","38546b680a7da468ac3d7bff734e993c2c23832b9d11c3a76b36bb64146092c9","0","PASS"
"PROTOCOL-20260727-071456","11","12","28","4","11","11","11","a1656778769acff3f6437f5fdb1e671abe1cdaaf16e63155f8e91a2cff6ef4e5","0","PASS"
"PROTOCOL-20260727-071456","12","12","29","4","12","12","12","306f8556daa4695b7829b9f161dc0bc5139ba5430e4331859a94986d29583f77","0","PASS"
"PROTOCOL-20260727-071456","13","12","30","4","13","13","13","cbfad742b26a1284bbee61bc5e7395fcce5f2773e394cf08dd1db22c282de649","0","PASS"
"PROTOCOL-20260727-071456","14","18","31","0","14","14","14","bd8375261c4a8ac42ab8b67dacc94616f5604634fb941c915edd3b7a0229e24b","0","PASS"
"PROTOCOL-20260727-071456","15","18","32","1","15","15","15","234eae3eecf59f3135be69cf04278d6d7b4dd5d988af8612404273e0b4d4f812","0","PASS"
"PROTOCOL-20260727-071456","16","18","33","1","16","16","16","612e753f1d858afc4002c4628caa2e02eaeeab8de7683a9df74631f6e18f5b8b","0","PASS"
"PROTOCOL-20260727-071456","17","18","34","1","17","17","17","a4ac4a7c6d1d6b5136dd0a294d17253f87d14e3d21f1e3c4be8b1bbbabfe038f","0","PASS"
"PROTOCOL-20260727-071456","18","18","35","1","18","18","18","cf10d3a45a3a66ef1320d51dd890168233856cb4074b5424ea9b1b4afa936ace","0","PASS"
"PROTOCOL-20260727-071456","19","18","36","2","19","19","19","12044f207d9afde7fdbe88451634e672ebea6810d9a52c3a35879f4fa3b43f99","0","PASS"
"PROTOCOL-20260727-071456","20","18","37","2","20","20","20","79837b0d4f7202852d733a20db4a3561a60885c59d94867c0852d4421dea0c77","0","PASS"
"PROTOCOL-20260727-071456","21","18","38","2","21","21","21","fa9c961c7421b89624e7b1404be704654ff5eb9c6215a889c524bd8510fc0d4b","0","PASS"
"PROTOCOL-20260727-071456","22","18","39","2","22","22","22","d12ffc955b20400a1930008a22ecf4727fc8bdaacc6ff7650d7d3c09fcd3693a","0","PASS"
"PROTOCOL-20260727-071456","23","18","40","4","23","23","23","e6c98ab4dfff1f1ddae426c351b68b97ab8d2dee403661e6795bd57de20a001a","0","PASS"
"PROTOCOL-20260727-071456","24","18","41","4","24","24","24","27df60ab3458f17e3ad53bc63d8305e92d321661c8bb6afd51b0b7343631ee57","0","PASS"
"PROTOCOL-20260727-071456","25","18","42","4","25","25","25","7fcc4af72edd8419e30412352942115f216db724673a108b4f99ab9e10cc5d3c","0","PASS"
"PROTOCOL-20260727-071456","26","18","43","4","26","26","26","38a7c7030b461a9809d853010132c53cfd14a991843933dee30582d9108005c1","0","PASS"
